City,Country,Latitude,Longitude,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,AQI,Air_Quality_Category,Population_Density,Proximity_to_Industrial_Areas,Timestamp
"Facultad De Medicina, Mexico",Mexico,21.133545,-101.679543,21.6,30.7,188.0,27.0,4.5,2.6,15.0,188,Poor,20114.69,,2026-03-27T02:01:33.597367
"Durango, Durango, Mexico",Mexico,24.03447,-104.64503,26.6,13.5,91.0,1.0,,,0.1,91,Moderate,7844.03,,2026-03-27T02:01:37.168096
"Loma Dorada, Guadalajara, Mexico",Mexico,20.629554249053,-103.26392977309,27.0,13.0,84.0,65.0,9.6,,7.4,84,Moderate,5633.33,,2026-03-27T02:01:40.598621
"Las Pintas, Guadalajara, Mexico",Mexico,20.5767,-103.32652222222,27.0,13.0,76.0,55.0,11.4,,6.2,76,Moderate,,,2026-03-27T02:01:55.600880
"Miravalle, Guadalajara, Mexico",Mexico,20.61504997567,-103.34343019128,27.0,13.0,59.0,75.0,18.0,1.2,6.8,75,Moderate,8277.63,,2026-03-27T02:02:01.174494
"Finanzas, Saltillo, Coahuila, Mexico",Mexico,25.421472222222,-100.99686111111,23.1,38.0,69.0,59.0,,8.5,,69,Moderate,,,2026-03-27T02:02:13.604658
"Santa Fe, Jalisco, Mexico",Mexico,20.528912,-103.377146,27.0,13.0,68.0,40.0,3.6,2.8,3.3,68,Moderate,,,2026-03-27T02:02:23.606608
"Palacio Municipal Cuautla, Cuautla, Morelos, Mexico",Mexico,18.812986944444,-98.955305833333,21.5,21.0,68.0,,10.9,4.5,6.1,68,Moderate,2003.27,,2026-03-27T02:02:27.180063
"San Juanico, Mexico",Mexico,20.537489,-100.839905,21.3,30.5,67.0,51.0,6.8,5.1,5.0,67,Moderate,4814.67,,2026-03-27T02:02:30.607610
"Oblatos, Jalisco, Mexico",Mexico,20.699048277777777,-103.29667683333334,27.0,13.0,25.0,63.0,15.5,2.8,4.4,63,Moderate,,,2026-03-27T02:02:42.627365
"Escobedo, Nuevo Leon, Mexico",Mexico,25.7802165,-100.3161126,28.8,33.0,63.0,38.0,5.4,6.5,14.2,63,Moderate,5792.82,,2026-03-27T02:02:51.632435
"Centro, Jalisco, Mexico",Mexico,20.67236666666667,-103.33335883333334,27.0,13.0,61.0,42.0,17.3,3.1,5.8,61,Moderate,17642.39,,2026-03-27T02:02:58.633775
"US Embassy, Guatemala City, Guatemala",Guatemala,14.6069387,-90.5169696,15.0,87.0,61.0,,,,,61,Moderate,31197.09,,2026-03-27T02:03:13.636484
"San Salvador Este, El Salavor",El Salvador,13.71518889,-89.15481944,26.0,65.0,9.0,,,,,-,,,,2026-03-27T02:03:25.637952
"ITCA, Santa Tecla, El Salavor",El Salvador,13.673168,-89.279399,24.0,62.0,93.0,,,,,93,Moderate,1480.89,,2026-03-27T02:03:29.196670
"UTEC Campus, San Salvador, El Salavor",El Salvador,13.6999671,-89.2010843,30.9,88.8,91.0,,,,,91,Moderate,,,2026-03-27T02:03:37.641518
"San Salvador Centro, El Salavor",El Salvador,13.70630556,-89.20011667,24.3,70.5,,,,,,-,,,,2026-03-27T02:03:47.643132
"San Jose US Embassy, Costa Rica",Costa Rica,9.949488,-84.142876,20.9,69.2,38.0,,,,,38,Good,165.52,,2026-03-27T02:03:52.204116
"San Cristobal, Bogota, Colombia",Colombia,4.5725,-74.0836,12.6,69.0,95.0,40.0,5.8,0.6,5.2,95,Moderate,,,2026-03-27T02:04:26.685929
"Tunal, Bogota, Colombia",Colombia,4.57619,-74.13093,12.0,72.0,122.0,55.0,10.0,0.9,,122,Poor,,,2026-03-27T02:04:31.215436
"Las Ferias, Bogota, Colombia",Colombia,4.6906,-74.08256,13.7,82.0,132.0,42.0,17.5,,19.0,132,Poor,104164.41,,2026-03-27T02:04:35.661302
"Fontibon, Bogota, Colombia",Colombia,4.6782472,-74.1438166,14.8,76.4,132.0,37.0,15.4,0.7,7.5,132,Poor,445.63,,2026-03-27T02:04:39.230974
"Carvajal - Sevillana, Bogota, Colombia",Colombia,4.5958,-74.14855,15.9,100.0,139.0,,,0.5,8.5,139,Poor,,,2026-03-27T02:04:43.665369
"MinAmbiente, Bogota, Colombia",Colombia,4.62529,-74.06724,13.0,88.0,74.0,43.0,9.1,0.1,7.8,74,Moderate,104164.41,,2026-03-27T02:04:57.667994
"Centro de Alto Rendimiento, Bogota, Colombia",Colombia,4.65837,-74.084,13.0,88.0,97.0,45.0,11.7,0.1,12.5,97,Moderate,,,2026-03-27T02:05:07.671851
"Guaymaral, Bogota, Colombia",Colombia,4.78374,-74.04417,13.3,85.0,102.0,52.0,13.7,0.3,4.8,102,Poor,445.63,,2026-03-27T02:05:11.232802
"Kennedy, Bogota, Colombia",Colombia,4.6249,-74.16135,12.0,76.4,93.0,49.0,11.6,0.8,8.7,93,Moderate,,,2026-03-27T02:05:27.677351
"Belisario, Quito, Ecuador",Ecuador,-0.184719,-78.495986,13.99,87.0,62.0,45.0,42.3,4.9,10.7,62,Moderate,,,2026-03-27T02:05:48.684348
"Centro, Quito, Ecuador",Ecuador,-0.221393,-78.514005,13.99,87.0,59.0,,21.9,1.3,26.0,59,Moderate,34010.69,,2026-03-27T02:05:52.248566
"El Camal, Quito, Ecuador",Ecuador,-0.25,-78.51,14.21,87.0,24.0,,38.8,4.1,12.9,24,Good,34010.69,,2026-03-27T02:05:55.685973
"Los Chillos, Quito, Ecuador",Ecuador,-0.297062,-78.455248,15.77,87.0,,,12.8,12.5,8.7,22,Good,,,2026-03-27T02:05:59.249539
"Cotocollao, Quito, Ecuador",Ecuador,-0.107777,-78.497222,13.41,87.0,3.0,45.0,16.5,1.7,5.3,20,Good,,,2026-03-27T02:06:08.688501
"estacion01, Cuenca, Ecuador",Ecuador,-2.897,-79.003,23.0,18.0,151.0,,130.2,9.7,4.6,151,Poor,6312.42,,2026-03-27T02:06:16.693635
"estacion02, Cuenca, Ecuador",Ecuador,-2.879789,-78.980213,23.0,18.0,134.0,,130.2,9.7,4.6,142,Poor,6312.42,,2026-03-27T02:06:21.256261
"estacion03, Cuenca, Ecuador",Ecuador,-2.879889,-78.981213,15.0,87.0,51.0,,16.5,4.6,9.5,51,Moderate,,,2026-03-27T02:06:30.696188
"Tumbaco, Quito, Ecuador",Ecuador,-0.214933,-78.403253,20.38,72.0,63.0,,11.3,4.9,,63,Moderate,,,2026-03-27T02:06:34.261632
"Carapungo, Quito, Ecuador",Ecuador,-0.095472,-78.449809,18.03,72.0,75.0,45.0,10.8,6.1,8.7,75,Moderate,,,2026-03-27T02:06:39.696961
"Villa Maria Del Triunfo, Lima, Peru",Peru,-12.16639,-76.92,25.5,70.0,94.0,45.0,9.1,5.2,35.9,94,Moderate,,,2026-03-27T02:06:50.700329
"Santa Anita, Lima, Peru",Peru,-12.04302,-76.97144,25.5,70.0,,91.0,16.6,9.7,18.9,91,Moderate,,,2026-03-27T02:06:59.711274
"San Martin De Porres, Lima, Peru",Peru,-12.00889,-77.08447,25.5,70.0,84.0,67.0,39.8,2.0,10.3,84,Moderate,,,2026-03-27T02:07:03.272587
"Campo De Marte, Lima, Peru",Peru,-12.07054,-77.04322,25.5,70.0,82.0,37.0,12.4,9.3,23.1,82,Moderate,127188.7,,2026-03-27T02:07:07.702969
"San Juan De Lurigancho, Lima, Peru",Peru,-11.98164,-76.99925,25.5,70.0,77.0,51.0,12.3,6.7,28.1,77,Moderate,,,2026-03-27T02:07:12.274760
"San Borja, Lima, Peru",Peru,-12.10859,-77.00769,25.5,70.0,65.0,53.0,16.2,18.9,24.1,65,Moderate,,,2026-03-27T02:07:21.706465
