City,Country,Latitude,Longitude,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,AQI,Air_Quality_Category,Population_Density,Proximity_to_Industrial_Areas,Timestamp
"Hospital General, Mexico",Mexico,20.947924,-101.425774,19.4,64.7,155.0,35.0,7.2,6.4,19.8,155,Poor,,,2026-04-07T02:03:16.908726
"Palacio Municipal, Morelia, Mexico",Mexico,19.702153,-101.190948,24.0,41.0,127.0,,,,0.8,127,Poor,,,2026-04-07T02:03:25.910817
"Las Pintas, Guadalajara, Mexico",Mexico,20.5767,-103.32652222222,26.0,39.0,114.0,74.0,7.5,,6.9,114,Poor,342.07,,2026-04-07T02:03:29.726586
"Vallarta, Guadalajara, Mexico",Mexico,20.680450840176,-103.39873310432,26.0,39.0,111.0,48.0,,2.8,4.6,111,Poor,,,2026-04-07T02:03:37.912747
"Santa Fe, Jalisco, Mexico",Mexico,20.528912,-103.377146,26.0,39.0,99.0,50.0,10.4,4.9,9.3,99,Moderate,,,2026-04-07T02:03:45.735597
"Secundaria Leyes de Reforma, Aguascalientes, Mexico",Mexico,21.903003362672,-102.28461279505,14.0,47.0,89.0,25.0,13.8,,,89,Moderate,,,2026-04-07T02:03:54.916769
"Oblatos, Jalisco, Mexico",Mexico,20.699048277777777,-103.29667683333334,26.0,39.0,74.0,49.0,5.8,5.2,0.4,74,Moderate,17642.39,,2026-04-07T02:04:00.742668
"Atemajac, Jalisco, Mexico",Mexico,20.718180277777776,-103.35549144444444,26.0,39.0,74.0,29.0,9.5,5.2,8.3,74,Moderate,16011.6,,2026-04-07T02:04:09.923422
"Miravalle, Guadalajara, Mexico",Mexico,20.61504997567,-103.34343019128,26.0,39.0,72.0,70.0,8.3,1.5,5.3,72,Moderate,8277.63,,2026-04-07T02:04:13.744516
"Finanzas, Saltillo, Coahuila, Mexico",Mexico,25.421472222222,-100.99686111111,8.3,33.7,72.0,29.0,7.1,7.8,,72,Moderate,,,2026-04-07T02:04:24.926971
"Palacio Municipal Cuautla, Cuautla, Morelos, Mexico",Mexico,18.812986944444,-98.955305833333,22.0,33.0,68.0,,9.6,2.8,7.4,68,Moderate,,,2026-04-07T02:04:34.929835
"Centro, Aguascalientes, Mexico",Mexico,21.883780555556,-102.295825,23.3,39.0,68.0,18.0,0.1,0.1,1.5,68,Moderate,10999.44,,2026-04-07T02:04:38.757202
"Centro, Jalisco, Mexico",Mexico,20.67236666666667,-103.33335883333334,26.0,39.0,65.0,35.0,11.3,4.9,5.8,65,Moderate,17642.39,,2026-04-07T02:04:47.933199
"San Juanico, Mexico",Mexico,20.537489,-100.839905,19.5,64.5,62.0,50.0,10.8,5.6,5.8,62,Moderate,4814.67,,2026-04-07T02:04:54.934754
"US Embassy, Guatemala City, Guatemala",Guatemala,14.6069387,-90.5169696,15.0,87.0,61.0,,,,,61,Moderate,31197.09,,2026-04-07T02:05:03.937482
"San Salvador Este, El Salavor",El Salvador,13.71518889,-89.15481944,26.0,78.0,9.0,,,,,-,,,,2026-04-07T02:05:14.941566
"ITCA, Santa Tecla, El Salavor",El Salvador,13.673168,-89.279399,24.0,62.0,93.0,,,,,93,Moderate,,,2026-04-07T02:05:22.943242
"UTEC Campus, San Salvador, El Salavor",El Salvador,13.6999671,-89.2010843,30.9,88.8,91.0,,,,,91,Moderate,,,2026-04-07T02:05:30.766343
"San Salvador Centro, El Salavor",El Salvador,13.70630556,-89.20011667,23.8,80.2,,,,,,-,,4024.59,,2026-04-07T02:05:39.946779
"San Jose US Embassy, Costa Rica",Costa Rica,9.949488,-84.142876,20.9,69.2,38.0,,,,,38,Good,,,2026-04-07T02:05:49.956420
"Fontibon, Bogota, Colombia",Colombia,4.6782472,-74.1438166,15.2,71.9,82.0,51.0,14.8,0.9,12.2,82,Moderate,445.63,,2026-04-07T02:06:29.965877
"Carvajal - Sevillana, Bogota, Colombia",Colombia,4.5958,-74.14855,16.1,100.0,127.0,,,5.1,14.2,127,Poor,,,2026-04-07T02:06:51.971704
"San Cristobal, Bogota, Colombia",Colombia,4.5725,-74.0836,13.8,69.0,30.0,12.0,5.2,0.8,5.1,30,Good,,,2026-04-07T02:07:07.979154
"Kennedy, Bogota, Colombia",Colombia,4.6249,-74.16135,12.0,71.9,39.0,28.0,11.7,0.9,11.1,39,Good,,,2026-04-07T02:07:15.800235
"Guaymaral, Bogota, Colombia",Colombia,4.78374,-74.04417,14.1,75.0,25.0,21.0,7.1,0.2,2.6,25,Good,,,2026-04-07T02:07:23.979756
"Tunal, Bogota, Colombia",Colombia,4.57619,-74.13093,12.0,75.0,50.0,20.0,7.9,0.3,,20,Good,,,2026-04-07T02:07:35.982386
"Centro, Quito, Ecuador",Ecuador,-0.221393,-78.514005,15.19,93.0,59.0,,19.9,1.5,7.6,59,Moderate,,,2026-04-07T02:07:45.983725
"Cotocollao, Quito, Ecuador",Ecuador,-0.107777,-78.497222,14.38,93.0,41.0,88.0,22.0,1.4,6.9,41,Good,,,2026-04-07T02:07:52.811979
"Belisario, Quito, Ecuador",Ecuador,-0.184719,-78.495986,15.19,93.0,40.0,88.0,34.7,4.6,8.8,40,Good,,,2026-04-07T02:08:06.990995
"El Camal, Quito, Ecuador",Ecuador,-0.25,-78.51,14.45,93.0,39.0,,49.3,3.1,14.8,39,Good,34010.69,,2026-04-07T02:08:10.820027
"Los Chillos, Quito, Ecuador",Ecuador,-0.297062,-78.455248,16.46,93.0,,,14.2,7.7,10.2,22,Good,,,2026-04-07T02:08:18.993143
"estacion01, Cuenca, Ecuador",Ecuador,-2.897,-79.003,23.0,18.0,151.0,,130.2,9.7,4.6,151,Poor,6312.42,,2026-04-07T02:08:22.821645
"estacion02, Cuenca, Ecuador",Ecuador,-2.879789,-78.980213,23.0,18.0,134.0,,130.2,9.7,4.6,142,Poor,,,2026-04-07T02:08:31.000599
"estacion03, Cuenca, Ecuador",Ecuador,-2.879889,-78.981213,15.0,87.0,51.0,,16.5,4.6,9.5,51,Moderate,,,2026-04-07T02:08:39.003294
"Tumbaco, Quito, Ecuador",Ecuador,-0.214933,-78.403253,16.9,93.0,17.0,,15.2,3.6,,26,Good,,,2026-04-07T02:08:47.007901
"Carapungo, Quito, Ecuador",Ecuador,-0.095472,-78.449809,21.29,72.0,134.0,88.0,10.0,1.5,6.3,134,Poor,,,2026-04-07T02:08:58.014701
"San Martin De Porres, Lima, Peru",Peru,-12.00889,-77.08447,24.4,70.0,58.0,24.0,19.1,0.3,9.6,58,Moderate,,,2026-04-07T02:09:10.016819
"San Juan De Lurigancho, Lima, Peru",Peru,-11.98164,-76.99925,24.4,70.0,58.0,30.0,9.8,7.4,23.6,58,Moderate,,,2026-04-07T02:09:18.656919
"Campo De Marte, Lima, Peru",Peru,-12.07054,-77.04322,26.6,72.0,93.0,42.0,9.3,10.8,57.1,57,Moderate,,,2026-04-07T02:09:28.036554
"San Borja, Lima, Peru",Peru,-12.10859,-77.00769,24.4,70.0,53.0,51.0,13.8,51.7,15.2,53,Moderate,,,2026-04-07T02:09:35.658949
"Santa Anita, Lima, Peru",Peru,-12.04302,-76.97144,24.4,70.0,,53.0,15.5,8.9,14.5,53,Moderate,,,2026-04-07T02:09:44.024824
"Villa Maria Del Triunfo, Lima, Peru",Peru,-12.16639,-76.92,24.4,70.0,34.0,11.0,13.9,7.2,12.9,34,Good,,,2026-04-07T02:09:52.025829
"US Embassy, Lima, Peru",Peru,-12.1052081,-76.9709299,23.3,84.0,34.0,,,,,34,Good,,,2026-04-07T02:10:06.033004
"Huachipa, Lima, Peru",Peru,-12.01689,-76.94883,22.2,75.0,193.0,155.0,8.4,33.0,200.9,33,Good,,,2026-04-07T02:10:11.853096
"Ate, Lima, Peru",Peru,-12.02611,-76.91861,22.8,85.3,,,,,,-,,,,2026-04-07T02:10:20.035004
"Carabayllo, Lima, Peru",Peru,-11.90219,-77.03364,24.4,70.0,,,13.7,7.5,14.8,15,Good,,,2026-04-07T02:10:27.859350
"Puente Piedra, Lima, Peru",Peru,-11.86325,-77.07413,24.4,70.0,47.0,,22.0,7.5,32.9,47,Good,,,2026-04-07T02:10:31.676482
"Velachery Res. Area, Chennai, Chennai, India",Peru,13.0052189,80.2398125,28.0,80.09,61.0,48.0,5.5,1.7,,48,Good,,,2026-04-07T02:10:42.040989
"IIT, Chennai, Chennai, India",Peru,12.99251389,80.23744722,30.0,62.0,,,,,,-,,,,2026-04-07T02:10:50.044317
"Fuerza Aerea, Cochabamba, Bolivia",Bolivia,-17.4197854,-66.1685226,19.0,34.0,,49.0,,,,49,Good,,,2026-04-07T02:11:14.045550
"Parque Kanata, Cochabamba, Bolivia",Bolivia,-17.4125902,-66.1584437,19.0,34.0,,51.0,18.9,,,51,Moderate,,,2026-04-07T02:11:22.047440
"Semapa, Cochabamba, Bolivia",Bolivia,-17.3609718,-66.1607009,19.0,34.0,,25.0,,,,25,Good,8473.19,,2026-04-07T02:11:27.688868
"Rancagua I, Chile",Chile,-34.162314609087,-70.713919225517,16.6,73.3,142.0,15.0,,17.0,500.0,500,Hazardous,,,2026-04-07T02:12:17.066176
"Valdivia, Chile",Chile,-39.831316104673,-73.22851282209,12.4,88.2,165.0,78.0,,0.4,15.7,165,Poor,,,2026-04-07T02:12:25.698344
"La Union, Chile",Chile,-40.286857441758,-73.076710459412,12.2,89.0,165.0,,,,,165,Poor,,,2026-04-07T02:12:34.070355
"Linares, Chile",Chile,-35.836942234921,-71.592865853985,19.0,59.0,144.0,,,,,144,Poor,,,2026-04-07T02:12:43.900529
"Coyhaique II, Chile",Chile,-45.579045667164,-72.049964505825,8.0,75.0,89.0,29.0,,1.6,8.8,89,Moderate,632.38,,2026-04-07T02:12:52.075163
"Osorno, Chile",Chile,-40.584478665958,-73.11871982209,12.2,89.0,85.0,65.0,,,,85,Moderate,,,2026-04-07T02:13:03.077302
"Universidad de Talca, Chile",Chile,-35.406582744695,-71.633396474869,16.0,73.2,80.0,69.0,,,,80,Moderate,,,2026-04-07T02:13:15.078942
"Padre Las Casas II, Chile",Chile,-38.764767451719,-72.598795682209,13.0,88.8,76.0,40.0,9.8,,1.4,76,Moderate,,,2026-04-07T02:13:23.715338
"U.C. Maule, Chile",Chile,-35.435725588722,-71.619553864003,16.0,73.2,72.0,50.0,,,,72,Moderate,,,2026-04-07T02:13:32.084720
"Talagante, Chile",Chile,-33.673752071375,-70.953064737434,19.0,52.0,68.0,54.0,,,,68,Moderate,,,2026-04-07T02:13:39.717882
"San Fernando, Chile",Chile,-27.393267718517,-70.298615435165,14.0,87.0,68.0,53.0,,,,68,Moderate,,,2026-04-07T02:13:48.092700
"La Florida 2, Chile",Chile,-35.435141887663,-71.678261499336,16.0,73.2,68.0,47.0,24.1,3.8,6.0,68,Moderate,,,2026-04-07T02:13:56.094032
"Puren, Chile",Chile,-36.616167751711,-72.093040558483,13.7,92.3,65.0,49.0,,,,65,Moderate,,,2026-04-07T02:14:09.098124
"Coyhaique, Chile",Chile,-45.57996447948,-72.061125987766,8.0,75.0,65.0,21.0,,,,65,Moderate,632.38,,2026-04-07T02:14:12.919375
"Puente Alto, Chile",Chile,-33.591390623022,-70.594788,19.0,52.0,63.0,65.0,30.7,,6.8,65,Moderate,,,2026-04-07T02:14:21.137135
"US Embassy, Buenos Aires, Argentina",Argentina,-34.5773,-58.4176,25.0,72.9,5.0,,,,,5,Good,,,2026-04-07T02:14:34.103334
"Cordoba, Buenos Aires, Argentina",Argentina,-34.5995674,-58.3915767,25.0,61.0,,,,,,-,,,,2026-04-07T02:14:41.728190
"La boca, Buenos Aires, Argentina",Argentina,-34.6344961,-58.3631337,25.0,61.0,,,,,,-,,,,2026-04-07T02:14:50.108360
"Dock Sud 1, Acumar, Argentina",Argentina,-34.657988,-58.342538,23.8,65.3,,,,,,-,,,,2026-04-07T02:14:57.730632
"Centenario, Buenos Aires, Argentina",Argentina,-34.635582,-58.5518647,24.0,53.0,,,,,,-,,,,2026-04-07T02:15:06.111117
"La Matanza, Acumar, Argentina",Argentina,-34.6775885,-58.701767,20.2,88.8,,,,,,-,,,,2026-04-07T02:15:13.733790
"Argentina, Asturias, Spain",Argentina,43.53880000013,-5.6989000001636,19.0,60.3,61.0,30.0,3.7,3.1,0.1,61,Moderate,,,2026-04-07T02:15:24.115463
