City,Country,Latitude,Longitude,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,AQI,Air_Quality_Category,Population_Density,Proximity_to_Industrial_Areas,Timestamp
"Secundaria Leyes de Reforma, Aguascalientes, Mexico",Mexico,21.903003362672,-102.28461279505,6.6,41.0,127.0,52.0,19.2,,0.2,127,Poor,10999.44,,2026-03-24T01:48:44.614929
"Centro, Jalisco, Mexico",Mexico,20.67236666666667,-103.33335883333334,21.0,39.5,112.0,65.0,12.7,1.9,5.9,112,Poor,17642.39,,2026-03-24T01:48:48.036233
"Palacio Municipal Cuautla, Cuautla, Morelos, Mexico",Mexico,18.812986944444,-98.955305833333,19.0,34.0,102.0,,12.0,1.9,7.5,102,Poor,2003.27,,2026-03-24T01:48:51.502736
"Biblioteca, Tizayuca, Hidalgo, Mexico",Mexico,19.840583333333,-98.981333333333,13.3,70.0,,96.0,12.4,3.7,6.1,96,Moderate,550.68,,2026-03-24T01:48:54.616199
"Las Pintas, Guadalajara, Mexico",Mexico,20.5767,-103.32652222222,23.0,31.0,90.0,62.0,5.5,,3.7,90,Moderate,342.07,,2026-03-24T01:48:58.037863
"Oblatos, Jalisco, Mexico",Mexico,20.699048277777777,-103.29667683333334,23.0,31.0,72.0,80.0,10.5,2.2,4.8,80,Moderate,17642.39,,2026-03-24T01:49:03.621597
"Miravalle, Guadalajara, Mexico",Mexico,20.61504997567,-103.34343019128,23.0,31.0,76.0,54.0,6.2,1.3,5.2,76,Moderate,8277.63,,2026-03-24T01:49:12.622315
"Loma Dorada, Guadalajara, Mexico",Mexico,20.629554249053,-103.26392977309,23.0,31.0,53.0,74.0,12.8,,7.0,74,Moderate,5633.33,,2026-03-24T01:49:25.625268
"Tulancingo, Hidalgo, Mexico",Mexico,20.08525,-98.366638888889,25.0,69.0,74.0,37.0,4.0,5.2,18.5,74,Moderate,,,2026-03-24T01:49:35.627026
"Atemajac, Jalisco, Mexico",Mexico,20.718180277777776,-103.35549144444444,23.0,31.0,72.0,48.0,8.2,2.2,7.5,72,Moderate,,,2026-03-24T01:49:45.630527
"Centro, Aguascalientes, Mexico",Mexico,21.883780555556,-102.295825,24.7,21.0,69.0,37.0,0.1,0.1,0.9,69,Moderate,10999.44,,2026-03-24T01:49:53.631463
"SUR, CHIH1, Chihuahua -Estatal, Mexico",Mexico,28.632775,-106.03886694444,30.5,9.0,45.0,68.0,,,,68,Moderate,11787.18,,2026-03-24T01:50:00.053611
"US Embassy, Guatemala City, Guatemala",Guatemala,14.6069387,-90.5169696,15.0,87.0,61.0,,,,,61,Moderate,31197.09,,2026-03-24T01:50:07.633354
"San Salvador Este, El Salavor",El Salvador,13.71518889,-89.15481944,24.0,78.0,9.0,,,,,-,,4024.59,,2026-03-24T01:50:19.634659
"ITCA, Santa Tecla, El Salavor",El Salvador,13.673168,-89.279399,24.0,62.0,93.0,,,,,93,Moderate,,,2026-03-24T01:50:29.637147
"UTEC Campus, San Salvador, El Salavor",El Salvador,13.6999671,-89.2010843,30.9,88.8,91.0,,,,,91,Moderate,4024.59,,2026-03-24T01:50:33.528090
"San Salvador Centro, El Salavor",El Salvador,13.70630556,-89.20011667,22.7,79.2,,,,,,-,,4024.59,,2026-03-24T01:50:38.640225
"San Jose US Embassy, Costa Rica",Costa Rica,9.949488,-84.142876,20.9,69.2,38.0,,,,,38,Good,165.52,,2026-03-24T01:50:44.064470
"Tunal, Bogota, Colombia",Colombia,4.57619,-74.13093,14.0,76.0,82.0,29.0,11.3,1.4,,82,Moderate,,,2026-03-24T01:51:18.648347
"Centro de Alto Rendimiento, Bogota, Colombia",Colombia,4.65837,-74.084,15.0,75.0,72.0,24.0,11.5,0.7,4.0,72,Moderate,104164.41,,2026-03-24T01:51:22.072583
"Carvajal - Sevillana, Bogota, Colombia",Colombia,4.5958,-74.14855,15.8,87.0,68.0,,,0.5,13.6,68,Moderate,,,2026-03-24T01:51:26.647698
"San Cristobal, Bogota, Colombia",Colombia,4.5725,-74.0836,14.0,80.0,61.0,22.0,8.5,1.0,5.1,61,Moderate,,,2026-03-24T01:51:30.073381
"Las Ferias, Bogota, Colombia",Colombia,4.6906,-74.08256,15.1,69.0,59.0,13.0,6.3,,4.9,59,Moderate,104164.41,,2026-03-24T01:51:33.648529
"Guaymaral, Bogota, Colombia",Colombia,4.78374,-74.04417,15.2,72.0,50.0,21.0,3.0,0.2,3.7,50,Good,445.63,,2026-03-24T01:51:43.653602
"MinAmbiente, Bogota, Colombia",Colombia,4.62529,-74.06724,15.0,75.0,46.0,30.0,10.3,0.2,5.9,46,Good,,,2026-03-24T01:51:54.657983
"Movil 7ma, Bogota, Colombia",Colombia,4.645228,-74.06152,15.9,68.0,,33.0,,,,33,Good,104164.41,,2026-03-24T01:52:11.660530
"El Camal, Quito, Ecuador",Ecuador,-0.25,-78.51,16.5,64.0,75.0,,32.9,2.7,11.9,75,Moderate,34010.69,,2026-03-24T01:52:17.101557
"Belisario, Quito, Ecuador",Ecuador,-0.184719,-78.495986,12.98,93.0,41.0,40.0,29.9,4.3,7.7,41,Good,,,2026-03-24T01:52:27.663260
"Centro, Quito, Ecuador",Ecuador,-0.221393,-78.514005,12.98,93.0,32.0,,11.4,1.2,21.4,32,Good,34010.69,,2026-03-24T01:52:31.562974
"Los Chillos, Quito, Ecuador",Ecuador,-0.297062,-78.455248,15.65,93.0,,,14.4,10.1,8.3,14,Good,,,2026-03-24T01:52:35.665061
"Cotocollao, Quito, Ecuador",Ecuador,-0.107777,-78.497222,13.48,93.0,7.0,40.0,18.8,1.3,5.7,9,Good,,,2026-03-24T01:52:39.564932
"estacion01, Cuenca, Ecuador",Ecuador,-2.897,-79.003,23.0,18.0,151.0,,130.2,9.7,4.6,151,Poor,,,2026-03-24T01:52:49.666499
"estacion02, Cuenca, Ecuador",Ecuador,-2.879789,-78.980213,23.0,18.0,134.0,,130.2,9.7,4.6,142,Poor,6312.42,,2026-03-24T01:52:53.568474
"estacion03, Cuenca, Ecuador",Ecuador,-2.879889,-78.981213,15.0,87.0,51.0,,16.5,4.6,9.5,51,Moderate,6312.42,,2026-03-24T01:52:57.667994
"Tumbaco, Quito, Ecuador",Ecuador,-0.214933,-78.403253,21.49,64.0,58.0,,10.6,3.7,,58,Moderate,,,2026-03-24T01:53:01.569820
"Carapungo, Quito, Ecuador",Ecuador,-0.095472,-78.449809,18.64,64.0,33.0,40.0,8.8,4.5,7.5,40,Good,,,2026-03-24T01:53:06.668168
"San Martin De Porres, Lima, Peru",Peru,-12.00889,-77.08447,23.8,76.0,110.0,51.0,40.7,1.7,9.1,110,Poor,,,2026-03-24T01:53:11.126741
"Villa Maria Del Triunfo, Lima, Peru",Peru,-12.16639,-76.92,23.8,76.0,81.0,36.0,9.8,4.6,30.6,81,Moderate,1018.59,,2026-03-24T01:53:14.669754
"San Juan De Lurigancho, Lima, Peru",Peru,-11.98164,-76.99925,23.8,76.0,79.0,51.0,12.7,5.9,25.7,79,Moderate,,,2026-03-24T01:53:18.579719
"San Borja, Lima, Peru",Peru,-12.10859,-77.00769,23.8,76.0,74.0,51.0,16.5,14.1,16.2,74,Moderate,,,2026-03-24T01:53:25.671161
"Campo De Marte, Lima, Peru",Peru,-12.07054,-77.04322,23.8,76.0,72.0,30.0,11.3,8.7,18.0,72,Moderate,127188.7,,2026-03-24T01:53:29.579477
"Santa Anita, Lima, Peru",Peru,-12.04302,-76.97144,23.8,76.0,,59.0,19.3,10.8,19.5,59,Moderate,,,2026-03-24T01:53:33.808869
"US Embassy, Lima, Peru",Peru,-12.1052081,-76.9709299,23.3,84.0,34.0,,,,,34,Good,,,2026-03-24T01:53:39.676101
"Huachipa, Lima, Peru",Peru,-12.01689,-76.94883,22.2,75.0,193.0,155.0,8.4,33.0,200.9,33,Good,,,2026-03-24T01:53:48.677628
"Ate, Lima, Peru",Peru,-12.02611,-76.91861,22.8,85.3,,,,,,-,,,,2026-03-24T01:53:52.582877
"Carabayllo, Lima, Peru",Peru,-11.90219,-77.03364,23.8,76.0,,,19.6,7.2,13.6,14,Good,,,2026-03-24T01:53:55.678537
"Puente Piedra, Lima, Peru",Peru,-11.86325,-77.07413,23.8,76.0,79.0,,8.8,7.3,27.5,79,Moderate,,,2026-03-24T01:54:05.680721
"Velachery Res. Area, Chennai, Chennai, India",Peru,13.0052189,80.2398125,26.0,83.93,103.0,27.0,4.8,2.7,,103,Poor,,,2026-03-24T01:54:12.587360
"IIT, Chennai, Chennai, India",Peru,12.99251389,80.23744722,30.0,62.0,,,,,,-,,,,2026-03-24T01:54:17.681706
"Fuerza Aerea, Cochabamba, Bolivia",Bolivia,-17.4197854,-66.1685226,19.0,34.0,,49.0,,,,49,Good,8473.19,,2026-03-24T01:54:33.685884
"Parque Kanata, Cochabamba, Bolivia",Bolivia,-17.4125902,-66.1584437,19.0,34.0,,51.0,18.9,,,51,Moderate,8473.19,,2026-03-24T01:54:37.593469
"Semapa, Cochabamba, Bolivia",Bolivia,-17.3609718,-66.1607009,19.0,34.0,,25.0,,,,25,Good,,,2026-03-24T01:54:46.687689
"Coyhaique II, Chile",Chile,-45.579045667164,-72.049964505825,6.0,70.0,89.0,25.0,,4.8,4.5,89,Moderate,632.38,,2026-03-24T01:55:34.693912
"Mirasol, Chile",Chile,-41.4795069236,-72.968755930145,9.0,93.0,80.0,,,,,80,Moderate,,,2026-03-24T01:55:46.695701
"Arica, Chile",Chile,-18.47683929771,-70.287911433372,22.0,64.0,63.0,,,,,63,Moderate,2573.61,,2026-03-24T01:55:51.612580
"Puente Alto, Chile",Chile,-33.591390623022,-70.594788,20.0,42.0,34.0,59.0,29.4,,7.7,59,Moderate,,,2026-03-24T01:56:01.698327
"Punta Arenas, Chile",Chile,-53.158295492238,-70.921497482453,7.0,81.0,59.0,,,,,59,Moderate,1571.22,,2026-03-24T01:56:07.616366
"Talagante, Chile",Chile,-33.673752071375,-70.953064737434,20.0,42.0,59.0,38.0,,,,59,Moderate,,,2026-03-24T01:56:16.700226
"Cerro Navia, Chile",Chile,-33.433089610143,-70.732147868717,20.0,42.0,21.0,58.0,33.8,,4.4,58,Moderate,,,2026-03-24T01:56:23.619030
