City,Country,Latitude,Longitude,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,AQI,Air_Quality_Category,Population_Density,Proximity_to_Industrial_Areas,Timestamp
"Secundaria Leyes de Reforma, Aguascalientes, Mexico",Mexico,21.903003362672,-102.28461279505,28.0,18.0,142.0,40.0,9.3,,,142,Poor,,,2026-04-29T02:36:09.683158
"S. Catarina, Nuevo Leon, Mexico",Mexico,25.6869003,-100.4220058,31.1,64.0,117.0,36.0,0.5,3.8,15.9,117,Poor,,,2026-04-29T02:36:14.182554
"Apodaca, Nuevo Leon, Mexico",Mexico,25.7815621,-100.1875974,33.0,55.0,102.0,60.0,22.3,3.9,5.2,102,Poor,,,2026-04-29T02:36:23.686185
"Aguilas, Jalisco, Mexico",Mexico,20.629602722222224,-103.41677252777778,30.0,15.0,98.0,38.0,5.5,2.8,2.3,98,Moderate,,,2026-04-29T02:36:27.185676
"S. Pedro, Nuevo Leon, Mexico",Mexico,25.6573447,-100.4017501,31.1,64.0,97.0,47.0,11.9,4.6,20.2,97,Moderate,,,2026-04-29T02:36:31.686185
"Las Pintas, Guadalajara, Mexico",Mexico,20.5767,-103.32652222222,30.0,15.0,89.0,94.0,11.2,3.7,7.9,94,Moderate,,,2026-04-29T02:36:35.186471
"Metrorrey, Nuevo Leon, Mexico",Mexico,25.7779954,-100.3775906,31.2,66.0,,62.0,12.2,6.5,23.5,86,Moderate,,,2026-04-29T02:36:38.769632
"Obispado, Nuevo Leon, Mexico",Mexico,25.6745177,-100.3473334,14.1,55.0,79.0,46.0,8.4,4.6,23.0,79,Moderate,,,2026-04-29T02:36:41.687763
"San Juanico, Mexico",Mexico,20.537489,-100.839905,27.7,39.5,79.0,55.0,6.7,5.5,4.4,79,Moderate,,,2026-04-29T02:36:45.198557
"Vallarta, Guadalajara, Mexico",Mexico,20.680450840176,-103.39873310432,33.0,13.0,79.0,33.0,,,,79,Moderate,,,2026-04-29T02:36:48.770470
"Hospital General, Mexico",Mexico,20.947924,-101.425774,29.0,38.2,79.0,50.0,6.6,7.2,23.9,79,Moderate,,,2026-04-29T02:36:51.688765
"Santa Fe, Jalisco, Mexico",Mexico,20.528912,-103.377146,30.0,15.0,78.0,53.0,19.9,2.8,13.4,78,Moderate,,,2026-04-29T02:36:55.198224
"US Embassy, Guatemala City, Guatemala",Guatemala,14.6069387,-90.5169696,15.0,87.0,61.0,,,,,61,Moderate,,,2026-04-29T02:37:04.202964
"San Salvador Este, El Salavor",El Salvador,13.71518889,-89.15481944,23.8,81.0,9.0,,,,,-,,,,2026-04-29T02:37:09.739164
"ITCA, Santa Tecla, El Salavor",El Salvador,13.673168,-89.279399,24.0,62.0,93.0,,,,,93,Moderate,,,2026-04-29T02:37:13.242662
"UTEC Campus, San Salvador, El Salavor",El Salvador,13.6999671,-89.2010843,30.9,88.8,91.0,,,,,91,Moderate,,,2026-04-29T02:37:16.192263
"San Salvador Centro, El Salavor",El Salvador,13.70630556,-89.20011667,23.8,81.0,,,,,,-,,,,2026-04-29T02:37:20.742068
"San Jose US Embassy, Costa Rica",Costa Rica,9.949488,-84.142876,20.9,69.2,38.0,,,,,38,Good,,,2026-04-29T02:37:25.243101
"Carvajal - Sevillana, Bogota, Colombia",Colombia,4.5958,-74.14855,15.5,93.0,104.0,,,0.5,23.5,104,Poor,,,2026-04-29T02:37:56.746410
"Kennedy, Bogota, Colombia",Colombia,4.6249,-74.16135,15.0,86.7,102.0,21.0,15.1,0.8,14.9,102,Poor,,,2026-04-29T02:38:00.247337
"Movil 7ma, Bogota, Colombia",Colombia,4.645228,-74.06152,15.9,66.9,95.0,37.0,,,,95,Moderate,,,2026-04-29T02:38:03.200880
"Las Ferias, Bogota, Colombia",Colombia,4.6906,-74.08256,14.4,84.0,89.0,40.0,7.4,,14.1,89,Moderate,,,2026-04-29T02:38:06.748610
"Tunal, Bogota, Colombia",Colombia,4.57619,-74.13093,15.0,87.0,85.0,29.0,10.1,0.9,,85,Moderate,,,2026-04-29T02:38:11.248976
"Centro de Alto Rendimiento, Bogota, Colombia",Colombia,4.65837,-74.084,13.3,89.0,69.0,26.0,9.8,0.3,14.8,69,Moderate,,,2026-04-29T02:38:17.756073
"Fontibon, Bogota, Colombia",Colombia,4.6782472,-74.1438166,14.6,86.7,65.0,21.0,13.6,0.4,8.5,65,Moderate,,,2026-04-29T02:38:22.250797
"Guaymaral, Bogota, Colombia",Colombia,4.78374,-74.04417,13.8,84.0,61.0,35.0,10.1,0.3,4.9,61,Moderate,,,2026-04-29T02:38:27.202770
"Puente Aranda, Bogota, Colombia",Colombia,4.63187,-74.11757,15.0,89.0,53.0,18.0,15.1,,16.5,53,Moderate,,,2026-04-29T02:38:36.760282
