City,Country,Latitude,Longitude,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,AQI,Air_Quality_Category,Population_Density,Proximity_to_Industrial_Areas,Timestamp
"Durango, Durango, Mexico",Mexico,24.03447,-104.64503,22.2,31.0,91.0,1.0,,,205.9,91,Moderate,,,2026-04-09T01:56:14.762948
"Finanzas, Saltillo, Coahuila, Mexico",Mexico,25.421472222222,-100.99686111111,20.1,58.0,91.0,47.0,6.7,9.3,,91,Moderate,,,2026-04-09T01:56:37.794125
"Secundaria Leyes de Reforma, Aguascalientes, Mexico",Mexico,21.903003362672,-102.28461279505,14.0,47.0,89.0,25.0,13.8,,,89,Moderate,,,2026-04-09T01:57:00.779782
"Celaya Policia, Celaya, Mexico",Mexico,20.518569711338,-100.81674332276,24.7,28.8,62.0,82.0,25.4,10.7,5.8,82,Moderate,,,2026-04-09T01:57:15.792214
"Palacio Municipal, Morelia, Mexico",Mexico,19.702153,-101.190948,23.0,35.0,70.0,,,,0.8,70,Moderate,9463.68,,2026-04-09T01:57:36.789965
"Tulancingo, Hidalgo, Mexico",Mexico,20.08525,-98.366638888889,26.0,88.0,68.0,32.0,11.8,4.9,18.7,68,Moderate,,,2026-04-09T01:58:06.811707
"Biblioteca, Tizayuca, Hidalgo, Mexico",Mexico,19.840583333333,-98.981333333333,13.3,74.0,,68.0,14.3,3.4,7.4,68,Moderate,,,2026-04-09T01:58:14.829320
"Palacio Municipal Cuautla, Cuautla, Morelos, Mexico",Mexico,18.812986944444,-98.955305833333,22.0,40.0,65.0,,10.4,2.1,6.5,65,Moderate,,,2026-04-09T01:58:42.835324
"Santa Fe, Jalisco, Mexico",Mexico,20.528912,-103.377146,28.0,16.0,63.0,42.0,10.0,2.9,10.1,63,Moderate,,,2026-04-09T01:59:09.830858
"Palacio de Gobierno, Tlaxcala, Tlaxcala, Mexico",Mexico,19.317583333333,-98.237305555556,26.0,88.0,63.0,38.0,19.5,,,63,Moderate,,,2026-04-09T01:59:20.848280
"US Embassy, Guatemala City, Guatemala",Guatemala,14.6069387,-90.5169696,15.0,87.0,61.0,,,,,61,Moderate,,,2026-04-09T01:59:48.850163
"San Salvador Este, El Salavor",El Salvador,13.71518889,-89.15481944,24.1,77.0,9.0,,,,,-,,,,2026-04-09T02:00:14.880827
"ITCA, Santa Tecla, El Salavor",El Salvador,13.673168,-89.279399,24.0,62.0,93.0,,,,,93,Moderate,,,2026-04-09T02:00:38.439412
"UTEC Campus, San Salvador, El Salavor",El Salvador,13.6999671,-89.2010843,30.9,88.8,91.0,,,,,91,Moderate,,,2026-04-09T02:00:47.000904
"San Salvador Centro, El Salavor",El Salvador,13.70630556,-89.20011667,24.1,77.0,,,,,,-,,,,2026-04-09T02:00:57.443941
"San Jose US Embassy, Costa Rica",Costa Rica,9.949488,-84.142876,20.9,69.2,38.0,,,,,38,Good,,,2026-04-09T02:01:13.005965
"Carvajal - Sevillana, Bogota, Colombia",Colombia,4.5958,-74.14855,17.5,82.0,63.0,,,1.3,14.5,63,Moderate,,,2026-04-09T02:02:14.885187
"Kennedy, Bogota, Colombia",Colombia,4.6249,-74.16135,14.0,72.1,35.0,24.0,9.1,0.8,8.5,35,Good,,,2026-04-09T02:02:57.751494
"Fontibon, Bogota, Colombia",Colombia,4.6782472,-74.1438166,16.9,72.1,34.0,20.0,9.3,0.6,8.9,34,Good,,,2026-04-09T02:03:06.379256
"San Cristobal, Bogota, Colombia",Colombia,4.5725,-74.0836,14.3,69.0,30.0,10.0,2.2,0.9,4.2,30,Good,,,2026-04-09T02:03:22.047055
"Guaymaral, Bogota, Colombia",Colombia,4.78374,-74.04417,15.0,68.0,21.0,14.0,1.9,0.2,1.8,21,Good,,,2026-04-09T02:03:47.371267
"Las Ferias, Bogota, Colombia",Colombia,4.6906,-74.08256,16.5,59.0,21.0,5.0,6.0,,4.6,21,Good,,,2026-04-09T02:03:55.185634
"Centro, Quito, Ecuador",Ecuador,-0.221393,-78.514005,14.18,93.0,71.0,,25.6,4.0,9.9,71,Moderate,,,2026-04-09T02:04:05.057972
"Belisario, Quito, Ecuador",Ecuador,-0.184719,-78.495986,14.18,93.0,70.0,19.0,38.2,5.1,12.5,70,Moderate,,,2026-04-09T02:04:27.776840
"Cotocollao, Quito, Ecuador",Ecuador,-0.107777,-78.497222,14.46,93.0,54.0,19.0,7.8,1.9,7.6,54,Moderate,,,2026-04-09T02:04:51.422476
"El Camal, Quito, Ecuador",Ecuador,-0.25,-78.51,14.94,93.0,43.0,,40.5,4.7,13.0,43,Good,,,2026-04-09T02:04:59.943337
"Los Chillos, Quito, Ecuador",Ecuador,-0.297062,-78.455248,16.12,93.0,,,14.1,8.3,10.5,16,Good,,,2026-04-09T02:05:23.436450
"estacion01, Cuenca, Ecuador",Ecuador,-2.897,-79.003,23.0,18.0,151.0,,130.2,9.7,4.6,151,Poor,,,2026-04-09T02:05:46.961105
"estacion02, Cuenca, Ecuador",Ecuador,-2.879789,-78.980213,23.0,18.0,134.0,,130.2,9.7,4.6,142,Poor,,,2026-04-09T02:05:55.963098
"estacion03, Cuenca, Ecuador",Ecuador,-2.879889,-78.981213,15.0,87.0,51.0,,16.5,4.6,9.5,51,Moderate,,,2026-04-09T02:06:21.975981
"Tumbaco, Quito, Ecuador",Ecuador,-0.214933,-78.403253,16.33,93.0,37.0,,10.5,3.2,,37,Good,,,2026-04-09T02:06:29.980948
"Carapungo, Quito, Ecuador",Ecuador,-0.095472,-78.449809,20.13,72.0,24.0,19.0,8.2,1.2,6.4,27,Good,,,2026-04-09T02:06:54.985377
"Campo De Marte, Lima, Peru",Peru,-12.07054,-77.04322,23.3,78.5,68.0,25.0,10.2,9.2,94.2,68,Moderate,,,2026-04-09T02:07:03.991512
"San Martin De Porres, Lima, Peru",Peru,-12.00889,-77.08447,23.3,78.5,66.0,25.0,17.4,,9.6,66,Moderate,,,2026-04-09T02:07:11.842250
"San Borja, Lima, Peru",Peru,-12.10859,-77.00769,23.3,78.5,64.0,53.0,13.0,51.5,15.5,64,Moderate,,,2026-04-09T02:07:24.000914
"San Juan De Lurigancho, Lima, Peru",Peru,-11.98164,-76.99925,23.3,78.5,62.0,28.0,10.1,6.2,26.2,62,Moderate,,,2026-04-09T02:07:32.001661
"Villa Maria Del Triunfo, Lima, Peru",Peru,-12.16639,-76.92,23.3,78.5,50.0,16.0,11.6,9.4,14.3,50,Good,,,2026-04-09T02:07:55.019532
"Santa Anita, Lima, Peru",Peru,-12.04302,-76.97144,23.3,78.5,,35.0,14.3,8.4,15.8,35,Good,,,2026-04-09T02:08:19.028711
"US Embassy, Lima, Peru",Peru,-12.1052081,-76.9709299,23.3,84.0,34.0,,,,,34,Good,,,2026-04-09T02:08:33.031851
"Huachipa, Lima, Peru",Peru,-12.01689,-76.94883,22.2,75.0,193.0,155.0,8.4,33.0,200.9,33,Good,,,2026-04-09T02:08:55.038363
"Ate, Lima, Peru",Peru,-12.02611,-76.91861,22.8,85.3,,,,,,-,,,,2026-04-09T02:09:20.650895
"Carabayllo, Lima, Peru",Peru,-11.90219,-77.03364,23.3,78.5,,,13.0,7.4,14.8,15,Good,,,2026-04-09T02:09:43.655125
"Puente Piedra, Lima, Peru",Peru,-11.86325,-77.07413,23.3,78.5,59.0,,11.4,7.4,28.5,59,Moderate,,,2026-04-09T02:09:51.655982
"Velachery Res. Area, Chennai, Chennai, India",Peru,13.0052189,80.2398125,29.0,80.785,61.0,42.0,4.6,1.8,,42,Good,,,2026-04-09T02:10:22.074377
"IIT, Chennai, Chennai, India",Peru,12.99251389,80.23744722,30.0,62.0,,,,,,-,,,,2026-04-09T02:10:30.074577
"Fuerza Aerea, Cochabamba, Bolivia",Bolivia,-17.4197854,-66.1685226,19.0,34.0,,49.0,,,,49,Good,8473.19,,2026-04-09T02:11:04.090413
"Parque Kanata, Cochabamba, Bolivia",Bolivia,-17.4125902,-66.1584437,19.0,34.0,,51.0,18.9,,,51,Moderate,,,2026-04-09T02:11:28.099481
"Semapa, Cochabamba, Bolivia",Bolivia,-17.3609718,-66.1607009,19.0,34.0,,25.0,,,,25,Good,,,2026-04-09T02:11:36.102352
"Linares, Chile",Chile,-35.836942234921,-71.592865853985,20.0,56.0,182.0,,,,,182,Poor,,,2026-04-09T02:12:40.945267
"U.C. Maule, Chile",Chile,-35.435725588722,-71.619553864003,14.1,82.1,127.0,70.0,,,,127,Poor,,,2026-04-09T02:12:51.216291
"Puren, Chile",Chile,-36.616167751711,-72.093040558483,11.7,94.4,112.0,66.0,,,,112,Poor,,,2026-04-09T02:13:20.950848
"La Florida 2, Chile",Chile,-35.435141887663,-71.678261499336,14.1,82.1,102.0,67.0,23.8,4.5,8.7,102,Poor,2623.75,,2026-04-09T02:13:44.963405
"Universidad de Talca, Chile",Chile,-35.406582744695,-71.633396474869,14.1,82.1,97.0,66.0,,,,97,Moderate,,,2026-04-09T02:13:54.965676
"San Fernando, Chile",Chile,-27.393267718517,-70.298615435165,14.0,82.0,95.0,54.0,,,,95,Moderate,1920.1,,2026-04-09T02:14:00.142570
"La Union, Chile",Chile,-40.286857441758,-73.076710459412,13.8,89.8,93.0,,,,,93,Moderate,,,2026-04-09T02:14:09.360157
