City,Country,Latitude,Longitude,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,AQI,Air_Quality_Category,Population_Density,Proximity_to_Industrial_Areas,Timestamp
"Las Pintas, Guadalajara, Mexico",Mexico,20.5767,-103.32652222222,23.0,64.0,73.0,41.0,9.6,5.4,7.6,73,Moderate,,,2026-06-07T03:30:07.186865
"T-21, Mexico",Mexico,21.108664,-101.688614,28.0,32.0,69.0,28.0,,3.6,13.0,69,Moderate,,,2026-06-07T03:30:13.775785
"Facultad De Medicina, Mexico",Mexico,21.133545,-101.679543,28.0,32.0,69.0,22.0,5.9,3.8,11.6,69,Moderate,,,2026-06-07T03:30:17.187517
"Miravalle, Guadalajara, Mexico",Mexico,20.61504997567,-103.34343019128,23.0,64.0,63.0,46.0,16.4,1.5,7.1,63,Moderate,,,2026-06-07T03:30:21.775452
"DIF, Mexico",Mexico,20.558094,-101.204941,22.7,66.0,63.0,30.0,5.5,8.5,24.7,63,Moderate,,,2026-06-07T03:30:28.188193
"Santa Fe, Jalisco, Mexico",Mexico,20.528912,-103.377146,23.0,64.0,61.0,23.0,10.4,3.6,6.0,61,Moderate,,,2026-06-07T03:30:32.776170
"S. Pedro, Nuevo Leon, Mexico",Mexico,25.6573447,-100.4017501,27.2,72.5,61.0,29.0,8.2,3.8,10.0,61,Moderate,,,2026-06-07T03:30:36.188508
"Durango, Durango, Mexico",Mexico,24.03447,-104.64503,17.2,68.0,61.0,6.0,,,,61,Moderate,,,2026-06-07T03:30:39.308720
"Metrorrey, Nuevo Leon, Mexico",Mexico,25.7779954,-100.3775906,27.2,72.5,60.0,31.0,11.0,6.6,7.8,60,Moderate,,,2026-06-07T03:30:42.776868
"Centro, Jalisco, Mexico",Mexico,20.67236666666667,-103.33335883333334,23.0,64.0,59.0,35.0,14.2,4.0,8.6,59,Moderate,,,2026-06-07T03:30:48.189424
"US Embassy, Guatemala City, Guatemala",Guatemala,14.6069387,-90.5169696,15.0,87.0,61.0,,,,,61,Moderate,,,2026-06-07T03:30:57.190144
"San Salvador Este, El Salavor",El Salvador,13.71518889,-89.15481944,25.0,88.0,9.0,,,,,-,,,,2026-06-07T03:31:03.778499
"ITCA, Santa Tecla, El Salavor",El Salvador,13.673168,-89.279399,24.0,62.0,93.0,,,,,93,Moderate,,,2026-06-07T03:31:07.190944
"UTEC Campus, San Salvador, El Salavor",El Salvador,13.6999671,-89.2010843,30.9,88.8,91.0,,,,,91,Moderate,,,2026-06-07T03:31:10.310852
"San Salvador Centro, El Salavor",El Salvador,13.70630556,-89.20011667,23.8,81.0,,,,,,-,,,,2026-06-07T03:31:15.191492
"San Jose US Embassy, Costa Rica",Costa Rica,9.949488,-84.142876,20.9,69.2,38.0,,,,,38,Good,,,2026-06-07T03:31:19.779534
"Fontibon, Bogota, Colombia",Colombia,4.6782472,-74.1438166,14.1,76.1,56.0,27.0,4.9,0.9,4.0,56,Moderate,,,2026-06-07T03:32:00.194355
"MinAmbiente, Bogota, Colombia",Colombia,4.62529,-74.06724,11.9,79.0,55.0,15.0,3.2,0.2,6.3,55,Moderate,,,2026-06-07T03:32:03.782362
"Las Ferias, Bogota, Colombia",Colombia,4.6906,-74.08256,14.2,72.0,46.0,10.0,6.4,,7.8,46,Good,,,2026-06-07T03:32:15.195418
"Carvajal - Sevillana, Bogota, Colombia",Colombia,4.5958,-74.14855,15.1,100.0,42.0,,,1.9,6.8,42,Good,,,2026-06-07T03:32:21.783716
"Tunal, Bogota, Colombia",Colombia,4.57619,-74.13093,12.0,69.0,42.0,7.0,4.3,0.5,,42,Good,,,2026-06-07T03:32:25.195932
"Movil 7ma, Bogota, Colombia",Colombia,4.645228,-74.06152,15.6,60.8,38.0,34.0,,,,38,Good,,,2026-06-07T03:32:29.784063
"Kennedy, Bogota, Colombia",Colombia,4.6249,-74.16135,12.0,76.1,16.0,28.0,6.2,0.8,7.3,28,Good,,,2026-06-07T03:32:33.196651
"San Cristobal, Bogota, Colombia",Colombia,4.5725,-74.0836,12.1,75.0,25.0,17.0,2.4,0.4,3.6,25,Good,,,2026-06-07T03:32:36.318114
"Centro, Quito, Ecuador",Ecuador,-0.221393,-78.514005,12.7,93.0,83.0,,43.9,7.2,19.0,83,Moderate,,,2026-06-07T03:32:42.197226
"El Camal, Quito, Ecuador",Ecuador,-0.25,-78.51,13.48,93.0,67.0,,38.5,3.0,12.3,67,Moderate,,,2026-06-07T03:32:45.785091
"Cotocollao, Quito, Ecuador",Ecuador,-0.107777,-78.497222,12.8,93.0,66.0,,31.4,4.1,7.7,66,Moderate,,,2026-06-07T03:32:49.319027
"Belisario, Quito, Ecuador",Ecuador,-0.184719,-78.495986,12.7,93.0,45.0,,34.5,2.7,13.2,45,Good,,,2026-06-07T03:32:53.197996
"Los Chillos, Quito, Ecuador",Ecuador,-0.297062,-78.455248,14.76,93.0,,,22.9,11.3,11.6,8,Good,,,2026-06-07T03:32:56.786874
"estacion01, Cuenca, Ecuador",Ecuador,-2.897,-79.003,23.0,18.0,151.0,,130.2,9.7,4.6,151,Poor,,,2026-06-07T03:33:00.319659
"estacion02, Cuenca, Ecuador",Ecuador,-2.879789,-78.980213,23.0,18.0,134.0,,130.2,9.7,4.6,142,Poor,,,2026-06-07T03:33:04.198758
"estacion03, Cuenca, Ecuador",Ecuador,-2.879889,-78.981213,15.0,87.0,51.0,,16.5,4.6,9.5,51,Moderate,,,2026-06-07T03:33:07.787556
"Tumbaco, Quito, Ecuador",Ecuador,-0.214933,-78.403253,15.58,93.0,51.0,,18.2,4.4,,51,Moderate,,,2026-06-07T03:33:11.320501
"Carapungo, Quito, Ecuador",Ecuador,-0.095472,-78.449809,13.05,93.0,68.0,,15.5,4.4,8.0,68,Moderate,,,2026-06-07T03:33:16.199665
