City,Country,Latitude,Longitude,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,AQI,Air_Quality_Category,Population_Density,Proximity_to_Industrial_Areas,Timestamp
"Cruz Roja, Mexico",Mexico,20.578896,-101.199211,18.6,52.6,140.0,75.0,44.2,7.6,36.4,140,Poor,,,2026-02-16T01:52:38.802659
"Palacio Municipal Cuautla, Cuautla, Morelos, Mexico",Mexico,18.812986944444,-98.955305833333,25.0,15.0,109.0,,16.7,6.2,9.5,109,Poor,2003.27,81.91,2026-02-16T01:52:46.264563
"DIF, Mexico",Mexico,20.558094,-101.204941,18.8,52.4,98.0,81.0,23.2,18.2,22.9,98,Moderate,2045.87,,2026-02-16T01:53:09.183572
"Santa Fe, Jalisco, Mexico",Mexico,20.528912,-103.377146,27.0,14.0,97.0,53.0,27.4,26.9,14.4,97,Moderate,1772.02,,2026-02-16T01:53:13.204470
"Nativitas, Mexico",Mexico,20.565231,-101.188248,18.8,52.4,,93.0,44.6,29.0,36.9,93,Moderate,2045.87,,2026-02-16T01:53:27.077802
"US Embassy, Guatemala City, Guatemala",Guatemala,14.6069387,-90.5169696,15.0,87.0,61.0,,,,,61,Moderate,,,2026-02-16T01:53:57.545287
"San Salvador Este, El Salavor",El Salvador,13.71518889,-89.15481944,25.0,65.0,9.0,,,,,-,,4024.59,1794.07,2026-02-16T01:54:03.270876
"ITCA, Santa Tecla, El Salavor",El Salvador,13.673168,-89.279399,24.0,62.0,93.0,,,,,93,Moderate,1765.92,1801.85,2026-02-16T01:54:09.294954
"UTEC Campus, San Salvador, El Salavor",El Salvador,13.6999671,-89.2010843,30.9,88.8,91.0,,,,,91,Moderate,4024.59,1796.97,2026-02-16T01:54:11.941449
"San Salvador Centro, El Salavor",El Salvador,13.70630556,-89.20011667,22.2,74.0,,,,,,-,,4024.59,,2026-02-16T01:54:25.781051
"San Jose US Embassy, Costa Rica",Costa Rica,9.949488,-84.142876,20.9,69.2,38.0,,,,,38,Good,165.52,,2026-02-16T01:54:40.144542
"Carvajal - Sevillana, Bogota, Colombia",Colombia,4.5958,-74.14855,20.9,63.0,134.0,101.0,,1.7,5.2,134,Poor,,,2026-02-16T01:55:25.699313
"Las Ferias, Bogota, Colombia",Colombia,4.6906,-74.08256,13.4,83.0,91.0,23.0,12.1,,6.8,91,Moderate,,,2026-02-16T01:55:35.276593
"Centro de Alto Rendimiento, Bogota, Colombia",Colombia,4.65837,-74.084,14.0,85.0,88.0,26.0,9.2,0.8,4.8,88,Moderate,104164.41,75.54,2026-02-16T01:55:38.662616
"Kennedy, Bogota, Colombia",Colombia,4.6249,-74.16135,11.0,82.0,80.0,37.0,10.8,0.7,14.3,80,Moderate,,,2026-02-16T01:55:56.751676
"MinAmbiente, Bogota, Colombia",Colombia,4.62529,-74.06724,14.0,85.0,78.0,25.0,8.4,0.3,6.9,78,Moderate,,,2026-02-16T01:56:13.711590
"Fontibon, Bogota, Colombia",Colombia,4.6782472,-74.1438166,13.4,82.0,65.0,25.0,5.4,0.2,3.0,65,Moderate,,,2026-02-16T01:56:35.028349
"Tunal, Bogota, Colombia",Colombia,4.57619,-74.13093,13.0,74.0,63.0,38.0,4.0,0.6,,63,Moderate,,,2026-02-16T01:56:39.767608
"Puente Aranda, Bogota, Colombia",Colombia,4.63187,-74.11757,13.0,85.0,56.0,17.0,11.2,1.3,5.0,56,Moderate,104164.41,,2026-02-16T01:56:55.526105
"Belisario, Quito, Ecuador",Ecuador,-0.184719,-78.495986,11.89,93.0,70.0,19.0,26.0,4.2,5.7,70,Moderate,34010.69,,2026-02-16T01:57:03.182926
"Centro, Quito, Ecuador",Ecuador,-0.221393,-78.514005,11.89,93.0,58.0,,,3.7,15.3,58,Moderate,34010.69,,2026-02-16T01:57:08.872603
"Cotocollao, Quito, Ecuador",Ecuador,-0.107777,-78.497222,12.7,93.0,40.0,19.0,26.2,1.2,7.0,40,Good,,451.2,2026-02-16T01:57:11.680947
"Los Chillos, Quito, Ecuador",Ecuador,-0.297062,-78.455248,14.83,93.0,,,,7.2,12.3,17,Good,,467.4,2026-02-16T01:57:14.420978
"El Camal, Quito, Ecuador",Ecuador,-0.25,-78.51,12.46,93.0,16.0,,41.6,2.3,12.6,16,Good,34010.69,,2026-02-16T01:57:26.792410
"estacion01, Cuenca, Ecuador",Ecuador,-2.897,-79.003,23.0,18.0,151.0,,130.2,9.7,4.6,151,Poor,,,2026-02-16T01:57:34.721324
"estacion02, Cuenca, Ecuador",Ecuador,-2.879789,-78.980213,23.0,18.0,134.0,,130.2,9.7,4.6,142,Poor,,,2026-02-16T01:57:58.972620
"estacion03, Cuenca, Ecuador",Ecuador,-2.879889,-78.981213,15.0,87.0,51.0,,16.5,4.6,9.5,51,Moderate,6312.42,,2026-02-16T01:58:14.933489
"Tumbaco, Quito, Ecuador",Ecuador,-0.214933,-78.403253,14.91,93.0,10.0,,29.4,2.3,5.0,24,Good,,,2026-02-16T01:58:29.356748
"Carapungo, Quito, Ecuador",Ecuador,-0.095472,-78.449809,12.86,93.0,67.0,13.0,28.9,3.3,8.6,67,Moderate,,,2026-02-16T01:58:34.408174
"Campo De Marte, Lima, Peru",Peru,-12.07054,-77.04322,25.0,73.0,48.0,16.0,6.9,3.3,12.0,48,Good,127188.7,,2026-02-16T01:58:39.285698
"San Martin De Porres, Lima, Peru",Peru,-12.00889,-77.08447,25.0,73.0,47.0,16.0,18.0,1.6,9.3,47,Good,,1710.96,2026-02-16T01:58:53.749371
"San Juan De Lurigancho, Lima, Peru",Peru,-11.98164,-76.99925,25.0,73.0,25.0,9.0,,23.5,,25,Good,,,2026-02-16T01:59:08.433201
"Villa Maria Del Triunfo, Lima, Peru",Peru,-12.16639,-76.92,25.0,73.0,25.0,7.0,6.2,6.2,20.9,25,Good,1018.59,1727.81,2026-02-16T01:59:11.362616
"San Borja, Lima, Peru",Peru,-12.10859,-77.00769,25.0,73.0,87.0,59.0,14.2,5.6,20.4,20,Good,,,2026-02-16T01:59:24.046107
"Santa Anita, Lima, Peru",Peru,-12.04302,-76.97144,25.0,73.0,,16.0,11.2,8.6,11.0,16,Good,,,2026-02-16T01:59:36.402904
"US Embassy, Lima, Peru",Peru,-12.1052081,-76.9709299,23.3,84.0,34.0,,,,,34,Good,,1721.2,2026-02-16T01:59:44.225401
"Huachipa, Lima, Peru",Peru,-12.01689,-76.94883,22.2,75.0,193.0,155.0,8.4,33.0,200.9,33,Good,,1711.36,2026-02-16T01:59:57.098800
"Ate, Lima, Peru",Peru,-12.02611,-76.91861,22.8,85.3,,,,,,-,,,1712.29,2026-02-16T02:00:05.022391
"Carabayllo, Lima, Peru",Peru,-11.90219,-77.03364,25.0,73.0,,,16.1,3.4,10.6,11,Good,,,2026-02-16T02:00:20.646559
"Puente Piedra, Lima, Peru",Peru,-11.86325,-77.07413,25.0,73.0,47.0,,15.1,6.7,30.6,47,Good,,,2026-02-16T02:00:28.212209
"Velachery Res. Area, Chennai, Chennai, India",Peru,13.0052189,80.2398125,23.0,87.95,154.0,141.0,5.2,2.5,,154,Poor,,1012.82,2026-02-16T02:00:42.042716
"IIT, Chennai, Chennai, India",Peru,12.99251389,80.23744722,30.0,62.0,,,,,,-,,,,2026-02-16T02:00:57.455571
"Fuerza Aerea, Cochabamba, Bolivia",Bolivia,-17.4197854,-66.1685226,19.0,34.0,,49.0,,,,49,Good,8473.19,,2026-02-16T02:01:24.947163
"Parque Kanata, Cochabamba, Bolivia",Bolivia,-17.4125902,-66.1584437,19.0,34.0,,51.0,18.9,,,51,Moderate,8473.19,1752.65,2026-02-16T02:01:28.319026
"Semapa, Cochabamba, Bolivia",Bolivia,-17.3609718,-66.1607009,19.0,34.0,,25.0,,,,25,Good,,1758.36,2026-02-16T02:01:36.787690
"Copiapo Sivica, Chile",Chile,-27.370329154948,-70.323906678352,19.0,77.0,68.0,27.0,,1.5,,68,Moderate,1920.1,,2026-02-16T02:02:38.091973
"Rancagua I, Chile",Chile,-34.162314609087,-70.713919225517,15.8,60.8,63.0,58.0,,1.5,0.4,63,Moderate,,,2026-02-16T02:02:54.644816
"Rancagua II, Chile",Chile,-34.143888375919,-70.737131207664,16.2,61.0,59.0,51.0,,,,59,Moderate,,602.37,2026-02-16T02:03:05.920110
"Colegio Pedro Vergara Keller, Chile",Chile,-22.44283906304,-68.932546346863,19.3,48.3,55.0,31.0,,,,55,Moderate,2006.31,,2026-02-16T02:03:11.335335
"Talagante, Chile",Chile,-33.673752071375,-70.953064737434,21.0,35.0,55.0,15.0,,,,55,Moderate,724.19,,2026-02-16T02:03:23.762551
"La Serena, Chile",Chile,-29.933006518748,-71.261966365967,23.3,36.0,50.0,,,,,50,Good,2487.68,,2026-02-16T02:03:37.825981
"Bomberos, Chile",Chile,-22.111064,-70.210828,,,50.0,,,,,50,Good,,,2026-02-16T02:04:00.127510
"Mirasol, Chile",Chile,-41.4795069236,-72.968755930145,13.0,66.0,46.0,,,,,46,Good,2161.15,,2026-02-16T02:04:12.124067
"Universidad de Talca, Chile",Chile,-35.406582744695,-71.633396474869,23.7,35.4,42.0,21.0,,,,42,Good,2623.75,,2026-02-16T02:04:26.036889
"Rengo, Chile",Chile,-34.394541417902,-70.852981542328,16.3,60.7,38.0,41.0,,,,41,Good,480.28,,2026-02-16T02:04:40.157440
