City,Country,Latitude,Longitude,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,AQI,Air_Quality_Category,Population_Density,Proximity_to_Industrial_Areas,Timestamp
"Palacio Municipal Cuautla, Cuautla, Morelos, Mexico",Mexico,18.812986944444,-98.955305833333,21.5,9.0,459.0,,27.4,3.6,13.0,459,Hazardous,2003.27,81.91,2026-02-08T02:11:16.372588
"Santa Fe, Jalisco, Mexico",Mexico,20.528912,-103.377146,24.0,16.0,97.0,26.0,24.8,16.8,18.0,97,Moderate,1772.02,21.65,2026-02-08T02:11:23.139242
"Secundaria Leyes de Reforma, Aguascalientes, Mexico",Mexico,21.903003362672,-102.28461279505,19.4,30.0,97.0,30.0,17.6,,,97,Moderate,10999.44,104.96,2026-02-08T02:11:25.504263
"Las Pintas, Guadalajara, Mexico",Mexico,20.5767,-103.32652222222,24.0,16.0,80.0,66.0,25.7,3.7,6.5,80,Moderate,342.07,20.68,2026-02-08T02:11:30.865166
"Loma Dorada, Guadalajara, Mexico",Mexico,20.629554249053,-103.26392977309,24.0,16.0,74.0,66.0,36.8,,13.9,74,Moderate,5633.33,23.28,2026-02-08T02:11:35.282314
"Finanzas, Saltillo, Coahuila, Mexico",Mexico,25.421472222222,-100.99686111111,16.8,30.0,72.0,63.0,10.9,11.4,,72,Moderate,11006.29,74.05,2026-02-08T02:11:37.613180
"Facultad De Medicina, Mexico",Mexico,21.133545,-101.679543,19.6,29.3,64.0,11.0,9.3,8.4,,64,Moderate,20114.69,1.5,2026-02-08T02:11:42.762908
"Aguilas, Jalisco, Mexico",Mexico,20.629602722222224,-103.41677252777778,17.0,42.0,64.0,54.0,15.9,2.6,6.1,64,Moderate,302.84,9.97,2026-02-08T02:11:45.149112
"SUR, CHIH1, Chihuahua -Estatal, Mexico",Mexico,28.632775,-106.03886694444,12.7,79.0,63.0,44.0,,,,63,Moderate,11787.18,24.34,2026-02-08T02:11:47.808644
"Biblioteca, Tizayuca, Hidalgo, Mexico",Mexico,19.840583333333,-98.981333333333,14.4,33.0,,61.0,17.9,3.2,16.7,61,Moderate,550.68,32.18,2026-02-08T02:11:54.466452
"Centro, Jalisco, Mexico",Mexico,20.67236666666667,-103.33335883333334,24.0,16.0,57.0,35.0,26.1,4.5,8.9,57,Moderate,17642.39,14.98,2026-02-08T02:11:58.216736
"Atemajac, Jalisco, Mexico",Mexico,20.718180277777776,-103.35549144444444,24.0,16.0,57.0,35.0,19.1,4.5,10.0,57,Moderate,16011.6,12.43,2026-02-08T02:12:01.002951
"US Embassy, Guatemala City, Guatemala",Guatemala,14.6069387,-90.5169696,15.0,87.0,61.0,,,,,61,Moderate,31197.09,108.86,2026-02-08T02:12:05.927240
"San Salvador Este, El Salavor",El Salvador,13.71518889,-89.15481944,24.0,44.0,9.0,,,,,-,,4024.59,1794.07,2026-02-08T02:12:18.859057
"ITCA, Santa Tecla, El Salavor",El Salvador,13.673168,-89.279399,24.0,62.0,93.0,,,,,93,Moderate,1765.92,1801.85,2026-02-08T02:12:29.036572
"UTEC Campus, San Salvador, El Salavor",El Salvador,13.6999671,-89.2010843,30.9,88.8,91.0,,,,,91,Moderate,4024.59,1796.97,2026-02-08T02:12:31.528568
"San Salvador Centro, El Salavor",El Salvador,13.70630556,-89.20011667,20.8,56.0,,,,,,-,,4024.59,1797.32,2026-02-08T02:12:35.304673
"San Jose US Embassy, Costa Rica",Costa Rica,9.949488,-84.142876,20.9,69.2,38.0,,,,,38,Good,165.52,1107.57,2026-02-08T02:12:38.907434
"Movil 7ma, Bogota, Colombia",Colombia,4.645228,-74.06152,13.5,73.8,84.0,53.0,,,,84,Moderate,104164.41,72.79,2026-02-08T02:13:11.988963
"Fontibon, Bogota, Colombia",Colombia,4.6782472,-74.1438166,14.2,84.4,81.0,27.0,6.1,0.1,2.5,81,Moderate,445.63,81.7,2026-02-08T02:13:14.613287
"Kennedy, Bogota, Colombia",Colombia,4.6249,-74.16135,14.0,84.4,78.0,30.0,7.7,0.6,7.8,78,Moderate,,79.06,2026-02-08T02:13:23.775775
