City,Country,Latitude,Longitude,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,AQI,Air_Quality_Category,Population_Density,Proximity_to_Industrial_Areas,Timestamp
"T-21, Mexico",Mexico,21.108664,-101.688614,15.0,38.0,156.0,86.0,,8.6,49.8,156,Poor,20114.69,2.74,2026-01-31T01:42:29.813882
"Hospital General, Mexico",Mexico,20.947924,-101.425774,12.0,46.0,118.0,87.0,11.0,13.8,32.5,118,Poor,1061.27,34.59,2026-01-31T01:42:35.282449
"CICEG, Mexico",Mexico,21.10343,-101.636345,15.0,38.0,91.0,73.0,0.1,13.2,54.9,91,Moderate,,6.82,2026-01-31T01:42:50.939493
"Centro de Salud, Apizaco, Tlaxcala, Mexico",Mexico,19.409853333333,-98.150011111111,21.0,77.0,90.0,58.0,0.1,0.1,6.8,90,Moderate,630.33,92.76,2026-01-31T01:42:53.386302
"Abasolo Presidencia Municipal, Mexico",Mexico,20.425277777778,-101.19805555556,6.0,93.0,80.0,,,,,80,Moderate,924.79,42.91,2026-01-31T01:43:03.814929
"Secundaria Leyes de Reforma, Aguascalientes, Mexico",Mexico,21.903003362672,-102.28461279505,18.8,24.0,78.0,25.0,16.0,,500.0,78,Moderate,10999.44,104.96,2026-01-31T01:43:06.195086
"Santa Fe, Jalisco, Mexico",Mexico,20.528912,-103.377146,24.0,20.0,76.0,46.0,16.5,16.2,11.4,76,Moderate,1772.02,21.65,2026-01-31T01:43:08.494084
"US Embassy, Guatemala City, Guatemala",Guatemala,14.6069387,-90.5169696,15.0,87.0,61.0,,,,,61,Moderate,31197.09,108.86,2026-01-31T01:43:15.385746
"San Salvador Este, El Salavor",El Salvador,13.71518889,-89.15481944,25.0,65.0,9.0,,,,,-,,4024.59,1794.07,2026-01-31T01:43:20.714012
"ITCA, Santa Tecla, El Salavor",El Salvador,13.673168,-89.279399,24.0,62.0,93.0,,,,,93,Moderate,1765.92,1801.85,2026-01-31T01:43:23.199452
"UTEC Campus, San Salvador, El Salavor",El Salvador,13.6999671,-89.2010843,30.9,88.8,91.0,,,,,91,Moderate,4024.59,1796.97,2026-01-31T01:43:25.590014
"San Salvador Centro, El Salavor",El Salvador,13.70630556,-89.20011667,23.7,68.5,,,,,,-,,4024.59,1797.32,2026-01-31T01:43:29.626723
"San Jose US Embassy, Costa Rica",Costa Rica,9.949488,-84.142876,20.9,69.2,38.0,,,,,38,Good,165.52,1107.57,2026-01-31T01:43:33.560824
"Fontibon, Bogota, Colombia",Colombia,4.6782472,-74.1438166,14.5,81.9,73.0,40.0,8.1,0.3,7.7,73,Moderate,445.63,81.7,2026-01-31T01:44:07.108892
"Kennedy, Bogota, Colombia",Colombia,4.6249,-74.16135,14.0,81.9,67.0,30.0,13.2,0.8,11.0,67,Moderate,,79.06,2026-01-31T01:44:11.070390
"Centro de Alto Rendimiento, Bogota, Colombia",Colombia,4.65837,-74.084,15.3,80.0,61.0,14.0,10.8,0.7,7.1,61,Moderate,104164.41,75.54,2026-01-31T01:44:14.538293
"San Cristobal, Bogota, Colombia",Colombia,4.5725,-74.0836,14.5,67.0,55.0,21.0,16.8,1.0,4.6,55,Moderate,,68.77,2026-01-31T01:44:24.813819
"Las Ferias, Bogota, Colombia",Colombia,4.6906,-74.08256,15.8,70.0,53.0,15.0,16.9,,11.1,53,Moderate,104164.41,78.11,2026-01-31T01:44:33.742509
"Tunal, Bogota, Colombia",Colombia,4.57619,-74.13093,14.0,71.0,34.0,44.0,3.6,0.7,,44,Good,,72.99,2026-01-31T01:44:36.051884
"Movil 7ma, Bogota, Colombia",Colombia,4.645228,-74.06152,16.8,57.0,43.0,24.0,,,,43,Good,104164.41,72.79,2026-01-31T01:44:38.374486
