City,Country,Latitude,Longitude,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,AQI,Air_Quality_Category,Population_Density,Proximity_to_Industrial_Areas,Timestamp
"Finanzas, Saltillo, Coahuila, Mexico",Mexico,25.421472222222,-100.99686111111,20.3,74.2,138.0,61.0,10.2,11.2,,138,Poor,,,2026-05-02T02:25:54.077270
"Aguilas, Jalisco, Mexico",Mexico,20.629602722222224,-103.41677252777778,27.0,18.0,97.0,39.0,3.3,2.6,3.2,97,Moderate,,,2026-05-02T02:26:02.672341
"Hospital General, Mexico",Mexico,20.947924,-101.425774,20.9,51.6,96.0,77.0,3.2,3.4,5.3,96,Moderate,,,2026-05-02T02:26:06.080569
"Palacio Municipal Cuautla, Cuautla, Morelos, Mexico",Mexico,18.812986944444,-98.955305833333,22.0,60.0,91.0,,20.4,1.8,10.7,91,Moderate,,,2026-05-02T02:26:12.674390
"San Luis De La Paz Presidencia Municipal, Mexico",Mexico,21.295861111111,-100.52330555556,28.0,19.6,89.0,,,,,89,Moderate,,,2026-05-02T02:26:21.085787
"Las Pintas, Guadalajara, Mexico",Mexico,20.5767,-103.32652222222,27.0,18.0,83.0,69.0,4.0,4.7,5.0,83,Moderate,,,2026-05-02T02:26:29.087870
"Biblioteca, Tizayuca, Hidalgo, Mexico",Mexico,19.840583333333,-98.981333333333,21.6,48.0,82.0,56.0,12.4,4.2,6.7,82,Moderate,,,2026-05-02T02:26:32.679846
"Santa Fe, Jalisco, Mexico",Mexico,20.528912,-103.377146,27.0,18.0,80.0,76.0,7.6,2.6,6.5,80,Moderate,,,2026-05-02T02:26:35.734547
"US Embassy, Guatemala City, Guatemala",Guatemala,14.6069387,-90.5169696,15.0,87.0,61.0,,,,,61,Moderate,,,2026-05-02T02:26:45.091251
"San Salvador Este, El Salavor",El Salvador,13.71518889,-89.15481944,28.0,61.0,9.0,,,,,-,,,,2026-05-02T02:26:51.686336
"ITCA, Santa Tecla, El Salavor",El Salvador,13.673168,-89.279399,24.0,62.0,93.0,,,,,93,Moderate,,,2026-05-02T02:26:55.112754
"UTEC Campus, San Salvador, El Salavor",El Salvador,13.6999671,-89.2010843,30.9,88.8,91.0,,,,,91,Moderate,,,2026-05-02T02:26:58.739827
"San Salvador Centro, El Salavor",El Salvador,13.70630556,-89.20011667,24.4,78.2,,,,,,-,,,,2026-05-02T02:27:03.702224
"San Jose US Embassy, Costa Rica",Costa Rica,9.949488,-84.142876,20.9,69.2,38.0,,,,,38,Good,,,2026-05-02T02:27:08.100611
"Fontibon, Bogota, Colombia",Colombia,4.6782472,-74.1438166,15.8,68.0,64.0,26.0,8.3,0.2,7.6,64,Moderate,,,2026-05-02T02:27:43.111767
"Carvajal - Sevillana, Bogota, Colombia",Colombia,4.5958,-74.14855,16.9,87.0,59.0,,,2.8,11.3,59,Moderate,,,2026-05-02T02:27:49.718312
"Movil 7ma, Bogota, Colombia",Colombia,4.645228,-74.06152,16.5,57.8,42.0,32.0,,,,42,Good,,,2026-05-02T02:28:11.116167
"Tunal, Bogota, Colombia",Colombia,4.57619,-74.13093,15.0,70.0,42.0,23.0,4.3,0.4,,42,Good,,,2026-05-02T02:28:14.724650
"Guaymaral, Bogota, Colombia",Colombia,4.78374,-74.04417,14.7,71.0,25.0,18.0,3.9,0.2,3.0,25,Good,,,2026-05-02T02:28:19.763344
"San Cristobal, Bogota, Colombia",Colombia,4.5725,-74.0836,14.5,70.0,21.0,12.0,1.8,0.6,3.1,21,Good,,,2026-05-02T02:28:25.259721
"Centro, Quito, Ecuador",Ecuador,-0.221393,-78.514005,12.86,93.0,67.0,,15.6,3.0,14.6,67,Moderate,,,2026-05-02T02:28:30.118077
