City,Country,Latitude,Longitude,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,AQI,Air_Quality_Category,Population_Density,Proximity_to_Industrial_Areas,Timestamp
"Biblioteca, Tizayuca, Hidalgo, Mexico",Mexico,19.840583333333,-98.981333333333,9.4,82.0,,106.0,9.2,3.7,15.3,106,Poor,,32.18,2026-02-05T01:48:23.105174
"Secundaria Leyes de Reforma, Aguascalientes, Mexico",Mexico,21.903003362672,-102.28461279505,20.5,25.0,95.0,23.0,17.0,,,95,Moderate,10999.44,104.96,2026-02-05T01:48:29.865557
"Loma Dorada, Guadalajara, Mexico",Mexico,20.629554249053,-103.26392977309,23.5,26.5,93.0,62.0,27.6,,12.1,93,Moderate,5633.33,23.28,2026-02-05T01:48:32.681288
"Obispado, Nuevo Leon, Mexico",Mexico,25.6745177,-100.3473334,26.4,49.3,77.0,42.0,14.5,6.3,13.0,77,Moderate,14553.06,3.13,2026-02-05T01:48:45.256381
"Hospital General, Mexico",Mexico,20.947924,-101.425774,14.7,69.2,76.0,36.0,6.1,11.2,20.0,76,Moderate,1061.27,34.59,2026-02-05T01:48:47.513020
"Santa Fe, Jalisco, Mexico",Mexico,20.528912,-103.377146,23.5,26.5,68.0,57.0,31.5,19.5,20.6,68,Moderate,1772.02,21.65,2026-02-05T01:48:55.581611
"Palacio Municipal Cuautla, Cuautla, Morelos, Mexico",Mexico,18.812986944444,-98.955305833333,18.0,43.0,68.0,,24.0,4.3,12.3,68,Moderate,2003.27,81.91,2026-02-05T01:48:57.882632
"US Embassy, Guatemala City, Guatemala",Guatemala,14.6069387,-90.5169696,15.0,87.0,61.0,,,,,61,Moderate,31197.09,108.86,2026-02-05T01:49:02.787011
"San Salvador Este, El Salavor",El Salvador,13.71518889,-89.15481944,24.0,57.0,9.0,,,,,-,,4024.59,1794.07,2026-02-05T01:49:07.560801
"ITCA, Santa Tecla, El Salavor",El Salvador,13.673168,-89.279399,24.0,62.0,93.0,,,,,93,Moderate,,1801.85,2026-02-05T01:49:15.477756
"UTEC Campus, San Salvador, El Salavor",El Salvador,13.6999671,-89.2010843,30.9,88.8,91.0,,,,,91,Moderate,4024.59,1796.97,2026-02-05T01:49:18.721048
"San Salvador Centro, El Salavor",El Salvador,13.70630556,-89.20011667,22.8,56.0,,,,,,-,,4024.59,1797.32,2026-02-05T01:49:22.548728
"San Jose US Embassy, Costa Rica",Costa Rica,9.949488,-84.142876,20.9,69.2,38.0,,,,,38,Good,165.52,1107.57,2026-02-05T01:49:25.811507
"Fontibon, Bogota, Colombia",Colombia,4.6782472,-74.1438166,15.3,48.7,61.0,38.0,8.9,0.2,4.0,61,Moderate,445.63,81.7,2026-02-05T01:49:58.582197
"Guaymaral, Bogota, Colombia",Colombia,4.78374,-74.04417,12.1,78.0,61.0,28.0,8.8,0.2,4.0,61,Moderate,445.63,83.78,2026-02-05T01:50:00.944473
"Tunal, Bogota, Colombia",Colombia,4.57619,-74.13093,14.0,53.0,50.0,20.0,3.2,0.4,,50,Good,,72.99,2026-02-05T01:50:15.385620
"Las Ferias, Bogota, Colombia",Colombia,4.6906,-74.08256,14.8,49.0,46.0,5.0,10.6,,5.9,46,Good,104164.41,78.11,2026-02-05T01:50:23.780496
"San Cristobal, Bogota, Colombia",Colombia,4.5725,-74.0836,12.2,58.0,34.0,15.0,13.2,0.3,4.7,34,Good,,68.77,2026-02-05T01:50:31.204268
"Movil 7ma, Bogota, Colombia",Colombia,4.645228,-74.06152,15.1,46.7,29.0,22.0,,,,29,Good,104164.41,72.79,2026-02-05T01:50:33.595250
"MinAmbiente, Bogota, Colombia",Colombia,4.62529,-74.06724,12.3,60.0,25.0,18.0,3.2,0.4,3.5,25,Good,104164.41,71.59,2026-02-05T01:50:37.243460
"Centro de Alto Rendimiento, Bogota, Colombia",Colombia,4.65837,-74.084,12.3,60.0,25.0,8.0,3.6,0.4,2.6,25,Good,104164.41,75.54,2026-02-05T01:50:39.670979
