City,Country,Latitude,Longitude,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,AQI,Air_Quality_Category,Population_Density,Proximity_to_Industrial_Areas,Timestamp
"Palacio Municipal, Municipio de Mexicali, Baja California - Municipal, Mexico",Mexico,32.640027777778,-115.47463888889,28.3,30.0,95.0,133.0,4.9,,3.9,133,Poor,,,2026-05-18T02:54:48.971152
"Escobedo, Nuevo Leon, Mexico",Mexico,25.7802165,-100.3161126,26.4,74.3,94.0,40.0,2.5,8.0,15.3,94,Moderate,,,2026-05-18T02:54:52.298401
"Santa Fe, Jalisco, Mexico",Mexico,20.528912,-103.377146,27.0,32.0,91.0,59.0,11.4,3.4,10.3,91,Moderate,,,2026-05-18T02:54:58.973394
"Las Pintas, Guadalajara, Mexico",Mexico,20.5767,-103.32652222222,27.0,32.0,82.0,89.0,4.3,3.6,4.9,89,Moderate,,,2026-05-18T02:55:02.299647
"Metrorrey, Nuevo Leon, Mexico",Mexico,25.7779954,-100.3775906,26.3,74.7,89.0,45.0,8.4,6.3,23.0,89,Moderate,,,2026-05-18T02:55:05.950073
"Apodaca, Nuevo Leon, Mexico",Mexico,25.7815621,-100.1875974,27.0,78.0,87.0,52.0,5.8,4.2,7.7,87,Moderate,,,2026-05-18T02:55:13.974224
"Tulancingo, Hidalgo, Mexico",Mexico,20.08525,-98.366638888889,27.0,88.0,83.0,36.0,14.7,2.1,10.0,83,Moderate,,,2026-05-18T02:55:19.301742
"Palacio Municipal Cuautla, Cuautla, Morelos, Mexico",Mexico,18.812986944444,-98.955305833333,20.0,50.7,82.0,,10.0,2.0,8.0,82,Moderate,,,2026-05-18T02:55:22.976776
"Biblioteca, Tizayuca, Hidalgo, Mexico",Mexico,19.840583333333,-98.981333333333,15.0,73.0,81.0,50.0,8.8,3.6,6.1,81,Moderate,,,2026-05-18T02:55:25.953206
"S. Catarina, Nuevo Leon, Mexico",Mexico,25.6869003,-100.4220058,26.3,74.7,80.0,8.0,13.5,6.6,14.6,80,Moderate,,,2026-05-18T02:55:29.702833
"Palacio Municipal, Morelia, Mexico",Mexico,19.702153,-101.190948,19.0,63.0,78.0,,,,1.0,78,Moderate,,,2026-05-18T02:55:35.979456
"US Embassy, Guatemala City, Guatemala",Guatemala,14.6069387,-90.5169696,15.0,87.0,61.0,,,,,61,Moderate,,,2026-05-18T02:55:44.981434
"San Salvador Este, El Salavor",El Salvador,13.71518889,-89.15481944,28.0,69.0,9.0,,,,,-,,,,2026-05-18T02:55:51.516651
"ITCA, Santa Tecla, El Salavor",El Salvador,13.673168,-89.279399,24.0,62.0,93.0,,,,,93,Moderate,,,2026-05-18T02:55:54.410541
"UTEC Campus, San Salvador, El Salavor",El Salvador,13.6999671,-89.2010843,30.9,88.8,91.0,,,,,91,Moderate,,,2026-05-18T02:55:57.948974
"San Salvador Centro, El Salavor",El Salvador,13.70630556,-89.20011667,25.0,74.5,,,,,,-,,,,2026-05-18T02:56:02.517723
"San Jose US Embassy, Costa Rica",Costa Rica,9.949488,-84.142876,20.9,69.2,38.0,,,,,38,Good,,,2026-05-18T02:56:07.412813
"Fontibon, Bogota, Colombia",Colombia,4.6782472,-74.1438166,14.5,74.0,41.0,24.0,11.5,1.4,7.0,41,Good,,,2026-05-18T02:56:57.524627
"Las Ferias, Bogota, Colombia",Colombia,4.6906,-74.08256,14.0,69.0,34.0,4.0,7.7,,6.2,34,Good,,,2026-05-18T02:57:04.423367
"MinAmbiente, Bogota, Colombia",Colombia,4.62529,-74.06724,11.7,73.0,25.0,11.0,3.5,0.2,4.4,25,Good,,,2026-05-18T02:57:07.526310
"Carvajal - Sevillana, Bogota, Colombia",Colombia,4.5958,-74.14855,15.7,93.0,25.0,,,0.6,11.3,25,Good,,,2026-05-18T02:57:10.957496
"Tunal, Bogota, Colombia",Colombia,4.57619,-74.13093,12.0,75.0,21.0,7.0,4.0,0.7,,21,Good,,,2026-05-18T02:57:14.424365
"Centro de Alto Rendimiento, Bogota, Colombia",Colombia,4.65837,-74.084,11.7,73.0,18.0,6.0,3.1,0.3,2.2,18,Good,,,2026-05-18T02:57:19.530281
"Kennedy, Bogota, Colombia",Colombia,4.6249,-74.16135,12.0,74.0,10.0,17.0,6.7,0.9,9.3,17,Good,,,2026-05-18T02:57:22.427350
"Cotocollao, Quito, Ecuador",Ecuador,-0.107777,-78.497222,13.03,100.0,59.0,9.0,27.5,3.2,14.4,59,Moderate,,,2026-05-18T02:57:27.530973
"El Camal, Quito, Ecuador",Ecuador,-0.25,-78.51,13.1,100.0,44.0,,37.1,5.5,16.3,44,Good,,,2026-05-18T02:57:31.428216
"Centro, Quito, Ecuador",Ecuador,-0.221393,-78.514005,12.44,100.0,41.0,,14.8,3.1,20.7,41,Good,,,2026-05-18T02:57:34.531716
"Belisario, Quito, Ecuador",Ecuador,-0.184719,-78.495986,12.44,100.0,6.0,9.0,24.4,0.6,8.1,9,Good,,,2026-05-18T02:57:37.960298
"Los Chillos, Quito, Ecuador",Ecuador,-0.297062,-78.455248,15.17,100.0,,,21.8,15.9,10.3,1,Good,,,2026-05-18T02:57:41.430347
"estacion01, Cuenca, Ecuador",Ecuador,-2.897,-79.003,23.0,18.0,151.0,,130.2,9.7,4.6,151,Poor,,,2026-05-18T02:57:44.534836
"estacion02, Cuenca, Ecuador",Ecuador,-2.879789,-78.980213,23.0,18.0,134.0,,130.2,9.7,4.6,142,Poor,,,2026-05-18T02:57:47.794633
"estacion03, Cuenca, Ecuador",Ecuador,-2.879889,-78.981213,15.0,87.0,51.0,,16.5,4.6,9.5,51,Moderate,,,2026-05-18T02:57:51.430821
"Tumbaco, Quito, Ecuador",Ecuador,-0.214933,-78.403253,15.51,100.0,14.0,,10.7,3.4,,19,Good,,,2026-05-18T02:57:54.537403
"Carapungo, Quito, Ecuador",Ecuador,-0.095472,-78.449809,13.67,100.0,40.0,9.0,23.4,2.7,7.7,40,Good,,,2026-05-18T02:57:59.431376
"San Juan De Lurigancho, Lima, Peru",Peru,-11.98164,-76.99925,21.1,82.0,82.0,36.0,13.2,6.7,9.0,82,Moderate,,,2026-05-18T02:58:03.538445
"San Borja, Lima, Peru",Peru,-12.10859,-77.00769,21.1,82.0,68.0,42.0,7.1,13.8,7.1,68,Moderate,,,2026-05-18T02:58:06.432267
"Campo De Marte, Lima, Peru",Peru,-12.07054,-77.04322,21.1,82.0,62.0,24.0,14.5,6.7,6.4,62,Moderate,,,2026-05-18T02:58:09.967417
"San Martin De Porres, Lima, Peru",Peru,-12.00889,-77.08447,21.1,82.0,59.0,21.0,13.4,6.0,6.3,59,Moderate,,,2026-05-18T02:58:13.540189
"Villa Maria Del Triunfo, Lima, Peru",Peru,-12.16639,-76.92,21.1,82.0,58.0,21.0,7.9,13.4,11.2,58,Moderate,,,2026-05-18T02:58:17.433471
"Santa Anita, Lima, Peru",Peru,-12.04302,-76.97144,21.1,82.0,,43.0,15.3,5.7,7.1,43,Good,,,2026-05-18T02:58:20.968217
"US Embassy, Lima, Peru",Peru,-12.1052081,-76.9709299,23.3,84.0,34.0,,,,,34,Good,,,2026-05-18T02:58:24.542052
"Huachipa, Lima, Peru",Peru,-12.01689,-76.94883,22.2,75.0,193.0,155.0,8.4,33.0,200.9,33,Good,,,2026-05-18T02:58:27.799770
"Ate, Lima, Peru",Peru,-12.02611,-76.91861,22.8,85.3,,,,,,-,,,,2026-05-18T02:58:31.435353
"Carabayllo, Lima, Peru",Peru,-11.90219,-77.03364,21.1,82.0,,,14.9,2.8,4.4,4,Good,,,2026-05-18T02:58:34.543244
"Puente Piedra, Lima, Peru",Peru,-11.86325,-77.07413,21.1,82.0,70.0,,27.2,3.2,9.1,70,Moderate,,,2026-05-18T02:58:37.969828
"Velachery Res. Area, Chennai, Chennai, India",Peru,13.0052189,80.2398125,30.5,71.965,61.0,46.0,4.4,2.3,,46,Good,,,2026-05-18T02:58:42.544172
"IIT, Chennai, Chennai, India",Peru,12.99251389,80.23744722,30.0,62.0,,,,,,-,,,,2026-05-18T02:58:45.489346
"Parque Kanata, Cochabamba, Bolivia",Bolivia,-17.4125902,-66.1584437,19.0,34.0,,51.0,18.9,,,51,Moderate,,,2026-05-18T02:59:00.768988
"Fuerza Aerea, Cochabamba, Bolivia",Bolivia,-17.4197854,-66.1685226,19.0,34.0,,49.0,,,,49,Good,,,2026-05-18T02:59:03.817484
"Semapa, Cochabamba, Bolivia",Bolivia,-17.3609718,-66.1607009,19.0,34.0,,25.0,,,,25,Good,,,2026-05-18T02:59:07.274739
"La Florida 2, Chile",Chile,-35.435141887663,-71.678261499336,8.4,84.9,418.0,272.0,22.0,6.1,82.7,418,Hazardous,,,2026-05-18T02:59:48.777247
"Consultorio - San Vicente, Chile",Chile,-36.723695141848,-73.123658865174,9.0,81.0,385.0,220.0,22.6,1.3,,385,Hazardous,,,2026-05-18T02:59:53.497532
"Puren, Chile",Chile,-36.616167751711,-72.093040558483,8.0,88.1,353.0,197.0,,,,353,Hazardous,,,2026-05-18T02:59:58.779152
"Vialidad, Chile",Chile,-45.40680023471,-72.696259617805,-3.0,92.0,284.0,,,,,284,Hazardous,,,2026-05-18T03:00:06.779980
"Las Encinas Temuco, Chile",Chile,-38.74869912298,-72.620788228172,4.7,100.0,265.0,128.0,,,24.5,265,Hazardous,,,2026-05-18T03:00:10.499991
"Linares, Chile",Chile,-35.836942234921,-71.592865853985,12.0,62.0,217.0,,,,,217,Poor,,,2026-05-18T03:00:15.780748
"Padre Las Casas II, Chile",Chile,-38.764767451719,-72.598795682209,4.7,100.0,179.0,86.0,29.5,,22.5,179,Poor,,,2026-05-18T03:00:18.826399
