City,Country,Latitude,Longitude,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,AQI,Air_Quality_Category,Population_Density,Proximity_to_Industrial_Areas,Timestamp
"Secundaria Leyes de Reforma, Aguascalientes, Mexico",Mexico,21.903003362672,-102.28461279505,15.5,63.0,99.0,33.0,3.5,0.1,3.5,99,Moderate,,104.96,2026-01-18T01:29:16.983326
"Las Pintas, Guadalajara, Mexico",Mexico,20.5767,-103.32652222222,18.0,63.0,96.0,49.0,32.9,12.6,13.3,96,Moderate,,20.68,2026-01-18T01:29:22.938709
"Santa Fe, Jalisco, Mexico",Mexico,20.528912,-103.377146,18.0,63.0,95.0,48.0,98.6,0.6,25.8,95,Moderate,1772.02,21.65,2026-01-18T01:29:25.425495
"Miravalle, Guadalajara, Mexico",Mexico,20.61504997567,-103.34343019128,18.0,63.0,95.0,30.0,30.9,2.5,11.8,95,Moderate,8277.63,16.64,2026-01-18T01:29:28.393487
"Loma Dorada, Guadalajara, Mexico",Mexico,20.629554249053,-103.26392977309,18.0,63.0,76.0,49.0,36.1,,19.3,76,Moderate,5633.33,23.28,2026-01-18T01:29:33.638008
"Tulancingo, Hidalgo, Mexico",Mexico,20.08525,-98.366638888889,22.0,100.0,73.0,31.0,9.6,6.1,15.8,73,Moderate,1351.71,90.6,2026-01-18T01:29:39.015335
"Palacio de Gobierno, Tlaxcala, Tlaxcala, Mexico",Mexico,19.317583333333,-98.237305555556,17.0,100.0,73.0,40.0,10.7,,,73,Moderate,611.54,86.25,2026-01-18T01:29:44.811578
"Centro de Salud, Apizaco, Tlaxcala, Mexico",Mexico,19.409853333333,-98.150011111111,22.0,100.0,70.0,36.0,0.1,0.1,5.5,70,Moderate,630.33,92.76,2026-01-18T01:29:53.891699
"S. Catarina, Nuevo Leon, Mexico",Mexico,25.6869003,-100.4220058,6.4,68.0,68.0,50.0,34.2,4.5,18.3,68,Moderate,,9.93,2026-01-18T01:30:07.806707
"T-21, Mexico",Mexico,21.108664,-101.688614,18.0,48.0,66.0,22.0,,4.6,22.5,66,Moderate,,2.74,2026-01-18T01:30:13.759979
"US Embassy, Guatemala City, Guatemala",Guatemala,14.6069387,-90.5169696,15.0,87.0,61.0,,,,,61,Moderate,31197.09,108.86,2026-01-18T01:30:19.129789
"San Salvador Este, El Salavor",El Salvador,13.71518889,-89.15481944,26.0,65.0,9.0,,,,,-,,,1794.07,2026-01-18T01:30:27.689472
