City,Country,Latitude,Longitude,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,AQI,Air_Quality_Category,Population_Density,Proximity_to_Industrial_Areas,Timestamp
"Secundaria Leyes de Reforma, Aguascalientes, Mexico",Mexico,21.903003362672,-102.28461279505,19.7,19.0,76.0,22.0,8.2,,500.0,500,Hazardous,10999.44,104.96,2025-12-22T01:23:48.810547
"Oblatos, Jalisco, Mexico",Mexico,20.699048277777777,-103.29667683333334,18.0,23.0,184.0,47.0,32.3,5.4,11.2,184,Poor,17642.39,18.44,2025-12-22T01:23:57.302791
"Las Pintas, Guadalajara, Mexico",Mexico,20.5767,-103.32652222222,18.0,23.0,137.0,76.0,35.3,2.2,19.7,137,Poor,342.07,20.68,2025-12-22T01:24:02.380305
"Santa Fe, Jalisco, Mexico",Mexico,20.528912,-103.377146,18.0,23.0,129.0,30.0,39.6,9.5,23.6,129,Poor,1772.02,21.65,2025-12-22T01:24:06.168841
"Pastora, Nuevo Leon, Mexico",Mexico,25.6717286,-100.2231895,30.0,41.0,83.0,63.0,13.7,31.6,24.3,87,Moderate,8096.05,10.31,2025-12-22T01:24:24.232079
"Obispado, Nuevo Leon, Mexico",Mexico,25.6745177,-100.3473334,30.0,41.0,54.0,38.0,16.7,28.3,9.4,83,Moderate,14553.06,3.13,2025-12-22T01:24:35.769567
"Biblioteca, Tizayuca, Hidalgo, Mexico",Mexico,19.840583333333,-98.981333333333,11.4,66.6,27.0,80.0,14.4,3.4,11.7,80,Moderate,,32.18,2025-12-22T01:24:44.685229
"Miravalle, Guadalajara, Mexico",Mexico,20.61504997567,-103.34343019128,18.0,23.0,78.0,62.0,43.3,1.6,10.3,78,Moderate,8277.63,16.64,2025-12-22T01:25:00.036060
"US Embassy, Guatemala City, Guatemala",Guatemala,14.6069387,-90.5169696,15.0,87.0,61.0,,,,,61,Moderate,31197.09,108.86,2025-12-22T01:25:07.350460
"San Salvador Centro, El Salavor",El Salvador,13.70630556,-89.20011667,23.8,96.0,,,,,,-,,4024.59,1797.32,2025-12-22T01:25:12.865236
"San Salvador Este, El Salavor",El Salvador,13.71518889,-89.15481944,23.8,96.0,9.0,,,,,-,,,1794.07,2025-12-22T01:25:21.900650
"ITCA, Santa Tecla, El Salavor",El Salvador,13.673168,-89.279399,24.0,62.0,93.0,,,,,93,Moderate,1765.92,1801.85,2025-12-22T01:25:26.502689
"UTEC Campus, San Salvador, El Salavor",El Salvador,13.6999671,-89.2010843,30.9,88.8,91.0,,,,,91,Moderate,4024.59,1796.97,2025-12-22T01:25:36.028348
"San Jose US Embassy, Costa Rica",Costa Rica,9.949488,-84.142876,20.9,69.2,38.0,,,,,38,Good,165.52,1107.57,2025-12-22T01:25:42.210776
"Fontibon, Bogota, Colombia",Colombia,4.6782472,-74.1438166,13.8,67.8,70.0,12.0,10.9,,6.2,70,Moderate,445.63,81.7,2025-12-22T01:26:17.463149
"Carvajal - Sevillana, Bogota, Colombia",Colombia,4.5958,-74.14855,16.0,100.0,68.0,51.0,,2.0,11.8,68,Moderate,,75.88,2025-12-22T01:26:25.271565
"Las Ferias, Bogota, Colombia",Colombia,4.6906,-74.08256,14.0,75.0,61.0,11.0,13.8,,8.8,61,Moderate,104164.41,,2025-12-22T01:26:40.949037
"Centro de Alto Rendimiento, Bogota, Colombia",Colombia,4.65837,-74.084,14.1,83.0,59.0,20.0,8.2,0.7,6.5,59,Moderate,,75.54,2025-12-22T01:26:54.267901
"MinAmbiente, Bogota, Colombia",Colombia,4.62529,-74.06724,14.1,83.0,57.0,22.0,8.1,0.5,7.3,57,Moderate,104164.41,71.59,2025-12-22T01:27:05.720640
"San Cristobal, Bogota, Colombia",Colombia,4.5725,-74.0836,13.6,64.0,50.0,9.0,0.1,59.6,1.4,50,Good,,68.77,2025-12-22T01:27:14.940524
"Movil 7ma, Bogota, Colombia",Colombia,4.645228,-74.06152,15.5,64.7,42.0,34.0,,,,42,Good,104164.41,72.79,2025-12-22T01:27:21.271439
"Tunal, Bogota, Colombia",Colombia,4.57619,-74.13093,13.0,64.0,38.0,15.0,1.9,2.0,,38,Good,,72.99,2025-12-22T01:27:28.449963
"Guaymaral, Bogota, Colombia",Colombia,4.78374,-74.04417,14.0,69.0,34.0,20.0,6.7,0.4,3.7,34,Good,445.63,83.78,2025-12-22T01:27:31.109542
"Cotocollao, Quito, Ecuador",Ecuador,-0.107777,-78.497222,13.24,77.0,56.0,39.0,14.9,0.4,1.0,56,Moderate,,451.2,2025-12-22T01:27:35.125623
"Belisario, Quito, Ecuador",Ecuador,-0.184719,-78.495986,13.85,77.0,51.0,39.0,29.8,0.2,7.5,51,Moderate,,458.58,2025-12-22T01:27:42.141738
"El Camal, Quito, Ecuador",Ecuador,-0.25,-78.51,14.37,77.0,51.0,,38.5,0.8,13.4,51,Moderate,34010.69,465.66,2025-12-22T01:27:45.387514
"Centro, Quito, Ecuador",Ecuador,-0.221393,-78.514005,13.85,77.0,40.0,,,1.5,5.0,40,Good,,463.1,2025-12-22T01:27:53.444408
"Los Chillos, Quito, Ecuador",Ecuador,-0.297062,-78.455248,16.66,77.0,,,,,488.2,29,Good,,467.4,2025-12-22T01:27:56.215477
"estacion01, Cuenca, Ecuador",Ecuador,-2.897,-79.003,23.0,18.0,151.0,,130.2,9.7,4.6,151,Poor,6312.42,754.66,2025-12-22T01:27:59.175774
"estacion02, Cuenca, Ecuador",Ecuador,-2.879789,-78.980213,23.0,18.0,134.0,,130.2,9.7,4.6,142,Poor,6312.42,751.96,2025-12-22T01:28:07.293380
"estacion03, Cuenca, Ecuador",Ecuador,-2.879889,-78.981213,15.0,87.0,51.0,,16.5,4.6,9.5,51,Moderate,6312.42,752.02,2025-12-22T01:28:12.041182
"Tumbaco, Quito, Ecuador",Ecuador,-0.214933,-78.403253,16.78,77.0,46.0,,13.0,1.5,10.6,46,Good,,456.68,2025-12-22T01:28:17.998085
"Carapungo, Quito, Ecuador",Ecuador,-0.095472,-78.449809,14.91,77.0,19.0,23.0,15.1,2.0,6.0,23,Good,,447.45,2025-12-22T01:28:23.319829
"Villa Maria Del Triunfo, Lima, Peru",Peru,-12.16639,-76.92,21.1,79.0,77.0,27.0,10.2,4.7,17.8,77,Moderate,,1727.81,2025-12-22T01:28:30.026466
"San Juan De Lurigancho, Lima, Peru",Peru,-11.98164,-76.99925,21.1,79.0,70.0,28.0,,5.4,,70,Moderate,,1707.63,2025-12-22T01:28:37.022090
"Campo De Marte, Lima, Peru",Peru,-12.07054,-77.04322,21.1,79.0,68.0,27.0,9.3,3.1,11.6,68,Moderate,127188.7,1717.62,2025-12-22T01:28:40.546027
"San Borja, Lima, Peru",Peru,-12.10859,-77.00769,21.1,79.0,65.0,43.0,12.4,5.5,8.7,65,Moderate,,1721.69,2025-12-22T01:28:50.779841
"San Martin De Porres, Lima, Peru",Peru,-12.00889,-77.08447,21.1,79.0,62.0,23.0,15.0,2.2,8.2,62,Moderate,,1710.96,2025-12-22T01:28:53.801887
"Santa Anita, Lima, Peru",Peru,-12.04302,-76.97144,21.1,79.0,,36.0,16.6,8.5,8.3,36,Good,,1714.32,2025-12-22T01:28:56.508249
"US Embassy, Lima, Peru",Peru,-12.1052081,-76.9709299,23.3,84.0,34.0,,,,,34,Good,,1721.2,2025-12-22T01:29:00.237929
"Huachipa, Lima, Peru",Peru,-12.01689,-76.94883,22.2,75.0,193.0,155.0,8.4,33.0,200.9,33,Good,,1711.36,2025-12-22T01:29:03.039814
