City,Country,Latitude,Longitude,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,AQI,Air_Quality_Category,Population_Density,Proximity_to_Industrial_Areas,Timestamp
"Santa Fe, Jalisco, Mexico",Mexico,20.528912,-103.377146,25.0,13.0,132.0,48.0,17.2,5.1,18.1,132,Poor,1772.02,21.65,2026-02-22T01:52:00.538929
"Centro de Salud, Apizaco, Tlaxcala, Mexico",Mexico,19.409853333333,-98.150011111111,28.0,69.0,116.0,77.0,0.1,0.1,8.2,116,Poor,630.33,92.76,2026-02-22T01:52:03.024171
"Finanzas, Saltillo, Coahuila, Mexico",Mexico,25.421472222222,-100.99686111111,14.4,70.0,103.0,104.0,5.9,7.6,,104,Poor,,,2026-02-22T01:52:09.909697
"Palacio Municipal, Municipio de Mexicali, Baja California - Municipal, Mexico",Mexico,32.640027777778,-115.47463888889,21.7,27.1,99.0,11.0,4.3,,4.4,99,Moderate,10875.84,,2026-02-22T01:52:22.081240
"Tulancingo, Hidalgo, Mexico",Mexico,20.08525,-98.366638888889,25.0,94.0,80.0,49.0,4.8,6.4,17.6,80,Moderate,1351.71,,2026-02-22T01:52:40.586413
"Hospital General, Mexico",Mexico,20.947924,-101.425774,29.0,9.0,78.0,51.0,14.4,5.5,15.3,78,Moderate,1061.27,34.59,2026-02-22T01:52:44.765555
"Apodaca, Nuevo Leon, Mexico",Mexico,25.7815621,-100.1875974,24.0,23.0,76.0,50.0,7.5,3.6,23.3,76,Moderate,,,2026-02-22T01:53:02.221503
"San Juanico, Mexico",Mexico,20.537489,-100.839905,25.4,19.6,74.0,62.0,16.5,12.1,8.6,74,Moderate,4814.67,,2026-02-22T01:53:14.474004
"Secundaria Leyes de Reforma, Aguascalientes, Mexico",Mexico,21.903003362672,-102.28461279505,25.0,12.5,74.0,21.0,11.3,,0.8,74,Moderate,10999.44,104.96,2026-02-22T01:53:17.150145
"Facultad De Medicina, Mexico",Mexico,21.133545,-101.679543,29.0,9.0,70.0,13.0,9.5,10.6,,70,Moderate,20114.69,,2026-02-22T01:53:38.898954
"Celaya Policia, Celaya, Mexico",Mexico,20.518569711338,-100.81674332276,25.3,19.7,68.0,61.0,12.6,6.6,7.0,68,Moderate,4814.67,,2026-02-22T01:53:52.646623
"US Embassy, Guatemala City, Guatemala",Guatemala,14.6069387,-90.5169696,15.0,87.0,61.0,,,,,61,Moderate,31197.09,,2026-02-22T01:54:09.338879
"San Salvador Este, El Salavor",El Salvador,13.71518889,-89.15481944,26.0,54.0,9.0,,,,,-,,4024.59,,2026-02-22T01:54:18.967383
"ITCA, Santa Tecla, El Salavor",El Salvador,13.673168,-89.279399,24.0,62.0,93.0,,,,,93,Moderate,,1801.85,2026-02-22T01:54:27.936415
"UTEC Campus, San Salvador, El Salavor",El Salvador,13.6999671,-89.2010843,30.9,88.8,91.0,,,,,91,Moderate,4024.59,,2026-02-22T01:54:30.687734
"San Salvador Centro, El Salavor",El Salvador,13.70630556,-89.20011667,22.9,75.9,,,,,,-,,,,2026-02-22T01:54:39.689245
"San Jose US Embassy, Costa Rica",Costa Rica,9.949488,-84.142876,20.9,69.2,38.0,,,,,38,Good,165.52,1107.57,2026-02-22T01:54:43.601761
"Centro de Alto Rendimiento, Bogota, Colombia",Colombia,4.65837,-74.084,13.5,85.0,78.0,30.0,10.2,0.7,6.4,78,Moderate,,75.54,2026-02-22T01:55:22.898193
"Las Ferias, Bogota, Colombia",Colombia,4.6906,-74.08256,15.2,72.0,76.0,16.0,10.7,,7.3,76,Moderate,104164.41,,2026-02-22T01:55:35.266141
"Fontibon, Bogota, Colombia",Colombia,4.6782472,-74.1438166,13.7,80.7,74.0,26.0,7.0,0.1,6.2,74,Moderate,,,2026-02-22T01:55:53.427097
"Kennedy, Bogota, Colombia",Colombia,4.6249,-74.16135,14.0,84.5,68.0,19.0,8.8,0.7,0.8,68,Moderate,,,2026-02-22T01:56:07.314278
"Tunal, Bogota, Colombia",Colombia,4.57619,-74.13093,14.0,67.0,65.0,25.0,2.6,0.8,,65,Moderate,,72.99,2026-02-22T01:56:11.068771
"Guaymaral, Bogota, Colombia",Colombia,4.78374,-74.04417,14.6,67.0,53.0,18.0,6.4,0.8,3.0,53,Moderate,445.63,83.78,2026-02-22T01:56:29.417552
"MinAmbiente, Bogota, Colombia",Colombia,4.62529,-74.06724,13.5,85.0,38.0,16.0,2.6,0.4,3.2,38,Good,104164.41,71.59,2026-02-22T01:56:35.014695
"San Cristobal, Bogota, Colombia",Colombia,4.5725,-74.0836,13.5,68.0,34.0,18.0,4.4,0.6,4.4,34,Good,,,2026-02-22T01:56:47.016921
"Centro, Quito, Ecuador",Ecuador,-0.221393,-78.514005,14.69,93.0,46.0,,,3.2,18.8,46,Good,34010.69,463.1,2026-02-22T01:56:51.560329
"El Camal, Quito, Ecuador",Ecuador,-0.25,-78.51,14.2,93.0,42.0,,39.0,3.1,14.8,42,Good,,465.66,2026-02-22T01:57:00.019362
"Belisario, Quito, Ecuador",Ecuador,-0.184719,-78.495986,14.69,93.0,12.0,23.0,35.2,4.9,9.5,15,Good,,458.58,2026-02-22T01:57:06.908467
"Los Chillos, Quito, Ecuador",Ecuador,-0.297062,-78.455248,15.31,93.0,,,,4.8,10.6,15,Good,,,2026-02-22T01:57:20.039425
"Cotocollao, Quito, Ecuador",Ecuador,-0.107777,-78.497222,14.3,93.0,6.0,23.0,22.9,2.5,8.6,13,Good,,451.2,2026-02-22T01:57:22.934692
