City,Country,Latitude,Longitude,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,AQI,Air_Quality_Category,Population_Density,Proximity_to_Industrial_Areas,Timestamp
"Las Pintas, Guadalajara, Mexico",Mexico,20.5767,-103.32652222222,26.0,31.0,144.0,165.0,5.4,3.1,,165,Poor,,,2026-05-28T02:46:45.036034
"Santa Fe, Jalisco, Mexico",Mexico,20.528912,-103.377146,26.0,31.0,119.0,88.0,9.7,2.1,8.1,119,Poor,,,2026-05-28T02:46:50.212027
"Vallarta, Guadalajara, Mexico",Mexico,20.680450840176,-103.39873310432,26.0,31.0,102.0,75.0,,,,102,Poor,,,2026-05-28T02:46:54.036938
"Palacio Municipal Cuautla, Cuautla, Morelos, Mexico",Mexico,18.812986944444,-98.955305833333,15.0,76.0,95.0,,17.1,3.1,9.9,95,Moderate,,,2026-05-28T02:46:57.254897
"Palacio Municipal, Municipio de Mexicali, Baja California - Municipal, Mexico",Mexico,32.640027777778,-115.47463888889,25.8,35.0,89.0,61.0,6.0,,4.0,89,Moderate,,,2026-05-28T02:47:00.213432
"S. Catarina, Nuevo Leon, Mexico",Mexico,25.6869003,-100.4220058,25.9,72.0,74.0,26.0,9.3,7.3,5.6,74,Moderate,,,2026-05-28T02:47:08.038686
"Loma Dorada, Guadalajara, Mexico",Mexico,20.629554249053,-103.26392977309,26.0,31.0,,74.0,5.6,,4.6,74,Moderate,,,2026-05-28T02:47:11.218065
"Secundaria Leyes de Reforma, Aguascalientes, Mexico",Mexico,21.903003362672,-102.28461279505,24.4,28.0,72.0,47.0,7.3,,,72,Moderate,,,2026-05-28T02:47:14.256777
"San Juanico, Mexico",Mexico,20.537489,-100.839905,20.8,61.7,71.0,70.0,,10.0,7.9,71,Moderate,,,2026-05-28T02:47:21.042991
"Apodaca, Nuevo Leon, Mexico",Mexico,25.7815621,-100.1875974,27.0,69.0,68.0,35.0,10.7,3.9,7.2,68,Moderate,,,2026-05-28T02:47:24.221741
"Miravalle, Guadalajara, Mexico",Mexico,20.61504997567,-103.34343019128,26.0,31.0,55.0,64.0,5.3,1.2,4.0,64,Moderate,,,2026-05-28T02:47:29.259441
"Oblatos, Jalisco, Mexico",Mexico,20.699048277777777,-103.29667683333334,26.0,31.0,53.0,64.0,3.1,4.8,2.3,64,Moderate,,,2026-05-28T02:47:33.045573
"US Embassy, Guatemala City, Guatemala",Guatemala,14.6069387,-90.5169696,15.0,87.0,61.0,,,,,61,Moderate,,,2026-05-28T02:47:41.047377
"San Salvador Este, El Salavor",El Salvador,13.71518889,-89.15481944,29.0,70.0,9.0,,,,,-,,,,2026-05-28T02:47:47.225912
"ITCA, Santa Tecla, El Salavor",El Salvador,13.673168,-89.279399,24.0,62.0,93.0,,,,,93,Moderate,,,2026-05-28T02:47:51.046825
"UTEC Campus, San Salvador, El Salavor",El Salvador,13.6999671,-89.2010843,30.9,88.8,91.0,,,,,91,Moderate,,,2026-05-28T02:47:54.262853
"San Salvador Centro, El Salavor",El Salvador,13.70630556,-89.20011667,26.1,76.0,,,,,,-,,,,2026-05-28T02:47:59.064298
"San Jose US Embassy, Costa Rica",Costa Rica,9.949488,-84.142876,20.9,69.2,38.0,,,,,38,Good,,,2026-05-28T02:48:04.051298
"Carvajal - Sevillana, Bogota, Colombia",Colombia,4.5958,-74.14855,16.2,87.0,74.0,,,31.1,16.6,74,Moderate,,,2026-05-28T02:48:37.062631
"Tunal, Bogota, Colombia",Colombia,4.57619,-74.13093,14.0,75.0,46.0,12.0,2.8,0.7,,46,Good,,,2026-05-28T02:48:45.232822
"Kennedy, Bogota, Colombia",Colombia,4.6249,-74.16135,14.0,75.3,31.0,13.0,4.8,1.9,12.3,31,Good,,,2026-05-28T02:49:02.512687
"Movil 7ma, Bogota, Colombia",Colombia,4.645228,-74.06152,16.3,60.3,25.0,16.0,,,,25,Good,,,2026-05-28T02:49:07.248427
"Guaymaral, Bogota, Colombia",Colombia,4.78374,-74.04417,14.4,76.0,21.0,12.0,0.3,0.5,2.4,21,Good,,,2026-05-28T02:49:10.411011
"MinAmbiente, Bogota, Colombia",Colombia,4.62529,-74.06724,13.2,71.0,17.0,4.0,2.0,0.5,2.6,17,Good,,,2026-05-28T02:49:14.244931
"Las Ferias, Bogota, Colombia",Colombia,4.6906,-74.08256,15.6,65.0,17.0,3.0,2.2,,3.5,17,Good,,,2026-05-28T02:49:17.966150
"San Cristobal, Bogota, Colombia",Colombia,4.5725,-74.0836,13.6,78.0,17.0,8.0,1.6,0.2,3.3,17,Good,,,2026-05-28T02:49:21.409134
"Cotocollao, Quito, Ecuador",Ecuador,-0.107777,-78.497222,14.43,93.0,65.0,1.0,22.8,2.6,12.3,65,Moderate,,,2026-05-28T02:49:26.251085
"Centro, Quito, Ecuador",Ecuador,-0.221393,-78.514005,15.49,93.0,33.0,,23.0,2.4,7.2,33,Good,,,2026-05-28T02:49:29.517312
"El Camal, Quito, Ecuador",Ecuador,-0.25,-78.51,16.49,93.0,19.0,,18.8,6.7,8.1,19,Good,,,2026-05-28T02:49:32.967192
"Belisario, Quito, Ecuador",Ecuador,-0.184719,-78.495986,15.49,93.0,7.0,1.0,21.3,2.1,6.6,7,Good,,,2026-05-28T02:49:36.251802
"Los Chillos, Quito, Ecuador",Ecuador,-0.297062,-78.455248,17.2,93.0,,,23.0,11.4,10.0,4,Good,,,2026-05-28T02:49:39.412895
"estacion01, Cuenca, Ecuador",Ecuador,-2.897,-79.003,23.0,18.0,151.0,,130.2,9.7,4.6,151,Poor,,,2026-05-28T02:49:42.519767
