City,Country,Latitude,Longitude,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,AQI,Air_Quality_Category,Population_Density,Proximity_to_Industrial_Areas,Timestamp
"Santa Fe, Jalisco, Mexico",Mexico,20.528912,-103.377146,21.0,32.0,99.0,56.0,36.4,2.4,14.4,99,Moderate,1772.02,21.65,2026-01-15T01:21:25.703576
"Palacio Municipal Cuautla, Cuautla, Morelos, Mexico",Mexico,18.812986944444,-98.955305833333,17.0,45.0,97.0,,25.8,10.2,8.4,97,Moderate,,81.91,2026-01-15T01:21:31.934315
"Secundaria Leyes de Reforma, Aguascalientes, Mexico",Mexico,21.903003362672,-102.28461279505,17.2,46.0,85.0,20.0,12.7,0.1,1.9,85,Moderate,10999.44,104.96,2026-01-15T01:21:36.650994
"S. Catarina, Nuevo Leon, Mexico",Mexico,25.6869003,-100.4220058,6.4,68.0,68.0,50.0,34.2,4.5,18.3,68,Moderate,,9.93,2026-01-15T01:21:59.862052
"Centro de Salud, Apizaco, Tlaxcala, Mexico",Mexico,19.409853333333,-98.150011111111,22.0,88.0,67.0,36.0,0.1,0.1,6.3,67,Moderate,630.33,92.76,2026-01-15T01:22:02.329173
"Cruz Roja, Mexico",Mexico,20.578896,-101.199211,18.9,52.1,64.0,49.0,29.1,10.1,8.2,64,Moderate,2045.87,41.16,2026-01-15T01:22:06.261709
"US Embassy, Guatemala City, Guatemala",Guatemala,14.6069387,-90.5169696,15.0,87.0,61.0,,,,,61,Moderate,,108.86,2026-01-15T01:22:16.869623
"San Salvador Este, El Salavor",El Salvador,13.71518889,-89.15481944,25.0,69.0,9.0,,,,,-,,4024.59,1794.07,2026-01-15T01:22:22.375105
"ITCA, Santa Tecla, El Salavor",El Salvador,13.673168,-89.279399,24.0,62.0,93.0,,,,,93,Moderate,1765.92,1801.85,2026-01-15T01:22:24.760657
"UTEC Campus, San Salvador, El Salavor",El Salvador,13.6999671,-89.2010843,30.9,88.8,91.0,,,,,91,Moderate,,1796.97,2026-01-15T01:22:32.383022
"San Salvador Centro, El Salavor",El Salvador,13.70630556,-89.20011667,25.5,57.7,,,,,,-,,,1797.32,2026-01-15T01:22:40.813436
"San Jose US Embassy, Costa Rica",Costa Rica,9.949488,-84.142876,20.9,69.2,38.0,,,,,38,Good,,1107.57,2026-01-15T01:22:47.863635
"Puente Aranda, Bogota, Colombia",Colombia,4.63187,-74.11757,13.0,65.0,46.0,,9.4,0.8,3.0,46,Good,104164.41,76.02,2026-01-15T01:23:35.039985
"Fontibon, Bogota, Colombia",Colombia,4.6782472,-74.1438166,15.0,69.2,38.0,15.0,8.6,0.3,8.0,38,Good,445.63,81.7,2026-01-15T01:23:40.888355
"Tunal, Bogota, Colombia",Colombia,4.57619,-74.13093,13.0,69.0,38.0,20.0,2.2,0.6,,38,Good,,72.99,2026-01-15T01:23:46.928156
"Movil 7ma, Bogota, Colombia",Colombia,4.645228,-74.06152,15.4,56.4,21.0,23.0,,,,23,Good,,72.79,2026-01-15T01:23:55.762639
"MinAmbiente, Bogota, Colombia",Colombia,4.62529,-74.06724,14.6,65.0,21.0,8.0,2.3,0.5,3.0,21,Good,104164.41,71.59,2026-01-15T01:23:58.179480
"San Cristobal, Bogota, Colombia",Colombia,4.5725,-74.0836,13.3,68.0,21.0,7.0,0.1,1.1,3.8,21,Good,,68.77,2026-01-15T01:24:03.639039
