City,Country,Latitude,Longitude,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,AQI,Air_Quality_Category,Population_Density,Proximity_to_Industrial_Areas,Timestamp
"Oblatos, Jalisco, Mexico",Mexico,20.699048277777777,-103.29667683333334,20.0,28.5,132.0,23.0,6.7,4.0,1.3,132,Poor,17642.39,18.44,2025-12-27T01:18:59.993878
"S. Catarina, Nuevo Leon, Mexico",Mexico,25.6869003,-100.4220058,23.4,71.2,80.0,38.0,,10.3,13.3,80,Moderate,,9.93,2025-12-27T01:19:17.672813
"Santa Fe, Jalisco, Mexico",Mexico,20.528912,-103.377146,20.0,28.5,76.0,32.0,27.0,4.8,12.4,76,Moderate,1772.02,21.65,2025-12-27T01:19:21.587318
"S. Pedro, Nuevo Leon, Mexico",Mexico,25.6573447,-100.4017501,23.4,71.2,76.0,55.0,17.6,15.8,10.9,76,Moderate,,8.79,2025-12-27T01:19:28.869613
"Secundaria Leyes de Reforma, Aguascalientes, Mexico",Mexico,21.903003362672,-102.28461279505,20.8,22.6,74.0,25.0,7.3,1.0,,74,Moderate,,104.96,2025-12-27T01:19:34.835203
"Palacio Municipal Cuautla, Cuautla, Morelos, Mexico",Mexico,18.812986944444,-98.955305833333,14.0,54.0,68.0,,11.0,5.5,5.2,68,Moderate,,81.91,2025-12-27T01:19:42.775746
"Pastora, Nuevo Leon, Mexico",Mexico,25.6717286,-100.2231895,29.7,40.0,68.0,59.0,11.9,19.6,24.6,68,Moderate,,10.31,2025-12-27T01:19:48.662981
"US Embassy, Guatemala City, Guatemala",Guatemala,14.6069387,-90.5169696,15.0,87.0,61.0,,,,,61,Moderate,,108.86,2025-12-27T01:20:00.050441
"San Salvador Centro, El Salavor",El Salvador,13.70630556,-89.20011667,23.9,77.3,,,,,,-,,,1797.32,2025-12-27T01:20:16.346992
"San Salvador Este, El Salavor",El Salvador,13.71518889,-89.15481944,25.0,65.0,9.0,,,,,-,,4024.59,1794.07,2025-12-27T01:20:18.665135
"ITCA, Santa Tecla, El Salavor",El Salvador,13.673168,-89.279399,24.0,62.0,93.0,,,,,93,Moderate,1765.92,1801.85,2025-12-27T01:20:21.084517
"UTEC Campus, San Salvador, El Salavor",El Salvador,13.6999671,-89.2010843,30.9,88.8,91.0,,,,,91,Moderate,4024.59,1796.97,2025-12-27T01:20:23.520434
"San Jose US Embassy, Costa Rica",Costa Rica,9.949488,-84.142876,20.9,69.2,38.0,,,,,38,Good,165.52,1107.57,2025-12-27T01:20:28.648939
"Carvajal - Sevillana, Bogota, Colombia",Colombia,4.5958,-74.14855,16.2,87.0,68.0,32.0,,0.8,10.4,68,Moderate,,75.88,2025-12-27T01:21:02.814219
"Fontibon, Bogota, Colombia",Colombia,4.6782472,-74.1438166,14.3,77.1,65.0,20.0,6.8,0.6,5.3,65,Moderate,445.63,81.7,2025-12-27T01:21:11.652385
"San Cristobal, Bogota, Colombia",Colombia,4.5725,-74.0836,14.3,73.0,61.0,36.0,0.1,1.0,5.4,61,Moderate,,68.77,2025-12-27T01:21:15.681224
"Puente Aranda, Bogota, Colombia",Colombia,4.63187,-74.11757,14.0,70.0,58.0,21.0,11.1,0.7,5.1,58,Moderate,104164.41,76.02,2025-12-27T01:21:25.363695
"Las Ferias, Bogota, Colombia",Colombia,4.6906,-74.08256,15.2,64.0,57.0,7.0,13.1,,6.6,57,Moderate,104164.41,78.11,2025-12-27T01:21:28.838737
"MinAmbiente, Bogota, Colombia",Colombia,4.62529,-74.06724,14.9,70.0,53.0,35.0,9.2,0.5,7.5,53,Moderate,104164.41,71.59,2025-12-27T01:21:36.226037
"Tunal, Bogota, Colombia",Colombia,4.57619,-74.13093,13.0,64.0,42.0,20.0,2.7,2.0,,42,Good,,72.99,2025-12-27T01:21:44.893427
"Centro de Alto Rendimiento, Bogota, Colombia",Colombia,4.65837,-74.084,14.9,70.0,40.0,17.0,5.6,0.7,3.5,40,Good,104164.41,75.54,2025-12-27T01:21:48.073284
"Centro, Quito, Ecuador",Ecuador,-0.221393,-78.514005,14.07,76.0,70.0,,,2.3,5.5,70,Moderate,34010.69,463.1,2025-12-27T01:21:53.353245
"Belisario, Quito, Ecuador",Ecuador,-0.184719,-78.495986,14.07,76.0,67.0,8.0,44.0,3.6,10.4,67,Moderate,,458.58,2025-12-27T01:22:00.026885
"El Camal, Quito, Ecuador",Ecuador,-0.25,-78.51,13.86,76.0,41.0,,29.4,0.5,8.3,41,Good,,465.66,2025-12-27T01:22:07.086248
"Cotocollao, Quito, Ecuador",Ecuador,-0.107777,-78.497222,13.22,76.0,24.0,8.0,17.4,0.1,2.0,24,Good,,451.2,2025-12-27T01:22:10.184502
"Los Chillos, Quito, Ecuador",Ecuador,-0.297062,-78.455248,16.78,76.0,,,,39.3,5.4,12,Good,,467.4,2025-12-27T01:22:18.135254
"estacion01, Cuenca, Ecuador",Ecuador,-2.897,-79.003,23.0,18.0,151.0,,130.2,9.7,4.6,151,Poor,6312.42,754.66,2025-12-27T01:22:20.937149
"estacion02, Cuenca, Ecuador",Ecuador,-2.879789,-78.980213,23.0,18.0,134.0,,130.2,9.7,4.6,142,Poor,,751.96,2025-12-27T01:22:26.898047
"estacion03, Cuenca, Ecuador",Ecuador,-2.879889,-78.981213,15.0,87.0,51.0,,16.5,4.6,9.5,51,Moderate,6312.42,752.02,2025-12-27T01:22:29.349210
"Tumbaco, Quito, Ecuador",Ecuador,-0.214933,-78.403253,18.6,76.0,49.0,,7.8,0.7,3.5,49,Good,,456.68,2025-12-27T01:22:32.051947
"Carapungo, Quito, Ecuador",Ecuador,-0.095472,-78.449809,22.07,40.0,23.0,8.0,8.0,1.4,4.2,-,,,447.45,2025-12-27T01:22:36.202023
"Villa Maria Del Triunfo, Lima, Peru",Peru,-12.16639,-76.92,21.9,75.0,66.0,26.0,10.5,2.6,22.1,66,Moderate,1018.59,1727.81,2025-12-27T01:22:39.176037
"San Juan De Lurigancho, Lima, Peru",Peru,-11.98164,-76.99925,21.9,75.0,65.0,33.0,,7.3,,65,Moderate,,1707.63,2025-12-27T01:22:44.962747
"San Martin De Porres, Lima, Peru",Peru,-12.00889,-77.08447,21.9,75.0,63.0,24.0,14.7,3.0,8.2,63,Moderate,,1710.96,2025-12-27T01:22:47.830767
"Campo De Marte, Lima, Peru",Peru,-12.07054,-77.04322,21.9,75.0,63.0,24.0,8.3,3.1,11.7,63,Moderate,,1717.62,2025-12-27T01:22:53.723387
"San Borja, Lima, Peru",Peru,-12.10859,-77.00769,21.9,75.0,57.0,37.0,11.5,6.5,9.7,57,Moderate,,1721.69,2025-12-27T01:23:00.003313
"Santa Anita, Lima, Peru",Peru,-12.04302,-76.97144,21.9,75.0,,30.0,17.4,8.0,9.4,30,Good,,1714.32,2025-12-27T01:23:05.828039
