City,Country,Latitude,Longitude,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,AQI,Air_Quality_Category,Population_Density,Proximity_to_Industrial_Areas,Timestamp
"Durango, Durango, Mexico",Mexico,24.03447,-104.64503,22.2,21.0,152.0,1.0,,,0.1,152,Poor,7844.03,,2026-03-29T02:04:04.112687
"Miravalle, Guadalajara, Mexico",Mexico,20.61504997567,-103.34343019128,20.0,68.0,124.0,81.0,21.5,2.0,12.6,124,Poor,,,2026-03-29T02:04:13.112737
"Secundaria Leyes de Reforma, Aguascalientes, Mexico",Mexico,21.903003362672,-102.28461279505,20.0,32.0,109.0,34.0,3.1,,,109,Poor,10999.44,,2026-03-29T02:04:23.113759
"Palacio Municipal Cuautla, Cuautla, Morelos, Mexico",Mexico,18.812986944444,-98.955305833333,17.0,29.0,102.0,,6.6,2.7,4.0,102,Poor,2003.27,,2026-03-29T02:04:29.481709
"SUR, CHIH1, Chihuahua -Estatal, Mexico",Mexico,28.632775,-106.03886694444,22.2,34.0,72.0,90.0,,,,90,Moderate,,,2026-03-29T02:04:40.117202
"San Luis De La Paz Presidencia Municipal, Mexico",Mexico,21.295861111111,-100.52330555556,13.8,50.0,76.0,,,,,76,Moderate,,,2026-03-29T02:04:55.121194
"Loma Dorada, Guadalajara, Mexico",Mexico,20.629554249053,-103.26392977309,26.0,13.0,74.0,43.0,13.0,,7.7,74,Moderate,5633.33,,2026-03-29T02:04:58.489023
"San Juanico, Mexico",Mexico,20.537489,-100.839905,14.5,67.4,68.0,73.0,3.4,5.1,3.9,73,Moderate,4814.67,,2026-03-29T02:05:07.122324
"Las Pintas, Guadalajara, Mexico",Mexico,20.5767,-103.32652222222,26.0,13.0,72.0,38.0,4.7,,4.3,72,Moderate,342.07,,2026-03-29T02:05:10.496879
"Celaya Policia, Celaya, Mexico",Mexico,20.518569711338,-100.81674332276,14.6,67.1,47.0,68.0,17.3,11.2,5.5,68,Moderate,4814.67,,2026-03-29T02:05:20.126300
"Santa Fe, Jalisco, Mexico",Mexico,20.528912,-103.377146,26.0,13.0,65.0,36.0,4.3,3.7,3.2,65,Moderate,,,2026-03-29T02:05:30.129882
"San Miguel De Allende Presidencia Municipal, Mexico",Mexico,20.914755555556,-100.74380555556,13.7,69.0,65.0,,,,,65,Moderate,,,2026-03-29T02:05:39.131089
"Escobedo, Nuevo Leon, Mexico",Mexico,25.7802165,-100.3161126,16.5,61.5,55.0,65.0,4.6,4.8,12.9,65,Moderate,,,2026-03-29T02:05:52.134364
"Palacio Municipal, Morelia, Mexico",Mexico,19.702153,-101.190948,20.6,34.1,65.0,,,,2.4,65,Moderate,9463.68,,2026-03-29T02:05:55.506112
"US Embassy, Guatemala City, Guatemala",Guatemala,14.6069387,-90.5169696,15.0,87.0,61.0,,,,,61,Moderate,31197.09,,2026-03-29T02:06:02.137225
"San Salvador Este, El Salavor",El Salvador,13.71518889,-89.15481944,28.0,48.0,9.0,,,,,-,,,,2026-03-29T02:06:15.511137
"ITCA, Santa Tecla, El Salavor",El Salvador,13.673168,-89.279399,24.0,62.0,93.0,,,,,93,Moderate,1480.89,,2026-03-29T02:06:19.437684
"UTEC Campus, San Salvador, El Salavor",El Salvador,13.6999671,-89.2010843,30.9,88.8,91.0,,,,,91,Moderate,4024.59,,2026-03-29T02:06:25.512223
"San Salvador Centro, El Salavor",El Salvador,13.70630556,-89.20011667,24.9,59.1,,,,,,-,,4024.59,,2026-03-29T02:06:31.943551
"San Jose US Embassy, Costa Rica",Costa Rica,9.949488,-84.142876,20.9,69.2,38.0,,,,,38,Good,165.52,,2026-03-29T02:06:36.513994
"Tunal, Bogota, Colombia",Colombia,4.57619,-74.13093,15.0,75.0,76.0,49.0,15.4,1.3,,76,Moderate,,,2026-03-29T02:07:28.961279
"San Cristobal, Bogota, Colombia",Colombia,4.5725,-74.0836,12.6,86.0,72.0,23.0,4.5,0.6,4.7,72,Moderate,,,2026-03-29T02:07:35.459009
"Las Ferias, Bogota, Colombia",Colombia,4.6906,-74.08256,15.3,71.0,70.0,19.0,11.2,,8.8,70,Moderate,,,2026-03-29T02:07:46.157857
"Kennedy, Bogota, Colombia",Colombia,4.6249,-74.16135,15.0,77.8,66.0,39.0,5.7,0.7,7.4,66,Moderate,,,2026-03-29T02:07:53.461971
"Guaymaral, Bogota, Colombia",Colombia,4.78374,-74.04417,14.0,77.0,65.0,31.0,9.5,0.3,5.1,65,Moderate,445.63,,2026-03-29T02:07:59.165264
