City,Country,Latitude,Longitude,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,AQI,Air_Quality_Category,Population_Density,Proximity_to_Industrial_Areas,Timestamp
"Secundaria Leyes de Reforma, Aguascalientes, Mexico",Mexico,21.903003362672,-102.28461279505,22.7,32.0,129.0,55.0,7.9,,5.8,129,Poor,10999.44,,2026-03-14T01:46:25.097291
"Santa Fe, Jalisco, Mexico",Mexico,20.528912,-103.377146,27.0,25.0,127.0,58.0,23.3,2.5,19.6,127,Poor,1772.02,,2026-03-14T01:46:28.962914
"Las Pintas, Guadalajara, Mexico",Mexico,20.5767,-103.32652222222,27.0,25.0,108.0,55.0,8.3,,4.3,108,Poor,342.07,,2026-03-14T01:46:32.652957
"T-21, Mexico",Mexico,21.108664,-101.688614,23.6,36.2,93.0,40.0,,5.5,15.4,93,Moderate,20114.69,,2026-03-14T01:46:42.018365
"Palacio Municipal Cuautla, Cuautla, Morelos, Mexico",Mexico,18.812986944444,-98.955305833333,21.0,28.0,89.0,,14.2,2.6,6.8,89,Moderate,2003.27,,2026-03-14T01:46:45.662057
"Miravalle, Guadalajara, Mexico",Mexico,20.61504997567,-103.34343019128,27.0,25.0,87.0,44.0,11.7,1.5,1.6,87,Moderate,8277.63,,2026-03-14T01:46:49.841805
"Loma Dorada, Guadalajara, Mexico",Mexico,20.629554249053,-103.26392977309,27.0,25.0,81.0,57.0,19.3,,10.0,81,Moderate,5633.33,,2026-03-14T01:46:55.101720
"S. Pedro, Nuevo Leon, Mexico",Mexico,25.6573447,-100.4017501,26.1,33.0,46.0,38.0,11.1,6.5,10.4,79,Moderate,1682.83,,2026-03-14T01:46:58.391982
"Durango, Durango, Mexico",Mexico,24.03447,-104.64503,22.7,23.0,78.0,1.0,,,0.1,78,Moderate,7844.03,,2026-03-14T01:47:01.973432
"Centro, Aguascalientes, Mexico",Mexico,21.883780555556,-102.295825,22.5,33.5,72.0,37.0,0.1,0.1,1.3,72,Moderate,10999.44,,2026-03-14T01:47:07.024256
"San Juanico, Mexico",Mexico,20.537489,-100.839905,23.3,37.1,72.0,50.0,17.5,9.5,14.4,72,Moderate,4814.67,,2026-03-14T01:47:10.172258
"Hospital General, Mexico",Mexico,20.947924,-101.425774,23.3,37.1,71.0,61.0,6.5,6.4,19.5,71,Moderate,1061.27,,2026-03-14T01:47:14.110399
"Palacio Municipal, Morelia, Mexico",Mexico,19.702153,-101.190948,20.0,37.0,70.0,,,,13.6,70,Moderate,9463.68,,2026-03-14T01:47:20.259100
"Oblatos, Jalisco, Mexico",Mexico,20.699048277777777,-103.29667683333334,27.0,25.0,68.0,58.0,13.1,2.5,7.4,68,Moderate,17642.39,,2026-03-14T01:47:24.036979
"Atemajac, Jalisco, Mexico",Mexico,20.718180277777776,-103.35549144444444,27.0,25.0,68.0,37.0,12.6,2.5,8.1,68,Moderate,16011.6,,2026-03-14T01:47:27.195178
"Centro, Jalisco, Mexico",Mexico,20.67236666666667,-103.33335883333334,27.0,25.0,68.0,44.0,9.7,2.5,4.6,68,Moderate,17642.39,,2026-03-14T01:47:31.262857
"Pastora, Nuevo Leon, Mexico",Mexico,25.6717286,-100.2231895,21.8,52.0,49.0,56.0,10.4,5.5,13.9,66,Moderate,8096.05,,2026-03-14T01:47:36.038619
"Obispado, Nuevo Leon, Mexico",Mexico,25.6745177,-100.3473334,21.8,52.0,33.0,40.0,13.4,6.5,20.8,66,Moderate,14553.06,,2026-03-14T01:47:39.198749
"US Embassy, Guatemala City, Guatemala",Guatemala,14.6069387,-90.5169696,15.0,87.0,61.0,,,,,61,Moderate,31197.09,,2026-03-14T01:47:46.277053
"San Salvador Este, El Salavor",El Salvador,13.71518889,-89.15481944,25.0,83.0,9.0,,,,,-,,4024.59,,2026-03-14T01:47:53.042805
"ITCA, Santa Tecla, El Salavor",El Salvador,13.673168,-89.279399,24.0,62.0,93.0,,,,,93,Moderate,1480.89,,2026-03-14T01:47:56.203539
"UTEC Campus, San Salvador, El Salavor",El Salvador,13.6999671,-89.2010843,30.9,88.8,91.0,,,,,91,Moderate,4024.59,,2026-03-14T01:47:59.862892
"San Salvador Centro, El Salavor",El Salvador,13.70630556,-89.20011667,23.8,80.0,,,,,,-,,4024.59,,2026-03-14T01:48:05.270968
"San Jose US Embassy, Costa Rica",Costa Rica,9.949488,-84.142876,20.9,69.2,38.0,,,,,38,Good,165.52,,2026-03-14T01:48:10.045062
"Tunal, Bogota, Colombia",Colombia,4.57619,-74.13093,15.0,72.0,107.0,51.0,25.0,2.3,,107,Poor,,,2026-03-14T01:48:44.284299
"Centro de Alto Rendimiento, Bogota, Colombia",Colombia,4.65837,-74.084,13.3,80.0,77.0,28.0,10.2,0.5,6.3,77,Moderate,104164.41,,2026-03-14T01:48:48.063074
"San Cristobal, Bogota, Colombia",Colombia,4.5725,-74.0836,13.9,75.0,68.0,33.0,6.7,0.9,6.8,68,Moderate,,,2026-03-14T01:48:55.288208
"Fontibon, Bogota, Colombia",Colombia,4.6782472,-74.1438166,15.0,74.6,63.0,43.0,9.4,0.2,8.1,63,Moderate,445.63,,2026-03-14T01:49:00.214038
"Las Ferias, Bogota, Colombia",Colombia,4.6906,-74.08256,15.4,66.0,63.0,23.0,12.7,,10.3,63,Moderate,104164.41,,2026-03-14T01:49:04.069265
"MinAmbiente, Bogota, Colombia",Colombia,4.62529,-74.06724,13.3,80.0,61.0,38.0,10.6,0.5,9.0,61,Moderate,104164.41,,2026-03-14T01:49:09.877642
"Kennedy, Bogota, Colombia",Colombia,4.6249,-74.16135,15.0,74.6,58.0,25.0,12.0,0.9,6.0,58,Moderate,,,2026-03-14T01:49:23.296290
