City,Country,Latitude,Longitude,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,AQI,Air_Quality_Category,Population_Density,Proximity_to_Industrial_Areas,Timestamp
"Las Pintas, Guadalajara, Mexico",Mexico,20.5767,-103.32652222222,26.0,21.0,124.0,65.0,16.8,9.6,8.8,124,Poor,342.07,,2026-02-12T01:54:37.254294
"Finanzas, Saltillo, Coahuila, Mexico",Mexico,25.421472222222,-100.99686111111,13.3,71.0,100.0,61.0,8.8,9.3,,100,Moderate,11006.29,74.05,2026-02-12T01:54:48.404700
"Biblioteca, Tizayuca, Hidalgo, Mexico",Mexico,19.840583333333,-98.981333333333,17.7,29.0,,100.0,11.7,4.4,16.3,100,Moderate,550.68,32.18,2026-02-12T01:54:51.071354
"Palacio Municipal Cuautla, Cuautla, Morelos, Mexico",Mexico,18.812986944444,-98.955305833333,23.5,24.0,99.0,,30.7,5.0,14.3,99,Moderate,2003.27,81.91,2026-02-12T01:54:53.661133
"Santa Fe, Jalisco, Mexico",Mexico,20.528912,-103.377146,26.0,21.0,97.0,66.0,20.5,28.1,11.8,97,Moderate,1772.02,21.65,2026-02-12T01:54:56.066699
"Loma Dorada, Guadalajara, Mexico",Mexico,20.629554249053,-103.26392977309,26.0,21.0,95.0,74.0,23.0,,10.5,95,Moderate,5633.33,,2026-02-12T01:55:00.224136
"Palacio Municipal, Municipio de Mexicali, Baja California - Municipal, Mexico",Mexico,32.640027777778,-115.47463888889,23.0,46.0,91.0,30.0,17.5,,6.0,91,Moderate,,1.93,2026-02-12T01:55:10.045550
"Tulancingo, Hidalgo, Mexico",Mexico,20.08525,-98.366638888889,23.0,88.0,90.0,60.0,14.9,6.7,21.1,90,Moderate,,,2026-02-12T01:55:26.436593
"Facultad De Medicina, Mexico",Mexico,21.133545,-101.679543,21.2,52.6,70.0,20.0,12.9,9.0,,89,Moderate,20114.69,1.5,2026-02-12T01:55:30.961724
"S. Pedro, Nuevo Leon, Mexico",Mexico,25.6573447,-100.4017501,21.9,63.5,87.0,37.0,9.2,8.0,12.5,87,Moderate,1682.83,8.79,2026-02-12T01:55:33.524457
"US Embassy, Guatemala City, Guatemala",Guatemala,14.6069387,-90.5169696,15.0,87.0,61.0,,,,,61,Moderate,31197.09,,2026-02-12T01:55:48.958062
"San Salvador Este, El Salavor",El Salvador,13.71518889,-89.15481944,26.0,57.0,9.0,,,,,-,,4024.59,,2026-02-12T01:56:04.090319
"ITCA, Santa Tecla, El Salavor",El Salvador,13.673168,-89.279399,24.0,62.0,93.0,,,,,93,Moderate,,1801.85,2026-02-12T01:56:12.186772
"UTEC Campus, San Salvador, El Salavor",El Salvador,13.6999671,-89.2010843,30.9,88.8,91.0,,,,,91,Moderate,,,2026-02-12T01:56:28.422526
"San Salvador Centro, El Salavor",El Salvador,13.70630556,-89.20011667,22.6,70.9,,,,,,-,,4024.59,1797.32,2026-02-12T01:56:32.828810
"San Jose US Embassy, Costa Rica",Costa Rica,9.949488,-84.142876,20.9,69.2,38.0,,,,,38,Good,165.52,1107.57,2026-02-12T01:56:36.666484
"Carvajal - Sevillana, Bogota, Colombia",Colombia,4.5958,-74.14855,15.3,93.0,152.0,101.0,,1.3,25.2,152,Poor,,75.88,2026-02-12T01:57:15.872015
"Centro de Alto Rendimiento, Bogota, Colombia",Colombia,4.65837,-74.084,11.9,88.0,97.0,43.0,10.5,0.5,6.9,97,Moderate,104164.41,,2026-02-12T01:57:31.797355
"Las Ferias, Bogota, Colombia",Colombia,4.6906,-74.08256,14.1,71.0,93.0,35.0,14.7,,11.8,93,Moderate,104164.41,,2026-02-12T01:57:37.327282
"Kennedy, Bogota, Colombia",Colombia,4.6249,-74.16135,13.0,74.7,83.0,45.0,15.1,1.1,20.7,83,Moderate,,,2026-02-12T01:57:50.609894
"Fontibon, Bogota, Colombia",Colombia,4.6782472,-74.1438166,14.5,74.7,76.0,42.0,14.2,0.3,5.4,76,Moderate,445.63,,2026-02-12T01:58:05.990692
"Tunal, Bogota, Colombia",Colombia,4.57619,-74.13093,13.0,83.0,74.0,30.0,5.6,0.1,,74,Moderate,,72.99,2026-02-12T01:58:16.071180
"Puente Aranda, Bogota, Colombia",Colombia,4.63187,-74.11757,13.0,88.0,73.0,25.0,18.6,1.3,16.8,73,Moderate,,76.02,2026-02-12T01:58:24.882327
"Movil 7ma, Bogota, Colombia",Colombia,4.645228,-74.06152,15.3,58.6,73.0,31.0,,,,73,Moderate,104164.41,,2026-02-12T01:58:29.462840
"Guaymaral, Bogota, Colombia",Colombia,4.78374,-74.04417,13.1,83.0,72.0,45.0,11.0,0.4,5.7,72,Moderate,445.63,,2026-02-12T01:58:41.738646
"San Cristobal, Bogota, Colombia",Colombia,4.5725,-74.0836,12.8,71.0,68.0,24.0,21.3,0.6,5.7,68,Moderate,,,2026-02-12T01:58:59.095522
"MinAmbiente, Bogota, Colombia",Colombia,4.62529,-74.06724,11.9,88.0,63.0,30.0,5.2,0.4,4.5,63,Moderate,104164.41,,2026-02-12T01:59:18.440957
"Centro, Quito, Ecuador",Ecuador,-0.221393,-78.514005,13.37,93.0,59.0,,,3.5,18.1,59,Moderate,,,2026-02-12T01:59:39.753812
"El Camal, Quito, Ecuador",Ecuador,-0.25,-78.51,14.13,93.0,51.0,,55.6,3.1,15.2,51,Moderate,34010.69,,2026-02-12T01:59:52.116542
"Belisario, Quito, Ecuador",Ecuador,-0.184719,-78.495986,13.37,93.0,36.0,52.0,56.5,5.5,13.1,36,Good,34010.69,458.58,2026-02-12T01:59:55.124604
"Cotocollao, Quito, Ecuador",Ecuador,-0.107777,-78.497222,13.15,93.0,34.0,52.0,,0.9,5.0,34,Good,,451.2,2026-02-12T02:00:01.834105
"Los Chillos, Quito, Ecuador",Ecuador,-0.297062,-78.455248,15.39,93.0,,,,5.4,10.5,17,Good,,,2026-02-12T02:00:19.999648
"estacion01, Cuenca, Ecuador",Ecuador,-2.897,-79.003,23.0,18.0,151.0,,130.2,9.7,4.6,151,Poor,,,2026-02-12T02:00:26.914502
"estacion02, Cuenca, Ecuador",Ecuador,-2.879789,-78.980213,23.0,18.0,134.0,,130.2,9.7,4.6,142,Poor,,,2026-02-12T02:00:43.518443
"estacion03, Cuenca, Ecuador",Ecuador,-2.879889,-78.981213,15.0,87.0,51.0,,16.5,4.6,9.5,51,Moderate,,752.02,2026-02-12T02:00:51.147232
"Tumbaco, Quito, Ecuador",Ecuador,-0.214933,-78.403253,15.96,93.0,34.0,,15.5,2.1,8.0,34,Good,,456.68,2026-02-12T02:00:56.908259
"Carapungo, Quito, Ecuador",Ecuador,-0.095472,-78.449809,18.22,77.0,62.0,52.0,7.8,2.9,4.8,62,Moderate,,447.45,2026-02-12T02:01:06.028550
"Campo De Marte, Lima, Peru",Peru,-12.07054,-77.04322,25.8,72.5,66.0,27.0,9.9,3.4,13.1,66,Moderate,127188.7,,2026-02-12T02:01:20.600292
"San Martin De Porres, Lima, Peru",Peru,-12.00889,-77.08447,25.8,72.5,64.0,25.0,21.6,2.1,9.4,64,Moderate,,1710.96,2026-02-12T02:01:28.742174
"San Borja, Lima, Peru",Peru,-12.10859,-77.00769,25.8,72.5,57.0,44.0,14.9,5.3,13.1,57,Moderate,,1721.69,2026-02-12T02:01:35.576762
"San Juan De Lurigancho, Lima, Peru",Peru,-11.98164,-76.99925,25.8,72.5,43.0,21.0,,11.5,,43,Good,,,2026-02-12T02:01:48.707246
"Villa Maria Del Triunfo, Lima, Peru",Peru,-12.16639,-76.92,25.8,72.5,38.0,14.0,9.5,6.0,22.7,38,Good,1018.59,,2026-02-12T02:01:52.161837
"Santa Anita, Lima, Peru",Peru,-12.04302,-76.97144,25.8,72.5,,29.0,12.4,8.8,12.4,29,Good,,,2026-02-12T02:01:55.198099
"US Embassy, Lima, Peru",Peru,-12.1052081,-76.9709299,23.3,84.0,34.0,,,,,34,Good,,1721.2,2026-02-12T02:01:57.595918
"Huachipa, Lima, Peru",Peru,-12.01689,-76.94883,22.2,75.0,193.0,155.0,8.4,33.0,200.9,33,Good,,1711.36,2026-02-12T02:02:01.779099
"Ate, Lima, Peru",Peru,-12.02611,-76.91861,22.8,85.3,,,,,,-,,,1712.29,2026-02-12T02:02:08.834402
"Carabayllo, Lima, Peru",Peru,-11.90219,-77.03364,25.8,72.5,,,12.5,6.5,10.8,11,Good,,1698.97,2026-02-12T02:02:15.845489
