City,Country,Latitude,Longitude,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,AQI,Air_Quality_Category,Population_Density,Proximity_to_Industrial_Areas,Timestamp
"San Juanico, Mexico",Mexico,20.537489,-100.839905,19.2,66.5,78.0,47.0,4.2,4.5,3.9,78,Moderate,4814.67,,2026-04-12T02:10:51.643638
"Escobedo, Nuevo Leon, Mexico",Mexico,25.7802165,-100.3161126,22.7,72.0,76.0,25.0,6.7,6.2,13.8,76,Moderate,5792.82,,2026-04-12T02:11:02.645480
"Santa Fe, Jalisco, Mexico",Mexico,20.528912,-103.377146,29.0,20.0,72.0,24.0,13.5,3.8,10.9,72,Moderate,1772.02,,2026-04-12T02:11:06.741231
"T-21, Mexico",Mexico,21.108664,-101.688614,20.4,62.7,70.0,27.0,,4.7,5.8,70,Moderate,20114.69,,2026-04-12T02:11:14.646867
"Las Pintas, Guadalajara, Mexico",Mexico,20.5767,-103.32652222222,29.0,20.0,66.0,36.0,6.1,3.9,6.1,66,Moderate,342.07,,2026-04-12T02:11:19.744721
"Biblioteca, Tizayuca, Hidalgo, Mexico",Mexico,19.840583333333,-98.981333333333,15.5,77.0,65.0,26.0,18.4,3.5,8.8,65,Moderate,550.68,,2026-04-12T02:11:23.647654
"Tulancingo, Hidalgo, Mexico",Mexico,20.08525,-98.366638888889,24.0,88.0,65.0,32.0,6.0,4.8,15.1,65,Moderate,,,2026-04-12T02:11:35.648865
"Centro, Aguascalientes, Mexico",Mexico,21.883780555556,-102.295825,23.3,24.0,74.0,24.0,0.1,0.1,0.5,74,Moderate,10999.44,,2026-04-12T02:11:40.746413
"Facultad De Medicina, Mexico",Mexico,21.133545,-101.679543,27.0,28.0,64.0,35.0,5.4,5.1,15.2,64,Moderate,20114.69,,2026-04-12T02:11:44.650718
"Vallarta, Guadalajara, Mexico",Mexico,20.680450840176,-103.39873310432,29.0,20.0,62.0,33.0,,10.8,3.5,62,Moderate,16011.6,,2026-04-12T02:11:49.747706
"US Embassy, Guatemala City, Guatemala",Guatemala,14.6069387,-90.5169696,15.0,87.0,61.0,,,,,61,Moderate,31197.09,,2026-04-12T02:11:56.652212
"San Salvador Este, El Salavor",El Salvador,13.71518889,-89.15481944,27.7,52.0,9.0,,,,,-,,4024.59,,2026-04-12T02:12:04.749303
"ITCA, Santa Tecla, El Salavor",El Salvador,13.673168,-89.279399,24.0,62.0,93.0,,,,,93,Moderate,1480.89,,2026-04-12T02:12:08.653777
"UTEC Campus, San Salvador, El Salavor",El Salvador,13.6999671,-89.2010843,30.9,88.8,91.0,,,,,91,Moderate,4024.59,,2026-04-12T02:12:12.749962
"San Salvador Centro, El Salavor",El Salvador,13.70630556,-89.20011667,27.7,52.0,,,,,,-,,,,2026-04-12T02:12:24.656506
"San Jose US Embassy, Costa Rica",Costa Rica,9.949488,-84.142876,20.9,69.2,38.0,,,,,38,Good,165.52,,2026-04-12T02:12:29.753854
"Tunal, Bogota, Colombia",Colombia,4.57619,-74.13093,15.0,67.0,59.0,19.0,6.0,0.5,,59,Moderate,,,2026-04-12T02:13:05.673060
