City,Country,Latitude,Longitude,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,AQI,Air_Quality_Category,Population_Density,Proximity_to_Industrial_Areas,Timestamp
"Celaya Policia, Celaya, Mexico",Mexico,20.518569711338,-100.81674332276,22.2,54.0,88.0,155.0,26.2,8.6,6.4,155,Poor,,,2026-05-09T02:33:10.405607
"Vallarta, Guadalajara, Mexico",Mexico,20.680450840176,-103.39873310432,28.0,18.0,140.0,53.0,,,1.9,140,Poor,,,2026-05-09T02:33:15.278641
"Tulancingo, Hidalgo, Mexico",Mexico,20.08525,-98.366638888889,17.2,63.0,116.0,62.0,16.5,2.8,12.7,116,Poor,,,2026-05-09T02:33:21.406104
"Las Pintas, Guadalajara, Mexico",Mexico,20.5767,-103.32652222222,28.0,18.0,114.0,93.0,6.6,3.1,7.0,114,Poor,,,2026-05-09T02:33:24.279229
"Santa Fe, Jalisco, Mexico",Mexico,20.528912,-103.377146,24.2,54.6,112.0,79.0,11.3,3.2,9.8,112,Poor,,,2026-05-09T02:33:27.511610
"Biblioteca, Tizayuca, Hidalgo, Mexico",Mexico,19.840583333333,-98.981333333333,17.2,61.5,83.0,53.0,12.7,4.5,6.4,83,Moderate,,,2026-05-09T02:33:36.407214
"Aguilas, Jalisco, Mexico",Mexico,20.629602722222224,-103.41677252777778,28.0,18.0,82.0,49.0,5.3,3.2,3.3,82,Moderate,,,2026-05-09T02:33:39.281793
"Oblatos, Jalisco, Mexico",Mexico,20.699048277777777,-103.29667683333334,28.0,18.0,82.0,65.0,6.1,3.2,3.8,82,Moderate,,,2026-05-09T02:33:42.514461
"Atemajac, Jalisco, Mexico",Mexico,20.718180277777776,-103.35549144444444,28.0,18.0,82.0,52.0,7.0,3.2,6.9,82,Moderate,,,2026-05-09T02:33:45.408063
"DIF, Mexico",Mexico,20.558094,-101.204941,22.2,54.0,81.0,116.0,6.9,9.4,18.3,81,Moderate,,,2026-05-09T02:33:48.282581
"Miravalle, Guadalajara, Mexico",Mexico,20.61504997567,-103.34343019128,28.0,18.0,80.0,50.0,7.3,1.6,5.4,80,Moderate,,,2026-05-09T02:33:51.513424
"US Embassy, Guatemala City, Guatemala",Guatemala,14.6069387,-90.5169696,15.0,87.0,61.0,,,,,61,Moderate,,,2026-05-09T02:34:01.409783
"San Salvador Este, El Salavor",El Salvador,13.71518889,-89.15481944,27.0,78.0,9.0,,,,,-,,,,2026-05-09T02:34:07.284658
"ITCA, Santa Tecla, El Salavor",El Salvador,13.673168,-89.279399,24.0,62.0,93.0,,,,,93,Moderate,,,2026-05-09T02:34:11.129985
"UTEC Campus, San Salvador, El Salavor",El Salvador,13.6999671,-89.2010843,30.9,88.8,91.0,,,,,91,Moderate,,,2026-05-09T02:34:14.862428
"San Salvador Centro, El Salavor",El Salvador,13.70630556,-89.20011667,25.0,81.1,,,,,,-,,,,2026-05-09T02:34:20.131289
"San Jose US Embassy, Costa Rica",Costa Rica,9.949488,-84.142876,20.9,69.2,38.0,,,,,38,Good,,,2026-05-09T02:34:24.862978
"Fontibon, Bogota, Colombia",Colombia,4.6782472,-74.1438166,14.8,84.4,102.0,36.0,11.0,0.1,10.7,102,Poor,,,2026-05-09T02:34:56.132582
"Kennedy, Bogota, Colombia",Colombia,4.6249,-74.16135,13.0,84.4,85.0,39.0,12.3,0.8,13.4,85,Moderate,,,2026-05-09T02:34:59.865197
"Las Ferias, Bogota, Colombia",Colombia,4.6906,-74.08256,14.8,75.0,78.0,14.0,17.0,,10.8,78,Moderate,,,2026-05-09T02:35:03.486795
"Centro de Alto Rendimiento, Bogota, Colombia",Colombia,4.65837,-74.084,11.4,83.0,68.0,33.0,10.5,0.4,8.8,68,Moderate,,,2026-05-09T02:35:08.133330
"Carvajal - Sevillana, Bogota, Colombia",Colombia,4.5958,-74.14855,15.9,100.0,63.0,,,1.2,16.0,63,Moderate,,,2026-05-09T02:35:12.866043
"Tunal, Bogota, Colombia",Colombia,4.57619,-74.13093,13.0,63.0,61.0,30.0,7.6,0.9,,61,Moderate,,,2026-05-09T02:35:16.134389
"Guaymaral, Bogota, Colombia",Colombia,4.78374,-74.04417,13.6,59.0,59.0,34.0,13.2,0.4,6.0,59,Moderate,,,2026-05-09T02:35:24.134719
"Movil 7ma, Bogota, Colombia",Colombia,4.645228,-74.06152,17.0,43.9,50.0,29.0,,,,50,Good,,,2026-05-09T02:35:38.135889
"Puente Aranda, Bogota, Colombia",Colombia,4.63187,-74.11757,13.0,83.0,48.0,29.0,16.7,,14.2,48,Good,,,2026-05-09T02:35:41.868105
"Centro, Quito, Ecuador",Ecuador,-0.221393,-78.514005,14.01,93.0,60.0,,16.2,3.2,17.7,60,Moderate,,,2026-05-09T02:35:46.136407
"El Camal, Quito, Ecuador",Ecuador,-0.25,-78.51,14.46,93.0,45.0,,33.2,5.5,16.0,45,Good,,,2026-05-09T02:35:49.868494
"Cotocollao, Quito, Ecuador",Ecuador,-0.107777,-78.497222,13.94,93.0,34.0,13.0,18.9,2.6,10.2,34,Good,,,2026-05-09T02:35:53.490126
"Belisario, Quito, Ecuador",Ecuador,-0.184719,-78.495986,14.01,93.0,6.0,13.0,31.4,4.8,13.1,13,Good,,,2026-05-09T02:35:57.137037
"Los Chillos, Quito, Ecuador",Ecuador,-0.297062,-78.455248,15.94,93.0,,,18.6,9.7,11.5,6,Good,,,2026-05-09T02:36:00.451650
"estacion01, Cuenca, Ecuador",Ecuador,-2.897,-79.003,23.0,18.0,151.0,,130.2,9.7,4.6,151,Poor,,,2026-05-09T02:36:03.490904
"estacion02, Cuenca, Ecuador",Ecuador,-2.879789,-78.980213,23.0,18.0,134.0,,130.2,9.7,4.6,142,Poor,,,2026-05-09T02:36:07.137711
"estacion03, Cuenca, Ecuador",Ecuador,-2.879889,-78.981213,15.0,87.0,51.0,,16.5,4.6,9.5,51,Moderate,,,2026-05-09T02:36:10.452397
"Tumbaco, Quito, Ecuador",Ecuador,-0.214933,-78.403253,16.56,93.0,1.0,,10.3,3.7,,18,Good,,,2026-05-09T02:36:13.536543
"Carapungo, Quito, Ecuador",Ecuador,-0.095472,-78.449809,14.71,93.0,54.0,13.0,15.5,3.0,5.6,54,Moderate,,,2026-05-09T02:36:18.645463
"San Juan De Lurigancho, Lima, Peru",Peru,-11.98164,-76.99925,21.1,83.0,85.0,38.0,16.0,0.1,13.6,85,Moderate,,,2026-05-09T02:36:22.537261
"San Borja, Lima, Peru",Peru,-12.10859,-77.00769,21.1,83.0,80.0,59.0,8.6,14.0,7.4,80,Moderate,,,2026-05-09T02:36:25.645965
"Campo De Marte, Lima, Peru",Peru,-12.07054,-77.04322,21.1,83.0,74.0,32.0,19.4,7.2,6.2,74,Moderate,,,2026-05-09T02:36:29.029751
"San Martin De Porres, Lima, Peru",Peru,-12.00889,-77.08447,21.1,83.0,66.0,24.0,20.4,4.9,12.3,66,Moderate,,,2026-05-09T02:36:32.538632
"Villa Maria Del Triunfo, Lima, Peru",Peru,-12.16639,-76.92,21.1,83.0,48.0,12.0,7.1,8.5,16.5,48,Good,,,2026-05-09T02:36:35.646410
"Santa Anita, Lima, Peru",Peru,-12.04302,-76.97144,21.1,83.0,,44.0,15.8,8.5,18.7,44,Good,,,2026-05-09T02:36:39.030486
"US Embassy, Lima, Peru",Peru,-12.1052081,-76.9709299,23.3,84.0,34.0,,,,,34,Good,,,2026-05-09T02:36:42.539682
"Huachipa, Lima, Peru",Peru,-12.01689,-76.94883,22.2,75.0,193.0,155.0,8.4,33.0,200.9,33,Good,,,2026-05-09T02:36:45.647395
"Ate, Lima, Peru",Peru,-12.02611,-76.91861,22.8,85.3,,,,,,-,,,,2026-05-09T02:36:49.031378
"Carabayllo, Lima, Peru",Peru,-11.90219,-77.03364,21.1,83.0,,,18.6,8.4,19.5,20,Good,,,2026-05-09T02:36:52.542497
"Puente Piedra, Lima, Peru",Peru,-11.86325,-77.07413,21.1,83.0,65.0,,29.7,6.2,21.3,65,Moderate,,,2026-05-09T02:36:55.650345
"Velachery Res. Area, Chennai, Chennai, India",Peru,13.0052189,80.2398125,27.0,83.80333333333334,61.0,23.0,4.8,3.0,,23,Good,,,2026-05-09T02:37:00.623727
"IIT, Chennai, Chennai, India",Peru,12.99251389,80.23744722,30.0,62.0,,,,,,-,,,,2026-05-09T02:37:03.544602
"Parque Kanata, Cochabamba, Bolivia",Bolivia,-17.4125902,-66.1584437,19.0,34.0,,51.0,18.9,,,51,Moderate,,,2026-05-09T02:37:17.495936
"Fuerza Aerea, Cochabamba, Bolivia",Bolivia,-17.4197854,-66.1685226,19.0,34.0,,49.0,,,,49,Good,,,2026-05-09T02:37:20.456989
"Semapa, Cochabamba, Bolivia",Bolivia,-17.3609718,-66.1607009,19.0,34.0,,25.0,,,,25,Good,,,2026-05-09T02:37:23.640399
"Coyhaique II, Chile",Chile,-45.579045667164,-72.049964505825,0.0,86.0,632.0,583.0,,5.3,103.2,632,Hazardous,,,2026-05-09T02:38:01.459608
"Coyhaique, Chile",Chile,-45.57996447948,-72.061125987766,-2.0,92.0,510.0,434.0,,,,510,Hazardous,,,2026-05-09T02:38:04.499422
"Alerce, Chile",Chile,-41.399169537038,-72.899522781372,5.0,86.0,162.0,,,,,162,Poor,,,2026-05-09T02:38:09.499862
