City,Country,Latitude,Longitude,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,AQI,Air_Quality_Category,Population_Density,Proximity_to_Industrial_Areas,Timestamp
"Abasolo Presidencia Municipal, Mexico",Mexico,20.425277777778,-101.19805555556,27.0,21.0,151.0,,,,,151,Poor,924.79,,2026-04-02T01:58:41.102454
"Apodaca, Nuevo Leon, Mexico",Mexico,25.7815621,-100.1875974,32.0,35.0,72.0,99.0,23.8,5.8,7.0,99,Moderate,,,2026-04-02T01:58:52.106793
"Secundaria Leyes de Reforma, Aguascalientes, Mexico",Mexico,21.903003362672,-102.28461279505,23.8,34.0,95.0,22.0,11.7,,,95,Moderate,10999.44,,2026-04-02T01:58:56.173773
"San Juanico, Mexico",Mexico,20.537489,-100.839905,23.6,41.2,75.0,38.0,10.1,8.0,6.5,75,Moderate,4814.67,,2026-04-02T01:59:13.111690
"Santa Fe, Jalisco, Mexico",Mexico,20.528912,-103.377146,26.0,24.0,74.0,38.0,19.6,2.4,14.9,74,Moderate,1772.02,,2026-04-02T01:59:18.177610
"Centro, Jalisco, Mexico",Mexico,20.67236666666667,-103.33335883333334,26.0,24.0,72.0,29.0,11.1,3.0,5.6,72,Moderate,17642.39,,2026-04-02T01:59:24.112256
"Escobedo, Nuevo Leon, Mexico",Mexico,25.7802165,-100.3161126,29.2,49.6,72.0,39.0,4.7,7.6,14.5,72,Moderate,5792.82,,2026-04-02T01:59:35.114677
"US Embassy, Guatemala City, Guatemala",Guatemala,14.6069387,-90.5169696,15.0,87.0,61.0,,,,,61,Moderate,31197.09,,2026-04-02T01:59:49.136356
"San Salvador Este, El Salavor",El Salvador,13.71518889,-89.15481944,22.7,80.7,9.0,,,,,-,,4024.59,,2026-04-02T01:59:56.187944
"ITCA, Santa Tecla, El Salavor",El Salvador,13.673168,-89.279399,24.0,62.0,93.0,,,,,93,Moderate,,,2026-04-02T02:00:05.140353
"UTEC Campus, San Salvador, El Salavor",El Salvador,13.6999671,-89.2010843,30.9,88.8,91.0,,,,,91,Moderate,,,2026-04-02T02:00:14.150860
"San Salvador Centro, El Salavor",El Salvador,13.70630556,-89.20011667,22.7,80.7,,,,,,-,,4024.59,,2026-04-02T02:00:23.147672
"San Jose US Embassy, Costa Rica",Costa Rica,9.949488,-84.142876,20.9,69.2,38.0,,,,,38,Good,,,2026-04-02T02:00:33.197352
"Fontibon, Bogota, Colombia",Colombia,4.6782472,-74.1438166,15.3,76.2,65.0,29.0,9.9,0.7,7.1,65,Moderate,445.63,,2026-04-02T02:01:15.166265
"Guaymaral, Bogota, Colombia",Colombia,4.78374,-74.04417,13.4,72.0,63.0,38.0,10.1,0.6,8.0,63,Moderate,445.63,,2026-04-02T02:01:21.208367
"Tunal, Bogota, Colombia",Colombia,4.57619,-74.13093,13.0,71.0,59.0,33.0,12.5,0.9,,59,Moderate,,,2026-04-02T02:01:28.168816
"Las Ferias, Bogota, Colombia",Colombia,4.6906,-74.08256,15.5,61.0,55.0,17.0,12.1,,9.2,55,Moderate,104164.41,,2026-04-02T02:01:38.211335
"MinAmbiente, Bogota, Colombia",Colombia,4.62529,-74.06724,13.8,75.0,55.0,30.0,13.9,0.8,10.3,55,Moderate,,,2026-04-02T02:01:48.176416
"San Cristobal, Bogota, Colombia",Colombia,4.5725,-74.0836,14.5,73.0,50.0,35.0,10.7,0.7,5.7,50,Good,,,2026-04-02T02:02:01.183090
"Kennedy, Bogota, Colombia",Colombia,4.6249,-74.16135,13.0,76.2,49.0,24.0,8.0,0.7,8.5,49,Good,,,2026-04-02T02:02:07.066199
"Centro, Quito, Ecuador",Ecuador,-0.221393,-78.514005,12.95,77.0,62.0,,20.0,2.6,5.8,62,Moderate,,,2026-04-02T02:02:20.189489
"Belisario, Quito, Ecuador",Ecuador,-0.184719,-78.495986,12.95,77.0,61.0,38.0,30.6,7.3,8.0,61,Moderate,,,2026-04-02T02:02:30.194017
"El Camal, Quito, Ecuador",Ecuador,-0.25,-78.51,13.61,77.0,51.0,,22.2,2.8,9.4,51,Moderate,34010.69,,2026-04-02T02:02:34.070972
