City,Country,Latitude,Longitude,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,AQI,Air_Quality_Category,Population_Density,Proximity_to_Industrial_Areas,Timestamp
"SUR, CHIH1, Chihuahua -Estatal, Mexico",Mexico,28.632775,-106.03886694444,17.0,12.0,96.0,169.0,,,,169,Poor,11787.18,,2026-03-17T01:51:01.732498
"Durango, Durango, Mexico",Mexico,24.03447,-104.64503,23.3,18.0,155.0,1.0,,,0.1,155,Poor,7844.03,,2026-03-17T01:51:05.812665
"San Luis De La Paz Presidencia Municipal, Mexico",Mexico,21.295861111111,-100.52330555556,22.8,36.8,124.0,,,,,124,Poor,661.88,,2026-03-17T01:51:09.738795
"Centro, CHIH1, Chihuahua -Estatal, Mexico",Mexico,28.652227777778,-106.08535833333,18.8,20.0,72.0,91.0,,,,91,Moderate,,,2026-03-17T01:51:23.758602
"Secundaria Leyes de Reforma, Aguascalientes, Mexico",Mexico,21.903003362672,-102.28461279505,25.5,17.0,89.0,30.0,5.3,,3.4,89,Moderate,10999.44,,2026-03-17T01:51:27.815310
"Las Pintas, Guadalajara, Mexico",Mexico,20.5767,-103.32652222222,28.0,16.0,87.0,57.0,4.0,,4.3,87,Moderate,342.07,,2026-03-17T01:51:31.763969
"Palacio Municipal Cuautla, Cuautla, Morelos, Mexico",Mexico,18.812986944444,-98.955305833333,16.5,49.7,76.0,,7.9,2.5,4.5,76,Moderate,2003.27,,2026-03-17T01:51:46.767032
"San Juanico, Mexico",Mexico,20.537489,-100.839905,17.7,47.8,76.0,62.0,7.9,8.4,6.2,76,Moderate,4814.67,,2026-03-17T01:51:50.821994
"US Embassy, Guatemala City, Guatemala",Guatemala,14.6069387,-90.5169696,15.0,87.0,61.0,,,,,61,Moderate,,,2026-03-17T01:52:07.770497
"San Salvador Este, El Salavor",El Salvador,13.71518889,-89.15481944,23.3,79.0,9.0,,,,,-,,4024.59,,2026-03-17T01:52:13.827380
"ITCA, Santa Tecla, El Salavor",El Salvador,13.673168,-89.279399,24.0,62.0,93.0,,,,,93,Moderate,1480.89,,2026-03-17T01:52:17.772132
"UTEC Campus, San Salvador, El Salavor",El Salvador,13.6999671,-89.2010843,30.9,88.8,91.0,,,,,91,Moderate,4024.59,,2026-03-17T01:52:20.982883
"San Salvador Centro, El Salavor",El Salvador,13.70630556,-89.20011667,23.3,79.0,,,,,,-,,,,2026-03-17T01:52:32.346122
"San Jose US Embassy, Costa Rica",Costa Rica,9.949488,-84.142876,20.9,69.2,38.0,,,,,38,Good,165.52,,2026-03-17T01:52:40.984170
"Carvajal - Sevillana, Bogota, Colombia",Colombia,4.5958,-74.14855,15.9,76.0,122.0,,,1.0,15.6,122,Poor,,,2026-03-17T01:53:14.520688
"Fontibon, Bogota, Colombia",Colombia,4.6782472,-74.1438166,15.7,69.1,87.0,52.0,16.7,0.4,12.1,87,Moderate,445.63,,2026-03-17T01:53:24.171450
"Las Ferias, Bogota, Colombia",Colombia,4.6906,-74.08256,15.1,64.0,72.0,16.0,12.6,,10.3,72,Moderate,104164.41,,2026-03-17T01:53:34.100722
"Kennedy, Bogota, Colombia",Colombia,4.6249,-74.16135,15.0,69.1,66.0,40.0,13.8,1.2,8.1,66,Moderate,,,2026-03-17T01:53:45.811702
"San Cristobal, Bogota, Colombia",Colombia,4.5725,-74.0836,13.8,69.0,63.0,25.0,7.1,0.6,7.2,63,Moderate,,,2026-03-17T01:53:57.813498
"Tunal, Bogota, Colombia",Colombia,4.57619,-74.13093,15.0,73.0,63.0,31.0,13.6,0.1,,63,Moderate,,,2026-03-17T01:54:02.614069
"Puente Aranda, Bogota, Colombia",Colombia,4.63187,-74.11757,15.0,67.0,54.0,21.0,15.3,,13.7,54,Moderate,104164.41,,2026-03-17T01:54:07.106816
"Centro, Quito, Ecuador",Ecuador,-0.221393,-78.514005,13.4,77.0,52.0,,11.1,1.9,20.4,52,Moderate,,,2026-03-17T01:54:20.183855
"Belisario, Quito, Ecuador",Ecuador,-0.184719,-78.495986,13.4,77.0,10.0,30.0,26.4,3.0,7.5,19,Good,,,2026-03-17T01:54:29.281449
"Cotocollao, Quito, Ecuador",Ecuador,-0.107777,-78.497222,14.35,77.0,19.0,30.0,20.2,2.0,5.1,19,Good,,,2026-03-17T01:54:35.961565
"El Camal, Quito, Ecuador",Ecuador,-0.25,-78.51,14.28,77.0,16.0,,27.8,2.0,9.4,16,Good,34010.69,,2026-03-17T01:54:39.282977
"Los Chillos, Quito, Ecuador",Ecuador,-0.297062,-78.455248,62.35,77.0,,,29.5,8.4,6.0,7,Good,,,2026-03-17T01:54:43.113374
"estacion01, Cuenca, Ecuador",Ecuador,-2.897,-79.003,23.0,18.0,151.0,,130.2,9.7,4.6,151,Poor,6312.42,,2026-03-17T01:54:52.115191
"estacion02, Cuenca, Ecuador",Ecuador,-2.879789,-78.980213,23.0,18.0,134.0,,130.2,9.7,4.6,142,Poor,6312.42,,2026-03-17T01:54:55.828588
"estacion03, Cuenca, Ecuador",Ecuador,-2.879889,-78.981213,15.0,87.0,51.0,,16.5,4.6,9.5,51,Moderate,6312.42,,2026-03-17T01:55:00.627453
"Tumbaco, Quito, Ecuador",Ecuador,-0.214933,-78.403253,17.57,77.0,48.0,,15.0,2.7,11.9,48,Good,,,2026-03-17T01:55:09.116859
"Carapungo, Quito, Ecuador",Ecuador,-0.095472,-78.449809,18.97,59.0,34.0,30.0,5.2,3.5,6.3,34,Good,,,2026-03-17T01:55:20.121454
"San Borja, Lima, Peru",Peru,-12.10859,-77.00769,26.6,65.0,63.0,66.0,13.1,35.3,15.1,66,Moderate,,,2026-03-17T01:55:26.119831
"Villa Maria Del Triunfo, Lima, Peru",Peru,-12.16639,-76.92,26.6,65.0,65.0,66.0,10.1,3.8,25.8,66,Moderate,1018.59,,2026-03-17T01:55:30.197117
"San Martin De Porres, Lima, Peru",Peru,-12.00889,-77.08447,26.6,65.0,62.0,34.0,17.1,1.4,10.6,62,Moderate,,,2026-03-17T01:55:36.839299
"Campo De Marte, Lima, Peru",Peru,-12.07054,-77.04322,26.6,65.0,62.0,24.0,9.5,8.5,17.0,62,Moderate,127188.7,,2026-03-17T01:55:40.457870
"San Juan De Lurigancho, Lima, Peru",Peru,-11.98164,-76.99925,26.6,65.0,53.0,32.0,10.2,5.0,23.1,53,Moderate,,,2026-03-17T01:55:44.840586
"Santa Anita, Lima, Peru",Peru,-12.04302,-76.97144,26.6,65.0,,38.0,14.1,11.8,15.2,38,Good,,,2026-03-17T01:55:48.807638
"US Embassy, Lima, Peru",Peru,-12.1052081,-76.9709299,23.3,84.0,34.0,,,,,34,Good,,,2026-03-17T01:55:52.877261
"Huachipa, Lima, Peru",Peru,-12.01689,-76.94883,22.2,75.0,193.0,155.0,8.4,33.0,200.9,33,Good,,,2026-03-17T01:56:01.850160
"Ate, Lima, Peru",Peru,-12.02611,-76.91861,22.8,85.3,,,,,,-,,,,2026-03-17T01:56:06.453090
"Carabayllo, Lima, Peru",Peru,-11.90219,-77.03364,26.6,65.0,,,14.0,7.5,13.2,13,Good,,,2026-03-17T01:56:09.851247
"Puente Piedra, Lima, Peru",Peru,-11.86325,-77.07413,26.6,65.0,67.0,,15.5,7.4,30.9,67,Moderate,,,2026-03-17T01:56:20.854867
"Velachery Res. Area, Chennai, Chennai, India",Peru,13.0052189,80.2398125,25.5,80.09,117.0,37.0,5.2,3.0,,117,Poor,,,2026-03-17T01:56:27.886111
"IIT, Chennai, Chennai, India",Peru,12.99251389,80.23744722,30.0,62.0,,,,,,-,,,,2026-03-17T01:56:32.813118
"Fuerza Aerea, Cochabamba, Bolivia",Bolivia,-17.4197854,-66.1685226,19.0,34.0,,49.0,,,,49,Good,8473.19,,2026-03-17T01:56:47.815002
"Parque Kanata, Cochabamba, Bolivia",Bolivia,-17.4125902,-66.1584437,19.0,34.0,,51.0,18.9,,,51,Moderate,8473.19,,2026-03-17T01:56:51.888114
"Semapa, Cochabamba, Bolivia",Bolivia,-17.3609718,-66.1607009,19.0,34.0,,25.0,,,,25,Good,8473.19,,2026-03-17T01:56:55.237615
"La Union, Chile",Chile,-40.286857441758,-73.076710459412,11.9,88.4,152.0,,,,,152,Poor,337.63,,2026-03-17T01:57:36.165048
"Osorno, Chile",Chile,-40.584478665958,-73.11871982209,11.9,88.0,114.0,42.0,,,,114,Poor,1880.14,,2026-03-17T01:57:41.873073
"Mirasol, Chile",Chile,-41.4795069236,-72.968755930145,8.0,93.0,102.0,,,,,102,Poor,2161.15,,2026-03-17T01:57:49.900573
"Rancagua II, Chile",Chile,-34.143888375919,-70.737131207664,16.6,94.3,21.0,79.0,,,,79,Moderate,,,2026-03-17T01:57:59.175883
"Coyhaique, Chile",Chile,-45.57996447948,-72.061125987766,4.5,80.0,70.0,23.0,,,,70,Moderate,632.38,,2026-03-17T01:58:04.828209
"Coyhaique II, Chile",Chile,-45.579045667164,-72.049964505825,4.5,80.0,63.0,15.0,,3.8,4.9,63,Moderate,632.38,,2026-03-17T01:58:11.247981
"Vialidad, Chile",Chile,-45.40680023471,-72.696259617805,4.5,80.0,61.0,,,,,61,Moderate,,,2026-03-17T01:58:21.908289
"Valdivia, Chile",Chile,-39.831316104673,-73.22851282209,11.8,88.3,57.0,25.0,,1.4,5.8,57,Moderate,1910.47,,2026-03-17T01:58:25.415384
"Talagante, Chile",Chile,-33.673752071375,-70.953064737434,19.0,77.0,55.0,9.0,,,,55,Moderate,724.19,,2026-03-17T01:58:28.832751
"Alerce, Chile",Chile,-41.399169537038,-72.899522781372,12.0,87.0,55.0,,,,,55,Moderate,538.16,,2026-03-17T01:58:33.497085
"Copiapo Sivica, Chile",Chile,-27.370329154948,-70.323906678352,17.0,88.0,50.0,30.0,,1.5,,50,Good,,,2026-03-17T01:58:43.576618
"Parque O'Higgins, Chile",Chile,-33.464142,-70.660797,19.0,77.0,34.0,48.0,15.3,,1.8,48,Good,78165.35,,2026-03-17T01:58:48.323700
"La Florida, Chile",Chile,-33.516630362266,-70.588123961971,19.0,77.0,25.0,42.0,7.5,2.0,0.8,42,Good,,,2026-03-17T01:58:52.229734
"Puente Alto, Chile",Chile,-33.591390623022,-70.594788,19.0,77.0,30.0,39.0,9.0,,3.5,39,Good,,,2026-03-17T01:58:55.503908
"Punta Arenas, Chile",Chile,-53.158295492238,-70.921497482453,10.0,76.0,38.0,,,,,38,Good,1571.22,,2026-03-17T01:58:59.775339
"US Embassy, Buenos Aires, Argentina",Argentina,-34.5773,-58.4176,25.0,72.9,5.0,,,,,5,Good,39746.84,,2026-03-17T01:59:13.206102
"Cordoba, Buenos Aires, Argentina",Argentina,-34.5995674,-58.3915767,25.0,61.0,,,,,,-,,39746.84,,2026-03-17T01:59:17.506893
"La boca, Buenos Aires, Argentina",Argentina,-34.6344961,-58.3631337,25.0,61.0,,,,,,-,,,,2026-03-17T01:59:28.237997
"Dock Sud 1, Acumar, Argentina",Argentina,-34.657988,-58.342538,23.8,65.3,,,,,,-,,,,2026-03-17T01:59:37.586078
"Centenario, Buenos Aires, Argentina",Argentina,-34.635582,-58.5518647,24.0,53.0,,,,,,-,,1532.29,,2026-03-17T01:59:42.242041
"La Matanza, Acumar, Argentina",Argentina,-34.6775885,-58.701767,20.2,88.8,,,,,,-,,1713.54,,2026-03-17T01:59:46.182137
"Argentina, Asturias, Spain",Argentina,43.53880000013,-5.6989000001636,8.8,96.0,70.0,30.0,6.4,2.6,0.1,70,Moderate,3247.65,,2026-03-17T01:59:49.913789
