City,Country,Latitude,Longitude,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,AQI,Air_Quality_Category,Population_Density,Proximity_to_Industrial_Areas,Timestamp
"Santa Fe, Jalisco, Mexico",Mexico,20.528912,-103.377146,26.0,13.0,152.0,54.0,22.7,37.3,17.0,152,Poor,1772.02,21.65,2026-02-15T01:56:37.007326
"Cruz Roja, Mexico",Mexico,20.578896,-101.199211,18.6,52.6,140.0,75.0,44.2,7.6,36.4,140,Poor,,41.16,2026-02-15T01:56:44.125746
"DIF, Mexico",Mexico,20.558094,-101.204941,18.8,52.4,98.0,81.0,23.2,18.2,22.9,98,Moderate,2045.87,,2026-02-15T01:56:49.318063
"Palacio de Gobierno, Tlaxcala, Tlaxcala, Mexico",Mexico,19.317583333333,-98.237305555556,22.0,78.0,95.0,60.0,8.2,,,95,Moderate,611.54,86.25,2026-02-15T01:56:51.871450
"Secundaria Leyes de Reforma, Aguascalientes, Mexico",Mexico,21.903003362672,-102.28461279505,23.0,8.0,93.0,35.0,9.4,,40.8,93,Moderate,10999.44,,2026-02-15T01:57:05.403812
"Nativitas, Mexico",Mexico,20.565231,-101.188248,18.8,52.4,,93.0,44.6,29.0,36.9,93,Moderate,2045.87,,2026-02-15T01:57:18.085841
"Biblioteca, Tizayuca, Hidalgo, Mexico",Mexico,19.840583333333,-98.981333333333,21.1,35.0,,83.0,16.5,19.2,20.7,83,Moderate,550.68,32.18,2026-02-15T01:57:26.526599
"Facultad De Medicina, Mexico",Mexico,21.133545,-101.679543,28.5,26.4,83.0,9.0,20.4,11.9,,83,Moderate,20114.69,,2026-02-15T01:57:39.095380
"Palacio Municipal Cuautla, Cuautla, Morelos, Mexico",Mexico,18.812986944444,-98.955305833333,23.5,35.5,82.0,,13.3,3.5,7.8,82,Moderate,2003.27,81.91,2026-02-15T01:57:49.201984
"Tulancingo, Hidalgo, Mexico",Mexico,20.08525,-98.366638888889,22.0,78.0,81.0,62.0,15.5,8.8,20.5,81,Moderate,1351.71,90.6,2026-02-15T01:57:54.742029
"US Embassy, Guatemala City, Guatemala",Guatemala,14.6069387,-90.5169696,15.0,87.0,61.0,,,,,61,Moderate,31197.09,,2026-02-15T01:58:09.236481
"San Salvador Este, El Salavor",El Salvador,13.71518889,-89.15481944,25.0,69.0,9.0,,,,,-,,4024.59,,2026-02-15T01:58:23.778975
"ITCA, Santa Tecla, El Salavor",El Salvador,13.673168,-89.279399,24.0,62.0,93.0,,,,,93,Moderate,1765.92,1801.85,2026-02-15T01:58:26.337392
"UTEC Campus, San Salvador, El Salavor",El Salvador,13.6999671,-89.2010843,30.9,88.8,91.0,,,,,91,Moderate,,,2026-02-15T01:58:44.568473
"San Salvador Centro, El Salavor",El Salvador,13.70630556,-89.20011667,22.4,75.4,,,,,,-,,4024.59,,2026-02-15T01:58:58.073041
"San Jose US Embassy, Costa Rica",Costa Rica,9.949488,-84.142876,20.9,69.2,38.0,,,,,38,Good,165.52,,2026-02-15T01:59:01.525364
"Carvajal - Sevillana, Bogota, Colombia",Colombia,4.5958,-74.14855,20.9,63.0,134.0,101.0,,1.7,5.2,134,Poor,,,2026-02-15T01:59:41.679343
"Kennedy, Bogota, Colombia",Colombia,4.6249,-74.16135,13.0,73.7,98.0,42.0,12.3,1.0,19.0,98,Moderate,,,2026-02-15T01:59:44.431902
"Fontibon, Bogota, Colombia",Colombia,4.6782472,-74.1438166,14.2,73.7,95.0,38.0,9.7,0.2,5.2,95,Moderate,,,2026-02-15T02:00:02.472810
"Puente Aranda, Bogota, Colombia",Colombia,4.63187,-74.11757,13.0,75.0,77.0,28.0,11.8,1.3,5.7,77,Moderate,,,2026-02-15T02:00:13.215336
"Centro de Alto Rendimiento, Bogota, Colombia",Colombia,4.65837,-74.084,12.8,75.0,66.0,22.0,6.1,0.7,3.7,66,Moderate,104164.41,,2026-02-15T02:00:36.124026
"Las Ferias, Bogota, Colombia",Colombia,4.6906,-74.08256,15.0,61.0,59.0,20.0,5.2,,4.6,59,Moderate,,78.11,2026-02-15T02:00:47.999524
"San Cristobal, Bogota, Colombia",Colombia,4.5725,-74.0836,13.8,66.0,57.0,17.0,13.3,0.6,4.6,57,Moderate,,68.77,2026-02-15T02:00:52.791541
"Movil 7ma, Bogota, Colombia",Colombia,4.645228,-74.06152,15.7,56.3,53.0,19.0,,,,53,Moderate,,,2026-02-15T02:01:14.754327
"El Camal, Quito, Ecuador",Ecuador,-0.25,-78.51,11.89,93.0,96.0,,66.3,4.8,16.6,96,Moderate,,465.66,2026-02-15T02:01:23.391505
"Centro, Quito, Ecuador",Ecuador,-0.221393,-78.514005,11.8,93.0,74.0,,,9.1,17.2,74,Moderate,,463.1,2026-02-15T02:01:31.574488
"Belisario, Quito, Ecuador",Ecuador,-0.184719,-78.495986,11.8,93.0,53.0,24.0,69.2,11.8,8.4,53,Moderate,34010.69,,2026-02-15T02:01:48.101144
"Cotocollao, Quito, Ecuador",Ecuador,-0.107777,-78.497222,12.38,93.0,41.0,24.0,33.5,2.2,6.6,41,Good,,451.2,2026-02-15T02:01:56.165571
"Los Chillos, Quito, Ecuador",Ecuador,-0.297062,-78.455248,13.97,93.0,,,,15.8,13.7,13,Good,,467.4,2026-02-15T02:02:00.041406
"estacion01, Cuenca, Ecuador",Ecuador,-2.897,-79.003,23.0,18.0,151.0,,130.2,9.7,4.6,151,Poor,,754.66,2026-02-15T02:02:07.138854
"estacion02, Cuenca, Ecuador",Ecuador,-2.879789,-78.980213,23.0,18.0,134.0,,130.2,9.7,4.6,142,Poor,6312.42,,2026-02-15T02:02:09.837837
