City,Country,Latitude,Longitude,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,AQI,Air_Quality_Category,Population_Density,Proximity_to_Industrial_Areas,Timestamp
"Oblatos, Jalisco, Mexico",Mexico,20.699048277777777,-103.29667683333334,19.5,35.0,153.0,52.0,49.0,2.2,19.3,153,Poor,,18.44,2025-12-20T01:16:47.932864
"Las Pintas, Guadalajara, Mexico",Mexico,20.5767,-103.32652222222,19.5,35.0,119.0,80.0,47.9,2.2,19.7,119,Poor,342.07,20.68,2025-12-20T01:16:51.276937
"Santa Fe, Jalisco, Mexico",Mexico,20.528912,-103.377146,19.5,35.0,95.0,55.0,29.5,9.5,9.2,95,Moderate,1772.02,21.65,2025-12-20T01:16:55.257541
"Secundaria Leyes de Reforma, Aguascalientes, Mexico",Mexico,21.903003362672,-102.28461279505,16.9,27.5,91.0,30.0,17.3,,0.5,91,Moderate,10999.44,104.96,2025-12-20T01:17:02.844941
"Irapuato Bomberos, Mexico",Mexico,21.118055555556,-101.60216666667,21.1,25.6,85.0,50.0,5.6,4.9,7.1,85,Moderate,,9.68,2025-12-20T01:17:06.917410
"SUR, CHIH1, Chihuahua -Estatal, Mexico",Mexico,28.632775,-106.03886694444,23.3,18.0,41.0,81.0,,,,81,Moderate,11787.18,24.34,2025-12-20T01:17:09.272773
"Tulancingo, Hidalgo, Mexico",Mexico,20.08525,-98.366638888889,23.0,100.0,78.0,37.0,9.5,6.0,12.7,78,Moderate,1351.71,90.6,2025-12-20T01:17:11.726380
"Centro de Salud, Apizaco, Tlaxcala, Mexico",Mexico,19.409853333333,-98.150011111111,23.0,100.0,76.0,41.0,0.1,0.1,7.0,76,Moderate,630.33,92.76,2025-12-20T01:17:17.711956
"Palacio Municipal Cuautla, Cuautla, Morelos, Mexico",Mexico,18.812986944444,-98.955305833333,19.0,29.0,74.0,,31.5,4.7,8.8,74,Moderate,2003.27,81.91,2025-12-20T01:17:26.579915
"Palacio Municipal, Municipio de Mexicali, Baja California - Municipal, Mexico",Mexico,32.640027777778,-115.47463888889,22.5,43.5,61.0,72.0,39.2,,9.0,72,Moderate,10875.84,1.93,2025-12-20T01:17:32.475270
"US Embassy, Guatemala City, Guatemala",Guatemala,14.6069387,-90.5169696,15.0,87.0,61.0,,,,,61,Moderate,31197.09,108.86,2025-12-20T01:17:37.942751
"San Salvador Centro, El Salavor",El Salvador,13.70630556,-89.20011667,23.2,69.6,,,,,,-,,,1797.32,2025-12-20T01:17:46.855127
"San Salvador Este, El Salavor",El Salvador,13.71518889,-89.15481944,24.0,88.0,9.0,,,,,-,,4024.59,1794.07,2025-12-20T01:17:52.911489
"ITCA, Santa Tecla, El Salavor",El Salvador,13.673168,-89.279399,24.0,62.0,93.0,,,,,93,Moderate,1765.92,1801.85,2025-12-20T01:17:55.753180
"UTEC Campus, San Salvador, El Salavor",El Salvador,13.6999671,-89.2010843,30.9,88.8,91.0,,,,,91,Moderate,,1796.97,2025-12-20T01:18:01.953152
"San Jose US Embassy, Costa Rica",Costa Rica,9.949488,-84.142876,20.9,69.2,38.0,,,,,38,Good,165.52,1107.57,2025-12-20T01:18:08.033714
"Movil 7ma, Bogota, Colombia",Colombia,4.645228,-74.06152,21.2,49.9,85.0,51.0,,,,85,Moderate,,72.79,2025-12-20T01:18:44.807453
"Puente Aranda, Bogota, Colombia",Colombia,4.63187,-74.11757,18.0,59.0,81.0,43.0,7.4,0.8,1.7,81,Moderate,104164.41,76.02,2025-12-20T01:18:47.275543
"Tunal, Bogota, Colombia",Colombia,4.57619,-74.13093,18.0,53.0,80.0,51.0,5.2,2.0,,80,Moderate,,72.99,2025-12-20T01:18:49.822527
"Kennedy, Bogota, Colombia",Colombia,4.6249,-74.16135,18.0,57.8,64.0,39.0,3.5,0.5,4.2,64,Moderate,,79.06,2025-12-20T01:19:04.454834
"San Cristobal, Bogota, Colombia",Colombia,4.5725,-74.0836,21.3,49.0,61.0,34.0,0.1,1.0,3.7,61,Moderate,,68.77,2025-12-20T01:19:09.951466
"Las Ferias, Bogota, Colombia",Colombia,4.6906,-74.08256,20.0,54.0,61.0,21.0,8.6,,3.3,61,Moderate,104164.41,78.11,2025-12-20T01:19:12.460849
"MinAmbiente, Bogota, Colombia",Colombia,4.62529,-74.06724,20.0,59.0,61.0,40.0,6.1,0.8,4.9,61,Moderate,104164.41,71.59,2025-12-20T01:19:15.303839
